tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
11.0,36.0,14.0,3318.0,0.23404255319148937,0.44,0.3055555555555556,0.31410666627616685,0.13333333333333333,0.1,0.16
5.0,25.0,10.0,3339.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.23096280939718392,0.13333333333333333,0.2,0.13333333333333333
25.0,116.0,43.0,3195.0,0.1773049645390071,0.36764705882352944,0.23923444976076552,0.23357395132576128,0.4,0.4,0.20588235294117646
15.0,50.0,22.0,3293.0,0.23076923076923078,0.40540540540540543,0.29411764705882354,0.295824865262082,0.3333333333333333,0.3,0.1891891891891892
9.0,35.0,18.0,3317.0,0.20454545454545456,0.3333333333333333,0.2535211267605634,0.2535809669998235,0.13333333333333333,0.2,0.18518518518518517
6.0,18.0,13.0,3343.0,0.25,0.3157894736842105,0.27906976744186046,0.2764162910937131,0.13333333333333333,0.2,0.15789473684210525
13.0,60.0,27.0,3279.0,0.1780821917808219,0.325,0.23008849557522124,0.22840570030190832,0.2,0.2,0.1
8.0,21.0,15.0,3336.0,0.27586206896551724,0.34782608695652173,0.3076923076923077,0.3044624468190119,0.26666666666666666,0.25,0.34782608695652173
11.0,67.0,29.0,3272.0,0.14102564102564102,0.275,0.1864406779661017,0.18360989944024989,0.2,0.2,0.15
26.0,131.0,44.0,3178.0,0.16560509554140126,0.37142857142857144,0.2290748898678414,0.22454996078457928,0.06666666666666667,0.1,0.08571428571428572
9.0,47.0,23.0,3300.0,0.16071428571428573,0.28125,0.20454545454545459,0.20271805242924426,0.13333333333333333,0.15,0.125
16.0,42.0,22.0,3300.0,0.27586206896551724,0.42105263157894735,0.3333333333333333,0.33163293129776117,0.3333333333333333,0.25,0.21052631578947367
11.0,54.0,18.0,3296.0,0.16923076923076924,0.3793103448275862,0.23404255319148937,0.24390655972872463,0.2,0.15,0.13793103448275862
13.0,62.0,26.0,3278.0,0.17333333333333334,0.3333333333333333,0.2280701754385965,0.22821745258180315,0.2,0.15,0.15384615384615385
14.0,51.0,29.0,3285.0,0.2153846153846154,0.32558139534883723,0.2592592592592593,0.2532136842609054,0.3333333333333333,0.25,0.23255813953488372
1.0,16.0,17.0,3345.0,0.058823529411764705,0.05555555555555555,0.05714285714285714,0.052259919477704135,0.06666666666666667,0.15,0.1111111111111111
14.0,56.0,26.0,3283.0,0.2,0.35,0.2545454545454545,0.2530363735823465,0.2,0.15,0.125
8.0,49.0,24.0,3298.0,0.14035087719298245,0.25,0.1797752808988764,0.17701020413809695,0.13333333333333333,0.1,0.0625
14.0,40.0,17.0,3308.0,0.25925925925925924,0.45161290322580644,0.32941176470588235,0.3342744843414332,0.2,0.2,0.1935483870967742
4.0,21.0,13.0,3341.0,0.16,0.23529411764705882,0.19047619047619052,0.18910280642740515,0.0,0.2,0.058823529411764705
10.0,41.0,15.0,3313.0,0.19607843137254902,0.4,0.2631578947368421,0.27255583121967286,0.13333333333333333,0.15,0.2
4.0,17.0,13.0,3346.0,0.19047619047619047,0.23529411764705882,0.21052631578947367,0.20727758387291725,0.13333333333333333,0.2,0.17647058823529413
11.0,23.0,24.0,3321.0,0.3235294117647059,0.3142857142857143,0.31884057971014496,0.3118490405867143,0.4,0.3,0.34285714285714286
7.0,40.0,23.0,3309.0,0.14893617021276595,0.23333333333333334,0.18181818181818182,0.1773265380388064,0.2,0.15,0.13333333333333333
3.0,7.0,17.0,3352.0,0.3,0.15,0.2,0.2088741928071512,0.26666666666666666,0.2,0.2
7.0,51.0,32.0,3289.0,0.1206896551724138,0.1794871794871795,0.1443298969072165,0.1350445668497469,0.13333333333333333,0.1,0.10256410256410256
24.0,114.0,52.0,3189.0,0.17391304347826086,0.3157894736842105,0.22429906542056074,0.21072388687341095,0.26666666666666666,0.25,0.14473684210526316
2.0,38.0,25.0,3314.0,0.05,0.07407407407407407,0.05970149253731344,0.05164440710457563,0.0,0.0,0.037037037037037035
8.0,34.0,18.0,3319.0,0.19047619047619047,0.3076923076923077,0.23529411764705882,0.23467334974029339,0.06666666666666667,0.15,0.19230769230769232
29.0,113.0,38.0,3199.0,0.20422535211267606,0.43283582089552236,0.27751196172248804,0.27703350789024844,0.3333333333333333,0.4,0.23880597014925373
25.0,116.0,38.0,3200.0,0.1773049645390071,0.3968253968253968,0.2450980392156863,0.24476556669359076,0.3333333333333333,0.25,0.19047619047619047
8.0,58.0,21.0,3293.0,0.12121212121212122,0.27586206896551724,0.16842105263157897,0.17234112467150584,0.06666666666666667,0.05,0.034482758620689655
21.0,64.0,29.0,3265.0,0.24705882352941178,0.42,0.3111111111111111,0.3090091008958724,0.13333333333333333,0.15,0.2
8.0,33.0,12.0,3326.0,0.1951219512195122,0.4,0.26229508196721313,0.2733663568661622,0.13333333333333333,0.1,0.1
4.0,17.0,16.0,3342.0,0.19047619047619047,0.2,0.1951219512195122,0.1902692793950666,0.13333333333333333,0.2,0.2
3.0,14.0,12.0,3350.0,0.17647058823529413,0.2,0.18750000000000003,0.18401274808467663,0.2,0.2,0.2
16.0,71.0,29.0,3263.0,0.1839080459770115,0.35555555555555557,0.24242424242424243,0.24192663407840928,0.2,0.2,0.17777777777777778
12.0,44.0,25.0,3298.0,0.21428571428571427,0.32432432432432434,0.25806451612903225,0.2536451994141114,0.13333333333333333,0.1,0.21621621621621623
5.0,25.0,10.0,3339.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.23096280939718392,0.13333333333333333,0.1,0.13333333333333333
13.0,81.0,36.0,3249.0,0.13829787234042554,0.2653061224489796,0.18181818181818185,0.17517526519347795,0.2,0.15,0.10204081632653061
