tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
5.0,54.0,26.0,3294.0,0.0847457627118644,0.16129032258064516,0.1111111111111111,0.10566455876483237,0.26666666666666666,0.2,0.12903225806451613
2.0,23.0,13.0,3341.0,0.08,0.13333333333333333,0.1,0.09812952302033363,0.06666666666666667,0.1,0.06666666666666667
7.0,21.0,53.0,3298.0,0.25,0.11666666666666667,0.1590909090909091,0.16074736948189983,0.3333333333333333,0.3,0.11666666666666667
1.0,12.0,28.0,3339.0,0.07692307692307693,0.034482758620689655,0.04761904761904762,0.04604430107070372,0.06666666666666667,0.05,0.06896551724137931
3.0,31.0,22.0,3323.0,0.08823529411764706,0.12,0.10169491525423728,0.09510128661583091,0.06666666666666667,0.05,0.04
1.0,15.0,23.0,3341.0,0.0625,0.041666666666666664,0.05,0.04550270628527737,0.06666666666666667,0.05,0.041666666666666664
3.0,38.0,38.0,3300.0,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.06178666939455494,0.06666666666666667,0.05,0.07317073170731707
0.0,9.0,17.0,3354.0,0.0,0.0,0.0,-0.003673693378544775,0.0,0.0,0.0
4.0,23.0,37.0,3315.0,0.14814814814814814,0.0975609756097561,0.11764705882352941,0.11149818631007938,0.13333333333333333,0.2,0.12195121951219512
3.0,22.0,61.0,3293.0,0.12,0.046875,0.06741573033707865,0.06400619268469063,0.2,0.15,0.078125
2.0,30.0,24.0,3323.0,0.0625,0.07692307692307693,0.06896551724137931,0.06132751270363483,0.13333333333333333,0.1,0.07692307692307693
3.0,27.0,36.0,3314.0,0.1,0.07692307692307693,0.08695652173913043,0.07838606635919582,0.13333333333333333,0.1,0.07692307692307693
1.0,15.0,27.0,3336.0,0.0625,0.03571428571428571,0.045454545454545456,0.04125021000288441,0.0,0.05,0.07142857142857142
2.0,60.0,30.0,3287.0,0.03225806451612903,0.0625,0.0425531914893617,0.032167031831252586,0.06666666666666667,0.1,0.0625
4.0,79.0,35.0,3261.0,0.04819277108433735,0.10256410256410256,0.06557377049180327,0.0544518552603323,0.13333333333333333,0.1,0.07692307692307693
0.0,69.0,15.0,3295.0,0.0,0.0,0.0,-0.009641135451387114,0.0,0.0,0.0
2.0,28.0,32.0,3317.0,0.06666666666666667,0.058823529411764705,0.0625,0.0536790502504485,0.13333333333333333,0.1,0.058823529411764705
3.0,32.0,33.0,3311.0,0.08571428571428572,0.08333333333333333,0.08450704225352113,0.07479621557364957,0.13333333333333333,0.1,0.1111111111111111
3.0,22.0,24.0,3330.0,0.12,0.1111111111111111,0.11538461538461538,0.10861692991404522,0.13333333333333333,0.1,0.1111111111111111
1.0,12.0,19.0,3347.0,0.07692307692307693,0.05,0.060606060606060615,0.0575263266556525,0.13333333333333333,0.1,0.1
2.0,9.0,25.0,3343.0,0.18181818181818182,0.07407407407407407,0.10526315789473684,0.11157925824534612,0.13333333333333333,0.1,0.07407407407407407
0.0,17.0,19.0,3344.0,0.0,0.0,0.0,-0.005345687552238977,0.0,0.05,0.05263157894736842
0.0,5.0,19.0,3355.0,0.0,0.0,0.0,-0.0028948070712552544,0.0,0.0,0.0
4.0,27.0,21.0,3327.0,0.12903225806451613,0.16,0.14285714285714285,0.1365772647066289,0.26666666666666666,0.2,0.16
1.0,14.0,23.0,3341.0,0.06666666666666667,0.041666666666666664,0.05128205128205127,0.04736282592000178,0.06666666666666667,0.1,0.08333333333333333
3.0,49.0,42.0,3285.0,0.057692307692307696,0.06666666666666667,0.061855670103092786,0.04839610466962806,0.13333333333333333,0.1,0.044444444444444446
3.0,39.0,63.0,3274.0,0.07142857142857142,0.045454545454545456,0.05555555555555555,0.04207143417374484,0.2,0.15,0.045454545454545456
3.0,16.0,24.0,3336.0,0.15789473684210525,0.1111111111111111,0.13043478260869565,0.12661212215831721,0.2,0.15,0.1111111111111111
3.0,34.0,22.0,3320.0,0.08108108108108109,0.12,0.0967741935483871,0.09046869193625975,0.06666666666666667,0.05,0.04
4.0,69.0,53.0,3253.0,0.0547945205479452,0.07017543859649122,0.06153846153846154,0.04376165069369176,0.26666666666666666,0.2,0.07017543859649122
