tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
3.0,33.0,30.0,3374.0,0.08333333333333333,0.09090909090909091,0.08695652173913043,0.07779950611231302,0.13333333333333333,0.1,0.09090909090909091
3.0,31.0,18.0,3388.0,0.08823529411764706,0.14285714285714285,0.10909090909090909,0.10534686212913122,0.13333333333333333,0.1,0.09523809523809523
3.0,35.0,51.0,3351.0,0.07894736842105263,0.05555555555555555,0.06521739130434782,0.05377756801439433,0.06666666666666667,0.05,0.09259259259259259
4.0,18.0,27.0,3391.0,0.18181818181818182,0.12903225806451613,0.1509433962264151,0.14670658772989034,0.26666666666666666,0.2,0.12903225806451613
4.0,42.0,25.0,3369.0,0.08695652173913043,0.13793103448275862,0.10666666666666666,0.0999900201253718,0.06666666666666667,0.05,0.034482758620689655
0.0,20.0,16.0,3404.0,0.0,0.0,0.0,-0.0052275122370650465,0.0,0.0,0.0
3.0,19.0,32.0,3386.0,0.13636363636363635,0.08571428571428572,0.10526315789473684,0.1008819391588956,0.13333333333333333,0.15,0.17142857142857143
0.0,7.0,14.0,3419.0,0.0,0.0,0.0,-0.002886572413459137,0.06666666666666667,0.1,0.07142857142857142
1.0,19.0,33.0,3387.0,0.05,0.029411764705882353,0.03703703703703704,0.031011248483274235,0.06666666666666667,0.05,0.058823529411764705
9.0,20.0,51.0,3360.0,0.3103448275862069,0.15,0.20224719101123598,0.2063033962741937,0.4,0.35,0.16666666666666666
2.0,34.0,28.0,3376.0,0.05555555555555555,0.06666666666666667,0.0606060606060606,0.051801716483943924,0.06666666666666667,0.05,0.06666666666666667
5.0,20.0,29.0,3386.0,0.2,0.14705882352941177,0.16949152542372883,0.16443362016780325,0.2,0.15,0.14705882352941177
5.0,39.0,26.0,3370.0,0.11363636363636363,0.16129032258064516,0.13333333333333333,0.12602043271662186,0.26666666666666666,0.2,0.12903225806451613
3.0,31.0,31.0,3375.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.07913370868018375,0.13333333333333333,0.1,0.08823529411764706
5.0,64.0,31.0,3340.0,0.07246376811594203,0.1388888888888889,0.09523809523809525,0.08716453776708513,0.26666666666666666,0.2,0.1111111111111111
4.0,74.0,12.0,3350.0,0.05128205128205128,0.25,0.0851063829787234,0.10438875320118281,0.06666666666666667,0.05,0.0625
1.0,12.0,33.0,3394.0,0.07692307692307693,0.029411764705882353,0.0425531914893617,0.041738911577247635,0.06666666666666667,0.1,0.058823529411764705
6.0,45.0,36.0,3353.0,0.11764705882352941,0.14285714285714285,0.12903225806451615,0.11777892068747042,0.26666666666666666,0.25,0.14285714285714285
6.0,39.0,20.0,3375.0,0.13333333333333333,0.23076923076923078,0.16901408450704225,0.16719426365505424,0.13333333333333333,0.15,0.23076923076923078
1.0,29.0,17.0,3393.0,0.03333333333333333,0.05555555555555555,0.04166666666666667,0.036532881307986716,0.06666666666666667,0.05,0.05555555555555555
3.0,20.0,31.0,3386.0,0.13043478260869565,0.08823529411764706,0.10526315789473685,0.09997907867987317,0.2,0.15,0.11764705882352941
3.0,23.0,9.0,3405.0,0.11538461538461539,0.25,0.15789473684210525,0.16562192751044996,0.13333333333333333,0.1,0.16666666666666666
0.0,9.0,23.0,3408.0,0.0,0.0,0.0,-0.004201963970967469,0.0,0.0,0.0
2.0,40.0,26.0,3372.0,0.047619047619047616,0.07142857142857142,0.057142857142857134,0.04884944765306915,0.06666666666666667,0.05,0.03571428571428571
1.0,18.0,18.0,3403.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.04736995953783904,0.06666666666666667,0.05,0.05263157894736842
2.0,30.0,43.0,3365.0,0.0625,0.044444444444444446,0.051948051948051945,0.042145185654471805,0.13333333333333333,0.1,0.044444444444444446
3.0,32.0,81.0,3324.0,0.08571428571428572,0.03571428571428571,0.05042016806722689,0.04026365187295673,0.2,0.15,0.07142857142857142
0.0,10.0,21.0,3409.0,0.0,0.0,0.0,-0.004231682124773059,0.0,0.0,0.0
4.0,45.0,27.0,3364.0,0.08163265306122448,0.12903225806451613,0.1,0.09237631112090007,0.0,0.05,0.0967741935483871
7.0,57.0,46.0,3330.0,0.109375,0.1320754716981132,0.11965811965811966,0.1050465439097583,0.4,0.3,0.1320754716981132
5.0,33.0,53.0,3349.0,0.13157894736842105,0.08620689655172414,0.10416666666666667,0.09417067435118531,0.26666666666666666,0.2,0.13793103448275862
1.0,10.0,31.0,3398.0,0.09090909090909091,0.03125,0.046511627906976744,0.04814735393541378,0.06666666666666667,0.05,0.03125
4.0,54.0,41.0,3341.0,0.06896551724137931,0.08888888888888889,0.07766990291262137,0.06440920263667543,0.2,0.15,0.06666666666666667
3.0,24.0,22.0,3391.0,0.1111111111111111,0.12,0.11538461538461538,0.10873937873885155,0.2,0.15,0.12
5.0,33.0,14.0,3388.0,0.13157894736842105,0.2631578947368421,0.17543859649122803,0.1797596475929956,0.26666666666666666,0.2,0.21052631578947367
1.0,24.0,14.0,3401.0,0.04,0.06666666666666667,0.05,0.04627955806009698,0.06666666666666667,0.05,0.06666666666666667
5.0,61.0,36.0,3338.0,0.07575757575757576,0.12195121951219512,0.09345794392523366,0.0822765815920992,0.13333333333333333,0.1,0.07317073170731707
2.0,17.0,31.0,3390.0,0.10526315789473684,0.06060606060606061,0.07692307692307693,0.07314624804601316,0.06666666666666667,0.1,0.06060606060606061
2.0,13.0,19.0,3406.0,0.13333333333333333,0.09523809523809523,0.1111111111111111,0.1080935089513102,0.13333333333333333,0.1,0.09523809523809523
6.0,73.0,44.0,3317.0,0.0759493670886076,0.12,0.09302325581395349,0.07867263268049042,0.26666666666666666,0.2,0.08
2.0,6.0,21.0,3411.0,0.25,0.08695652173913043,0.12903225806451613,0.14414859193540216,0.2,0.15,0.13043478260869565
1.0,8.0,15.0,3416.0,0.1111111111111111,0.0625,0.08,0.08013619544024204,0.06666666666666667,0.05,0.0625
1.0,21.0,19.0,3399.0,0.045454545454545456,0.05,0.04761904761904762,0.04183076762335098,0.06666666666666667,0.05,0.05
2.0,19.0,22.0,3397.0,0.09523809523809523,0.08333333333333333,0.08888888888888889,0.08310450341749129,0.0,0.1,0.08333333333333333
0.0,12.0,28.0,3400.0,0.0,0.0,0.0,-0.005359752318602707,0.0,0.05,0.03571428571428571
1.0,15.0,30.0,3394.0,0.0625,0.03225806451612903,0.0425531914893617,0.03869159104506964,0.06666666666666667,0.05,0.03225806451612903
7.0,91.0,54.0,3288.0,0.07142857142857142,0.11475409836065574,0.08805031446540881,0.06967087847251092,0.06666666666666667,0.05,0.08196721311475409
1.0,18.0,14.0,3407.0,0.05263157894736842,0.06666666666666667,0.058823529411764705,0.0545971670561442,0.06666666666666667,0.05,0.06666666666666667
1.0,28.0,17.0,3394.0,0.034482758620689655,0.05555555555555555,0.0425531914893617,0.037382571595492166,0.0,0.05,0.05555555555555555
2.0,24.0,30.0,3384.0,0.07692307692307693,0.0625,0.06896551724137931,0.06147075792117825,0.0,0.0,0.09375
6.0,64.0,18.0,3352.0,0.08571428571428572,0.25,0.1276595744680851,0.136335768553403,0.2,0.15,0.125
1.0,31.0,21.0,3387.0,0.03125,0.045454545454545456,0.037037037037037035,0.03021300629938301,0.06666666666666667,0.05,0.045454545454545456
0.0,39.0,54.0,3347.0,0.0,0.0,0.0,-0.013523290909739173,0.0,0.0,0.037037037037037035
2.0,18.0,11.0,3409.0,0.1,0.15384615384615385,0.12121212121212123,0.11992264818008228,0.06666666666666667,0.1,0.07692307692307693
4.0,53.0,42.0,3341.0,0.07017543859649122,0.08695652173913043,0.07766990291262135,0.06419245007370883,0.2,0.15,0.08695652173913043
0.0,31.0,30.0,3379.0,0.0,0.0,0.0,-0.008944391169343152,0.0,0.0,0.0
