tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
2.0,28.0,20.0,2646.0,0.06666666666666667,0.09090909090909091,0.07692307692307691,0.06898616362878204,0.13333333333333333,0.1,0.09090909090909091
0.0,8.0,15.0,2673.0,0.0,0.0,0.0,-0.004080633436598483,0.06666666666666667,0.05,0.06666666666666667
4.0,28.0,46.0,2618.0,0.125,0.08,0.09756097560975609,0.08647883961300547,0.13333333333333333,0.1,0.12
3.0,33.0,16.0,2644.0,0.08333333333333333,0.15789473684210525,0.1090909090909091,0.10608973273257596,0.2,0.15,0.15789473684210525
7.0,48.0,15.0,2626.0,0.12727272727272726,0.3181818181818182,0.18181818181818182,0.19106550793684102,0.2,0.15,0.18181818181818182
1.0,10.0,9.0,2676.0,0.09090909090909091,0.1,0.09523809523809525,0.0918136026261369,0.06666666666666667,0.05,0.1
3.0,41.0,28.0,2624.0,0.06818181818181818,0.0967741935483871,0.08,0.06848337467637677,0.06666666666666667,0.05,0.06451612903225806
3.0,14.0,11.0,2668.0,0.17647058823529413,0.21428571428571427,0.1935483870967742,0.18983025654161526,0.2,0.15,0.21428571428571427
1.0,22.0,26.0,2647.0,0.043478260869565216,0.037037037037037035,0.039999999999999994,0.031174430947417193,0.0,0.05,0.037037037037037035
12.0,30.0,46.0,2608.0,0.2857142857142857,0.20689655172413793,0.24000000000000002,0.22907464789889667,0.4666666666666667,0.45,0.22413793103448276
1.0,28.0,26.0,2641.0,0.034482758620689655,0.037037037037037035,0.03571428571428571,0.025624080749726746,0.06666666666666667,0.05,0.037037037037037035
2.0,37.0,31.0,2626.0,0.05128205128205128,0.06060606060606061,0.05555555555555555,0.04301723852488116,0.06666666666666667,0.05,0.030303030303030304
6.0,14.0,17.0,2659.0,0.3,0.2608695652173913,0.27906976744186046,0.27398107816880773,0.3333333333333333,0.3,0.2608695652173913
7.0,43.0,26.0,2620.0,0.14,0.21212121212121213,0.1686746987951807,0.1597206649718854,0.2,0.2,0.15151515151515152
5.0,35.0,28.0,2627.0,0.125,0.15151515151515152,0.13698630136986303,0.12584376680956452,0.2,0.15,0.15151515151515152
0.0,42.0,11.0,2643.0,0.0,0.0,0.0,-0.008051900202744725,0.0,0.0,0.0
4.0,32.0,30.0,2630.0,0.1111111111111111,0.11764705882352941,0.11428571428571428,0.10268862518684109,0.2,0.15,0.11764705882352941
3.0,95.0,23.0,2575.0,0.030612244897959183,0.11538461538461539,0.04838709677419355,0.04167108887760596,0.13333333333333333,0.1,0.07692307692307693
3.0,26.0,21.0,2645.0,0.10344827586206896,0.125,0.11320754716981132,0.10495763354430473,0.06666666666666667,0.15,0.125
2.0,14.0,12.0,2668.0,0.125,0.14285714285714285,0.13333333333333333,0.12879580327152487,0.13333333333333333,0.1,0.14285714285714285
