tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
2.0,24.0,27.0,3387.0,0.07692307692307693,0.06896551724137931,0.07272727272727274,0.0653760536638562,0.13333333333333333,0.1,0.06896551724137931
4.0,45.0,10.0,3381.0,0.08163265306122448,0.2857142857142857,0.12698412698412698,0.1464498221385271,0.2,0.15,0.21428571428571427
10.0,52.0,63.0,3315.0,0.16129032258064516,0.136986301369863,0.14814814814814814,0.1316693589165223,0.4666666666666667,0.35,0.136986301369863
6.0,26.0,26.0,3382.0,0.1875,0.1875,0.1875,0.17987089201877934,0.26666666666666666,0.25,0.1875
3.0,19.0,25.0,3393.0,0.13636363636363635,0.10714285714285714,0.11999999999999998,0.11449061581588732,0.13333333333333333,0.15,0.17857142857142858
2.0,14.0,16.0,3408.0,0.125,0.1111111111111111,0.11764705882352941,0.11347862743433035,0.13333333333333333,0.15,0.16666666666666666
11.0,43.0,40.0,3346.0,0.2037037037037037,0.21568627450980393,0.2095238095238095,0.19736613196305453,0.4666666666666667,0.35,0.21568627450980393
3.0,11.0,9.0,3417.0,0.21428571428571427,0.25,0.23076923076923075,0.22855087182760375,0.2,0.25,0.25
6.0,43.0,36.0,3355.0,0.12244897959183673,0.14285714285714285,0.13186813186813187,0.12066857618953941,0.26666666666666666,0.2,0.14285714285714285
15.0,63.0,60.0,3302.0,0.19230769230769232,0.2,0.19607843137254902,0.1778368579316471,0.6,0.45,0.2
12.0,76.0,20.0,3332.0,0.13636363636363635,0.375,0.19999999999999998,0.21445507233851938,0.2,0.25,0.28125
4.0,39.0,27.0,3370.0,0.09302325581395349,0.12903225806451613,0.1081081081081081,0.10002071380115583,0.2,0.2,0.12903225806451613
7.0,26.0,27.0,3380.0,0.21212121212121213,0.20588235294117646,0.20895522388059704,0.20120058285689768,0.4666666666666667,0.35,0.20588235294117646
3.0,21.0,36.0,3380.0,0.125,0.07692307692307693,0.09523809523809525,0.08998866888433124,0.13333333333333333,0.1,0.1282051282051282
4.0,43.0,32.0,3361.0,0.0851063829787234,0.1111111111111111,0.09638554216867469,0.08632735140962532,0.06666666666666667,0.1,0.08333333333333333
1.0,10.0,14.0,3415.0,0.09090909090909091,0.06666666666666667,0.07692307692307691,0.07439697917450841,0.06666666666666667,0.05,0.06666666666666667
5.0,26.0,31.0,3378.0,0.16129032258064516,0.1388888888888889,0.14925373134328357,0.14133629119524385,0.13333333333333333,0.15,0.16666666666666666
5.0,71.0,26.0,3338.0,0.06578947368421052,0.16129032258064516,0.09345794392523364,0.09030708176067177,0.06666666666666667,0.1,0.06451612903225806
2.0,38.0,27.0,3373.0,0.05,0.06896551724137931,0.057971014492753624,0.04931587191606032,0.0,0.0,0.06896551724137931
1.0,12.0,19.0,3408.0,0.07692307692307693,0.05,0.060606060606060615,0.05760634761520568,0.13333333333333333,0.1,0.1
7.0,38.0,34.0,3361.0,0.15555555555555556,0.17073170731707318,0.1627906976744186,0.15238544125175674,0.4,0.35,0.17073170731707318
2.0,58.0,20.0,3360.0,0.03333333333333333,0.09090909090909091,0.04878048780487805,0.04502393477955403,0.13333333333333333,0.1,0.09090909090909091
4.0,13.0,16.0,3407.0,0.23529411764705882,0.2,0.2162162162162162,0.2127142352543349,0.26666666666666666,0.25,0.25
3.0,7.0,31.0,3399.0,0.3,0.08823529411764706,0.13636363636363635,0.15835132473101393,0.3333333333333333,0.25,0.14705882352941177
3.0,13.0,14.0,3410.0,0.1875,0.17647058823529413,0.1818181818181818,0.17796100382329233,0.2,0.15,0.17647058823529413
4.0,40.0,30.0,3366.0,0.09090909090909091,0.11764705882352941,0.10256410256410256,0.09323096564694257,0.06666666666666667,0.1,0.08823529411764706
9.0,40.0,64.0,3327.0,0.1836734693877551,0.1232876712328767,0.14754098360655735,0.13549900411364535,0.4,0.3,0.136986301369863
2.0,8.0,36.0,3394.0,0.2,0.05263157894736842,0.08333333333333333,0.09761292880864834,0.13333333333333333,0.15,0.10526315789473684
3.0,21.0,24.0,3392.0,0.125,0.1111111111111111,0.11764705882352941,0.1112760522537703,0.13333333333333333,0.1,0.1111111111111111
12.0,57.0,45.0,3326.0,0.17391304347826086,0.21052631578947367,0.1904761904761905,0.17634509050668057,0.3333333333333333,0.25,0.21052631578947367
16.0,48.0,59.0,3317.0,0.25,0.21333333333333335,0.23021582733812948,0.2151469822184588,0.4,0.3,0.22666666666666666
3.0,25.0,21.0,3391.0,0.10714285714285714,0.125,0.11538461538461538,0.10901574222979181,0.13333333333333333,0.1,0.125
5.0,39.0,28.0,3368.0,0.11363636363636363,0.15151515151515152,0.12987012987012989,0.12149885645062426,0.2,0.15,0.15151515151515152
1.0,11.0,21.0,3407.0,0.08333333333333333,0.045454545454545456,0.05882352941176471,0.057104731582965806,0.13333333333333333,0.1,0.09090909090909091
2.0,7.0,19.0,3412.0,0.2222222222222222,0.09523809523809523,0.13333333333333333,0.1421020091495066,0.26666666666666666,0.2,0.19047619047619047
1.0,12.0,11.0,3416.0,0.07692307692307693,0.08333333333333333,0.08,0.0767120149804871,0.06666666666666667,0.05,0.08333333333333333
8.0,60.0,37.0,3335.0,0.11764705882352941,0.17777777777777778,0.1415929203539823,0.13068690328275528,0.2,0.2,0.15555555555555556
2.0,19.0,26.0,3393.0,0.09523809523809523,0.07142857142857142,0.08163265306122448,0.07597067572352041,0.13333333333333333,0.1,0.14285714285714285
1.0,18.0,20.0,3401.0,0.05263157894736842,0.047619047619047616,0.05,0.044514744479313036,0.0,0.1,0.09523809523809523
6.0,34.0,48.0,3352.0,0.15,0.1111111111111111,0.12765957446808512,0.11719043218808656,0.26666666666666666,0.2,0.12962962962962962
1.0,3.0,17.0,3419.0,0.25,0.05555555555555555,0.0909090909090909,0.11575486543263445,0.13333333333333333,0.1,0.1111111111111111
1.0,8.0,20.0,3411.0,0.1111111111111111,0.047619047619047616,0.06666666666666667,0.06904403403751994,0.13333333333333333,0.1,0.09523809523809523
2.0,37.0,16.0,3385.0,0.05128205128205128,0.1111111111111111,0.07017543859649122,0.0683496081880379,0.06666666666666667,0.05,0.05555555555555555
5.0,68.0,13.0,3354.0,0.0684931506849315,0.2777777777777778,0.10989010989010987,0.12910864250066081,0.13333333333333333,0.1,0.1111111111111111
3.0,16.0,26.0,3395.0,0.15789473684210525,0.10344827586206896,0.125,0.12183074876877203,0.2,0.15,0.1724137931034483
2.0,34.0,28.0,3376.0,0.05555555555555555,0.06666666666666667,0.0606060606060606,0.051801716483943924,0.06666666666666667,0.1,0.06666666666666667
15.0,87.0,75.0,3263.0,0.14705882352941177,0.16666666666666666,0.15625,0.13239871006885667,0.3333333333333333,0.4,0.16666666666666666
4.0,28.0,18.0,3390.0,0.125,0.18181818181818182,0.14814814814814814,0.14417434584968733,0.06666666666666667,0.05,0.09090909090909091
2.0,23.0,16.0,3399.0,0.08,0.1111111111111111,0.09302325581395349,0.08866849955768126,0.06666666666666667,0.1,0.05555555555555555
2.0,32.0,24.0,3382.0,0.058823529411764705,0.07692307692307693,0.06666666666666667,0.059140012429630316,0.13333333333333333,0.1,0.07692307692307693
1.0,17.0,19.0,3403.0,0.05555555555555555,0.05,0.052631578947368425,0.04745111375540673,0.06666666666666667,0.05,0.05
2.0,20.0,22.0,3396.0,0.09090909090909091,0.08333333333333333,0.08695652173913043,0.08090000863199272,0.13333333333333333,0.1,0.08333333333333333
