tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
0.0,6.0,26.0,3347.0,0.0,0.0,0.0,-0.0037139611105844552,0.0,0.0,0.0
0.0,128.0,18.0,3233.0,0.0,0.0,0.0,-0.014521065901194776,0.0,0.0,0.0
10.0,271.0,62.0,3036.0,0.03558718861209965,0.1388888888888889,0.056657223796034,0.029779569639315252,0.0,0.0,0.013888888888888888
12.0,583.0,15.0,2770.0,0.020168067226890758,0.4444444444444444,0.03858520900321544,0.0632423067542553,0.0,0.0,0.0
7.0,610.0,22.0,2740.0,0.011345218800648298,0.2413793103448276,0.021671826625387,0.0141561990892429,0.06666666666666667,0.05,0.034482758620689655
3.0,294.0,11.0,3072.0,0.010101010101010102,0.21428571428571427,0.01929260450160772,0.028797868749339806,0.0,0.0,0.0
13.0,646.0,34.0,2686.0,0.019726858877086494,0.2765957446808511,0.036827195467422094,0.02444979983868031,0.0,0.0,0.0
1.0,37.0,14.0,3328.0,0.02631578947368421,0.06666666666666667,0.03773584905660377,0.035097253701159854,0.0,0.0,0.0
2.0,197.0,29.0,3151.0,0.010050251256281407,0.06451612903225806,0.017391304347826087,0.002298273052885491,0.0,0.0,0.0
23.0,723.0,46.0,2587.0,0.030831099195710455,0.3333333333333333,0.056441717791411036,0.0391814130883353,0.0,0.05,0.028985507246376812
11.0,693.0,13.0,2662.0,0.015625,0.4583333333333333,0.03021978021978022,0.0520616483635057,0.0,0.0,0.0
9.0,704.0,28.0,2639.0,0.012622720897615708,0.24324324324324326,0.024,0.008328149833748421,0.0,0.0,0.0
16.0,644.0,18.0,2701.0,0.024242424242424242,0.47058823529411764,0.04610951008645533,0.07000075274859817,0.0,0.0,0.0
1.0,78.0,42.0,3258.0,0.012658227848101266,0.023255813953488372,0.01639344262295082,-9.307964982247803e-05,0.0,0.0,0.0
3.0,158.0,34.0,3184.0,0.018633540372670808,0.08108108108108109,0.030303030303030304,0.016514530790577995,0.0,0.0,0.02702702702702703
3.0,424.0,11.0,2941.0,0.00702576112412178,0.21428571428571427,0.013605442176870748,0.017067120475813154,0.0,0.0,0.0
3.0,142.0,30.0,3204.0,0.020689655172413793,0.09090909090909091,0.033707865168539325,0.02352026213125713,0.06666666666666667,0.05,0.030303030303030304
1.0,95.0,31.0,3252.0,0.010416666666666666,0.03125,0.015625,0.0016709539152339138,0.0,0.05,0.03125
2.0,67.0,23.0,3287.0,0.028985507246376812,0.08,0.0425531914893617,0.036369460151357565,0.0,0.0,0.04
0.0,179.0,14.0,3186.0,0.0,0.0,0.0,-0.015255379291430568,0.0,0.0,0.0
7.0,467.0,17.0,2888.0,0.014767932489451477,0.2916666666666667,0.02811244979919679,0.036870424138310195,0.06666666666666667,0.05,0.041666666666666664
4.0,563.0,11.0,2802.0,0.007054673721340388,0.26666666666666666,0.013745704467353952,0.01767487609684985,0.06666666666666667,0.05,0.06666666666666667
4.0,577.0,13.0,2785.0,0.0068846815834767644,0.23529411764705882,0.013377926421404682,0.011938419052604683,0.0,0.0,0.0
0.0,86.0,29.0,3264.0,0.0,0.0,0.0,-0.015035918246520017,0.0,0.0,0.0
0.0,38.0,16.0,3325.0,0.0,0.0,0.0,-0.007356142238275767,0.0,0.0,0.0
4.0,244.0,39.0,3092.0,0.016129032258064516,0.09302325581395349,0.0274914089347079,0.008545449227730043,0.0,0.05,0.046511627906976744
19.0,544.0,39.0,2777.0,0.03374777975133215,0.3275862068965517,0.06119162640901771,0.05708724813539688,0.06666666666666667,0.05,0.034482758620689655
0.0,46.0,26.0,3307.0,0.0,0.0,0.0,-0.010345015751856606,0.0,0.0,0.0
0.0,6.0,24.0,3349.0,0.0,0.0,0.0,-0.0035671946927426632,0.0,0.0,0.0
17.0,560.0,39.0,2763.0,0.029462738301559793,0.30357142857142855,0.05371248025276461,0.045817207288815366,0.06666666666666667,0.05,0.05357142857142857
2.0,144.0,59.0,3174.0,0.0136986301369863,0.03278688524590164,0.01932367149758454,-0.0069494732645568776,0.0,0.0,0.0
2.0,298.0,29.0,3051.0,0.006666666666666667,0.06451612903225806,0.012084592145015106,-0.00820085834525904,0.0,0.0,0.03225806451612903
17.0,837.0,25.0,2500.0,0.01990632318501171,0.40476190476190477,0.03794642857142857,0.03924537012481754,0.06666666666666667,0.05,0.047619047619047616
1.0,14.0,29.0,3335.0,0.06666666666666667,0.03333333333333333,0.04444444444444444,0.04113651983729715,0.06666666666666667,0.05,0.06666666666666667
1.0,32.0,27.0,3319.0,0.030303030303030304,0.03571428571428571,0.03278688524590164,0.024119334945728908,0.06666666666666667,0.05,0.03571428571428571
1.0,71.0,18.0,3289.0,0.013888888888888888,0.05263157894736842,0.021978021978021976,0.016311063773885817,0.0,0.0,0.0
5.0,214.0,42.0,3118.0,0.0228310502283105,0.10638297872340426,0.03759398496240602,0.020054345645629232,0.0,0.0,0.02127659574468085
6.0,689.0,22.0,2662.0,0.008633093525179856,0.21428571428571427,0.016597510373443983,0.0019456938996661682,0.0,0.0,0.0
0.0,33.0,14.0,3332.0,0.0,0.0,0.0,-0.006405683625230582,0.0,0.0,0.0
16.0,975.0,36.0,2352.0,0.016145307769929364,0.3076923076923077,0.030680728667305854,0.003957142051417338,0.0,0.0,0.038461538461538464
4.0,412.0,22.0,2941.0,0.009615384615384616,0.15384615384615385,0.01809954751131222,0.008236597095797988,0.0,0.0,0.0
9.0,408.0,17.0,2945.0,0.02158273381294964,0.34615384615384615,0.04063205417607224,0.059635467472163785,0.0,0.0,0.0
