tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
3.0,336.0,17.0,2340.0,0.008849557522123894,0.15,0.016713091922005572,0.006325138669721753,0.0,0.0,0.0
3.0,311.0,8.0,2374.0,0.009554140127388535,0.2727272727272727,0.01846153846153846,0.03117825747838896,0.0,0.05,0.0
18.0,377.0,40.0,2261.0,0.04556962025316456,0.3103448275862069,0.07947019867549669,0.06869687344929104,0.0,0.0,0.034482758620689655
8.0,457.0,17.0,2214.0,0.017204301075268817,0.32,0.0326530612244898,0.037777588310955915,0.0,0.0,0.0
5.0,492.0,19.0,2180.0,0.01006036217303823,0.20833333333333334,0.019193857965451054,0.005862421766192133,0.0,0.0,0.0
2.0,285.0,14.0,2395.0,0.006968641114982578,0.125,0.013201320132013201,0.004646257234036381,0.0,0.0,0.0
14.0,685.0,25.0,1972.0,0.020028612303290415,0.358974358974359,0.037940379403794036,0.02756321576492006,0.0,0.0,0.0
1.0,56.0,14.0,2625.0,0.017543859649122806,0.06666666666666667,0.02777777777777778,0.023670238236229185,0.06666666666666667,0.05,0.06666666666666667
11.0,686.0,13.0,1986.0,0.015781922525107604,0.4583333333333333,0.030513176144244102,0.04324986035602771,0.0,0.0,0.0
9.0,359.0,43.0,2285.0,0.024456521739130436,0.17307692307692307,0.04285714285714286,0.014941707210529618,0.06666666666666667,0.05,0.019230769230769232
6.0,378.0,24.0,2288.0,0.015625,0.2,0.028985507246376812,0.01747280960904572,0.06666666666666667,0.05,0.06666666666666667
11.0,478.0,15.0,2192.0,0.022494887525562373,0.4230769230769231,0.04271844660194175,0.06189659755632536,0.06666666666666667,0.1,0.07692307692307693
8.0,408.0,19.0,2261.0,0.019230769230769232,0.2962962962962963,0.03611738148984199,0.03953504549185667,0.0,0.0,0.0
13.0,840.0,22.0,1821.0,0.015240328253223915,0.37142857142857144,0.02927927927927928,0.013571400905650765,0.0,0.0,0.0
15.0,682.0,19.0,1979.0,0.021520803443328552,0.4411764705882353,0.04103967168262654,0.047123987282593,0.0,0.0,0.0
2.0,322.0,11.0,2361.0,0.006172839506172839,0.15384615384615385,0.011869436201780416,0.007207259302441979,0.0,0.0,0.0
13.0,538.0,19.0,2126.0,0.023593466424682397,0.40625,0.04459691252144083,0.054867714346569174,0.0,0.0,0.0
6.0,378.0,23.0,2289.0,0.015625,0.20689655172413793,0.029055690072639227,0.01923359658037118,0.06666666666666667,0.05,0.034482758620689655
5.0,337.0,21.0,2332.0,0.014619883040935672,0.19230769230769232,0.02717391304347826,0.019393887844840134,0.0,0.0,0.0
0.0,115.0,10.0,2571.0,0.0,0.0,0.0,-0.012879586308561584,0.0,0.0,0.0
1.0,280.0,14.0,2401.0,0.0035587188612099642,0.06666666666666667,0.006756756756756756,-0.009195005849330596,0.0,0.0,0.0
2.0,231.0,11.0,2452.0,0.008583690987124463,0.15384615384615385,0.016260162601626015,0.016702117810499635,0.0,0.0,0.0
1.0,67.0,17.0,2611.0,0.014705882352941176,0.05555555555555555,0.02325581395348837,0.015859852147430114,0.0,0.0,0.0
2.0,94.0,18.0,2582.0,0.020833333333333332,0.1,0.034482758620689655,0.03003996163073409,0.0,0.0,0.0
0.0,9.0,15.0,2672.0,0.0,0.0,0.0,-0.004328970676820338,0.0,0.0,0.0
18.0,636.0,18.0,2024.0,0.027522935779816515,0.5,0.05217391304347826,0.06986395372397322,0.0,0.0,0.027777777777777776
6.0,322.0,46.0,2321.0,0.018292682926829267,0.11538461538461539,0.031578947368421054,-0.002712360540882436,0.0,0.0,0.019230769230769232
7.0,381.0,13.0,2295.0,0.01804123711340206,0.35,0.034313725490196074,0.05075752244169103,0.0,0.0,0.0
7.0,642.0,12.0,2035.0,0.01078582434514638,0.3684210526315789,0.02095808383233533,0.02516296962347707,0.0,0.0,0.0
17.0,458.0,42.0,2179.0,0.035789473684210524,0.288135593220339,0.06367041198501872,0.04395300817974761,0.0,0.0,0.0
15.0,440.0,45.0,2196.0,0.03296703296703297,0.25,0.05825242718446602,0.03272053608847912,0.0,0.0,0.03333333333333333
8.0,383.0,24.0,2281.0,0.020460358056265986,0.25,0.037825059101654845,0.03267160507974316,0.06666666666666667,0.05,0.03125
