tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
10.0,8.0,17.0,2661.0,0.5555555555555556,0.37037037037037035,0.4444444444444445,0.44918149541353736,0.6,0.5,0.37037037037037035
5.0,10.0,6.0,2675.0,0.3333333333333333,0.45454545454545453,0.3846153846153846,0.3863479806739141,0.3333333333333333,0.3,0.2727272727272727
28.0,27.0,33.0,2608.0,0.509090909090909,0.45901639344262296,0.48275862068965514,0.4720774135268514,0.6666666666666666,0.65,0.45901639344262296
4.0,19.0,9.0,2664.0,0.17391304347826086,0.3076923076923077,0.2222222222222222,0.226424295384504,0.26666666666666666,0.2,0.23076923076923078
7.0,8.0,7.0,2674.0,0.4666666666666667,0.5,0.4827586206896552,0.4802537271050029,0.4666666666666667,0.35,0.5
6.0,7.0,10.0,2673.0,0.46153846153846156,0.375,0.41379310344827586,0.41289642546808675,0.4,0.3,0.375
15.0,14.0,32.0,2635.0,0.5172413793103449,0.3191489361702128,0.39473684210526316,0.3982179203500719,0.4,0.4,0.3829787234042553
5.0,9.0,6.0,2676.0,0.35714285714285715,0.45454545454545453,0.4,0.4001639089325127,0.3333333333333333,0.3,0.36363636363636365
8.0,19.0,29.0,2640.0,0.2962962962962963,0.21621621621621623,0.25,0.24428510012065338,0.4,0.35,0.21621621621621623
25.0,32.0,38.0,2601.0,0.43859649122807015,0.3968253968253968,0.4166666666666667,0.4039513940978069,0.26666666666666666,0.35,0.3968253968253968
10.0,16.0,23.0,2647.0,0.38461538461538464,0.30303030303030304,0.3389830508474576,0.33418651971339175,0.4666666666666667,0.45,0.3333333333333333
7.0,14.0,21.0,2654.0,0.3333333333333333,0.25,0.28571428571428575,0.2822459661885623,0.3333333333333333,0.35,0.2857142857142857
10.0,9.0,16.0,2661.0,0.5263157894736842,0.38461538461538464,0.4444444444444444,0.44539467190790294,0.5333333333333333,0.5,0.38461538461538464
