tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
11.0,20.0,23.0,3386.0,0.3548387096774194,0.3235294117647059,0.3384615384615384,0.3325266358616252,0.4666666666666667,0.45,0.3235294117647059
6.0,10.0,12.0,3412.0,0.375,0.3333333333333333,0.35294117647058826,0.35035149052540826,0.4,0.3,0.3333333333333333
33.0,27.0,51.0,3329.0,0.55,0.39285714285714285,0.45833333333333337,0.45369613763279454,0.7333333333333333,0.75,0.42857142857142855
11.0,13.0,17.0,3399.0,0.4583333333333333,0.39285714285714285,0.4230769230769231,0.4199727515751349,0.6,0.5,0.42857142857142855
8.0,11.0,13.0,3408.0,0.42105263157894735,0.38095238095238093,0.4,0.3970024284851854,0.26666666666666666,0.45,0.42857142857142855
5.0,13.0,12.0,3410.0,0.2777777777777778,0.29411764705882354,0.28571428571428575,0.28218136141376987,0.3333333333333333,0.25,0.29411764705882354
15.0,27.0,26.0,3372.0,0.35714285714285715,0.36585365853658536,0.3614457831325302,0.35367567231504443,0.3333333333333333,0.35,0.34146341463414637
7.0,15.0,8.0,3410.0,0.3181818181818182,0.4666666666666667,0.3783783783783784,0.38211169227683073,0.3333333333333333,0.3,0.3333333333333333
10.0,21.0,34.0,3375.0,0.3225806451612903,0.22727272727272727,0.26666666666666666,0.2628953659526598,0.3333333333333333,0.25,0.2727272727272727
24.0,43.0,50.0,3323.0,0.3582089552238806,0.32432432432432434,0.34042553191489366,0.3270803295396948,0.3333333333333333,0.35,0.33783783783783783
4.0,24.0,24.0,3388.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.13582314520180874,0.13333333333333333,0.2,0.14285714285714285
16.0,18.0,33.0,3373.0,0.47058823529411764,0.32653061224489793,0.38554216867469876,0.3847742816530677,0.4,0.45,0.3877551020408163
12.0,13.0,22.0,3393.0,0.48,0.35294117647058826,0.4067796610169491,0.40660863996234164,0.6666666666666666,0.55,0.4117647058823529
10.0,23.0,34.0,3373.0,0.30303030303030304,0.22727272727272727,0.25974025974025977,0.2542001728686289,0.2,0.25,0.2727272727272727
9.0,20.0,29.0,3382.0,0.3103448275862069,0.23684210526315788,0.2686567164179104,0.26403524447949644,0.4,0.35,0.23684210526315788
3.0,7.0,7.0,3423.0,0.3,0.3,0.3,0.2979591836734694,0.2,0.15,0.3
17.0,13.0,29.0,3381.0,0.5666666666666667,0.3695652173913043,0.4473684210526315,0.451817924834213,0.4666666666666667,0.55,0.41304347826086957
9.0,11.0,23.0,3397.0,0.45,0.28125,0.34615384615384615,0.3510559707426654,0.4666666666666667,0.45,0.28125
4.0,21.0,27.0,3388.0,0.16,0.12903225806451613,0.14285714285714285,0.13670432287790826,0.2,0.15,0.16129032258064516
1.0,12.0,12.0,3415.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07342147202083006,0.13333333333333333,0.1,0.07692307692307693
6.0,27.0,20.0,3387.0,0.18181818181818182,0.23076923076923078,0.2033898305084746,0.19801985056147073,0.26666666666666666,0.2,0.23076923076923078
4.0,7.0,13.0,3416.0,0.36363636363636365,0.23529411764705882,0.2857142857142857,0.2897129135439073,0.4,0.35,0.35294117647058826
10.0,8.0,9.0,3413.0,0.5555555555555556,0.5263157894736842,0.5405405405405405,0.5382568288630742,0.6,0.5,0.5263157894736842
6.0,17.0,14.0,3403.0,0.2608695652173913,0.3,0.27906976744186046,0.27523692908956315,0.2,0.25,0.25
5.0,14.0,15.0,3406.0,0.2631578947368421,0.25,0.25641025641025644,0.252257799538727,0.3333333333333333,0.3,0.3
11.0,21.0,36.0,3372.0,0.34375,0.23404255319148937,0.27848101265822783,0.2755316391657277,0.3333333333333333,0.35,0.2765957446808511
32.0,27.0,41.0,3340.0,0.5423728813559322,0.4383561643835616,0.4848484848484848,0.47768680251344026,0.4666666666666667,0.5,0.4794520547945205
10.0,12.0,20.0,3398.0,0.45454545454545453,0.3333333333333333,0.3846153846153846,0.38468910961916725,0.4666666666666667,0.4,0.36666666666666664
7.0,9.0,8.0,3416.0,0.4375,0.4666666666666667,0.45161290322580644,0.44936936758528745,0.4666666666666667,0.35,0.4666666666666667
21.0,43.0,35.0,3341.0,0.328125,0.375,0.35,0.33929550062507924,0.5333333333333333,0.45,0.30357142857142855
19.0,51.0,40.0,3330.0,0.2714285714285714,0.3220338983050847,0.2945736434108527,0.2822615342181226,0.26666666666666666,0.3,0.2711864406779661
11.0,14.0,25.0,3390.0,0.44,0.3055555555555556,0.36065573770491804,0.3611482432721795,0.5333333333333333,0.5,0.3888888888888889
11.0,23.0,30.0,3376.0,0.3235294117647059,0.2682926829268293,0.2933333333333334,0.28689341483727004,0.5333333333333333,0.45,0.3170731707317073
8.0,7.0,17.0,3408.0,0.5333333333333333,0.32,0.4,0.4098723013185424,0.5333333333333333,0.45,0.4
8.0,10.0,10.0,3412.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.441522176764725,0.4,0.4,0.4444444444444444
4.0,9.0,8.0,3419.0,0.3076923076923077,0.3333333333333333,0.32,0.31778022283634183,0.26666666666666666,0.2,0.3333333333333333
14.0,26.0,36.0,3364.0,0.35,0.28,0.3111111111111111,0.30402653838153143,0.4,0.45,0.3
10.0,22.0,13.0,3395.0,0.3125,0.43478260869565216,0.36363636363636365,0.3636256650225404,0.3333333333333333,0.35,0.34782608695652173
2.0,12.0,10.0,3416.0,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.15110652597585467,0.13333333333333333,0.1,0.16666666666666666
23.0,33.0,35.0,3349.0,0.4107142857142857,0.39655172413793105,0.4035087719298246,0.3935242892446243,0.4,0.4,0.39655172413793105
1.0,14.0,17.0,3408.0,0.06666666666666667,0.05555555555555555,0.0606060606060606,0.056351708743538696,0.06666666666666667,0.05,0.05555555555555555
3.0,11.0,11.0,3415.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21107497289633892,0.2,0.2,0.21428571428571427
5.0,9.0,14.0,3412.0,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.30328331658346025,0.3333333333333333,0.3,0.3157894736842105
8.0,12.0,18.0,3402.0,0.4,0.3076923076923077,0.34782608695652173,0.3465112035120475,0.3333333333333333,0.4,0.3076923076923077
11.0,7.0,22.0,3400.0,0.6111111111111112,0.3333333333333333,0.43137254901960786,0.44756935938136444,0.6,0.55,0.42424242424242425
