tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
0,8,14,3418,0.0,0.0,0.0,-0.003086325253588436,0.0,0.0,0.0
0,7,11,3423,0.0,0.0,0.0,-0.0025568082393280125,0.0,0.0,0.0
0,1,11,3429,0.0,0.0,0.0,-0.0009655395353611262,0.0,0.0,0.0
0,7,10,3424,0.0,0.0,0.0,-0.0024374657142662345,0.0,0.0,0.0
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457,0.0,0.0,0.0
0,6,12,3422,0.0,0.0,0.0,-0.0024731228848485494,0.0,0.0,0.0
2,21,17,3401,0.08695652173913043,0.10526315789473684,0.09523809523809525,0.09014801564855586,0.0,0.0,0.0
0,23,19,3399,0.0,0.0,0.0,-0.006112441092074307,0.0,0.0,0.0
2,18,17,3404,0.1,0.10526315789473684,0.10256410256410256,0.09748518656272881,0.13333333333333333,0.1,0.10526315789473684
1,14,18,3408,0.06666666666666667,0.05263157894736842,0.058823529411764705,0.05459852152816356,0.06666666666666667,0.05,0.05263157894736842
0,4,18,3419,0.0,0.0,0.0,-0.0024738481179593787,0.0,0.0,0.0
0,9,18,3414,0.0,0.0,0.0,-0.003713474261457131,0.0,0.0,0.0
0,0,18,3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,11,3428,0.0,0.0,0.0,-0.0013656776199971346,0.0,0.0,0.0
0,0,31,3410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,10,3423,0.0,0.0,0.0,-0.0024381760351696144,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,17,3415,0.0,0.0,0.0,-0.0034024548040000636,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,17,3414,0.0,0.0,0.0,-0.0036093741764198204,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,24,20,3393,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.14788724774123815,0.26666666666666666,0.2,0.16666666666666666
0,13,24,3404,0.0,0.0,0.0,-0.005161006439919466,0.0,0.0,0.0
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017,0.06666666666666667,0.1,0.08333333333333333
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856,0.0,0.0,0.0
0,5,13,3422,0.0,0.0,0.0,-0.002349828979117954,0.0,0.0,0.0
0,0,11,3430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,14,3419,0.0,0.0,0.0,-0.002886572413459137,0.0,0.0,0.0
1,6,9,3425,0.14285714285714285,0.1,0.11764705882352941,0.1173813846113068,0.06666666666666667,0.05,0.1
0,3,21,3416,0.0,0.0,0.0,-0.0023154262802722,0.0,0.05,0.047619047619047616
0,0,20,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,19,3422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,18,3419,0.0,0.0,0.0,-0.002142728327942759,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,10,3424,0.0,0.0,0.0,-0.0022569836852195523,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0,0.06666666666666667,0.05,0.1
0,1,10,3430,0.0,0.0,0.0,-0.0009204716556411914,0.0,0.0,0.0
0,7,11,3422,0.0,0.0,0.0,-0.002557553447462083,0.0,0.0,0.0
0,3,13,3425,0.0,0.0,0.0,-0.0018191099976749992,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,10,3425,0.0,0.0,0.0,-0.0022563262472785816,0.0,0.0,0.0
0,4,10,3426,0.0,0.0,0.0,-0.0018422830571554081,0.0,0.0,0.0
0,1,10,3430,0.0,0.0,0.0,-0.0009204716556411914,0.06666666666666667,0.05,0.1
0,5,12,3423,0.0,0.0,0.0,-0.002257313338647978,0.0,0.0,0.0
1,7,12,3421,0.125,0.07692307692307693,0.09523809523809525,0.09538547103019322,0.06666666666666667,0.05,0.07692307692307693
0,2,13,3426,0.0,0.0,0.0,-0.0014850811287509603,0.0,0.0,0.0
1,1,11,3427,0.5,0.08333333333333333,0.14285714285714285,0.20311355073567003,0.06666666666666667,0.05,0.08333333333333333
0,24,13,3403,0.0,0.0,0.0,-0.005162514848446147,0.0,0.0,0.0
1,3,10,3426,0.25,0.09090909090909091,0.13333333333333333,0.14915266693173282,0.06666666666666667,0.05,0.09090909090909091
0,7,14,3419,0.0,0.0,0.0,-0.002886572413459137,0.0,0.0,0.0
0,6,12,3423,0.0,0.0,0.0,-0.0024724022773966762,0.0,0.0,0.0
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017,0.0,0.0,0.0
0,4,12,3424,0.0,0.0,0.0,-0.002018708606029013,0.0,0.0,0.0
0,4,12,3424,0.0,0.0,0.0,-0.002018708606029013,0.0,0.0,0.0
0,7,12,3421,0.0,0.0,0.0,-0.002671667052516024,0.0,0.0,0.0
0,5,12,3423,0.0,0.0,0.0,-0.002257313338647978,0.0,0.0,0.0
0,4,11,3425,0.0,0.0,0.0,-0.0019324844949930049,0.0,0.0,0.0
0,7,16,3417,0.0,0.0,0.0,-0.0030867768295435396,0.0,0.0,0.0
0,8,15,3418,0.0,0.0,0.0,-0.0031941848242711397,0.0,0.0,0.0
0,9,17,3414,0.0,0.0,0.0,-0.0036093741764198204,0.0,0.0,0.0
3,24,21,3392,0.1111111111111111,0.125,0.11764705882352941,0.1112760522537703,0.06666666666666667,0.05,0.125
2,23,22,3394,0.08,0.08333333333333333,0.08163265306122448,0.07506558724303665,0.13333333333333333,0.1,0.08333333333333333
2,29,22,3387,0.06451612903225806,0.08333333333333333,0.07272727272727274,0.0659214044727492,0.06666666666666667,0.1,0.08333333333333333
1,32,23,3385,0.030303030303030304,0.041666666666666664,0.03508771929824561,0.027583354758025053,0.0,0.05,0.041666666666666664
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856,0.0,0.0,0.0
0,10,14,3416,0.0,0.0,0.0,-0.0034516223978942333,0.0,0.0,0.0
0,4,10,3427,0.0,0.0,0.0,-0.001841746573619181,0.06666666666666667,0.05,0.1
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296,0.0,0.0,0.0
0,19,14,3407,0.0,0.0,0.0,-0.004763987375174231,0.0,0.0,0.0
1,0,10,3429,1.0,0.09090909090909091,0.16666666666666669,0.30107265477089035,0.06666666666666667,0.05,0.09090909090909091
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875,0.0,0.0,0.0
0,9,13,3418,0.0,0.0,0.0,-0.00315446359471155,0.0,0.0,0.0
0,8,14,3419,0.0,0.0,0.0,-0.003085425449619067,0.0,0.0,0.0
1,2,11,3427,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528338063260598,0.06666666666666667,0.05,0.08333333333333333
0,4,14,3423,0.0,0.0,0.0,-0.00218045533659301,0.0,0.0,0.0
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196,0.0,0.0,0.0
0,4,10,3426,0.0,0.0,0.0,-0.0018422830571554081,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26,21,3392,0.037037037037037035,0.045454545454545456,0.04081632653061224,0.03418908672920081,0.06666666666666667,0.05,0.045454545454545456
0,0,10,3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,16,3423,0.0,0.0,0.0,-0.0016482709836852715,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,10,3428,0.0,0.0,0.0,-0.0015947673370563201,0.0,0.05,0.0
1,2,10,3427,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.1727593872491786,0.06666666666666667,0.05,0.09090909090909091
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298,0.0,0.0,0.0
0,13,17,3410,0.0,0.0,0.0,-0.004340458768435966,0.0,0.0,0.0
1,48,22,3369,0.02040816326530612,0.043478260869565216,0.02777777777777778,0.020240782142428044,0.0,0.0,0.0
1,50,33,3357,0.0196078431372549,0.029411764705882353,0.023529411764705882,0.012062103722305357,0.06666666666666667,0.05,0.029411764705882353
0,7,14,3420,0.0,0.0,0.0,-0.0028857309689412484,0.0,0.0,0.0
0,7,16,3418,0.0,0.0,0.0,-0.0030858767618529427,0.0,0.0,0.0
0,7,14,3420,0.0,0.0,0.0,-0.0028857309689412484,0.0,0.0,0.0
0,6,14,3421,0.0,0.0,0.0,-0.002671278816230194,0.0,0.0,0.0
0,4,14,3422,0.0,0.0,0.0,-0.0021810908539251633,0.0,0.0,0.0
0,7,18,3415,0.0,0.0,0.0,-0.0032749778591614088,0.0,0.0,0.0
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856,0.0,0.0,0.0
0,5,16,3420,0.0,0.0,0.0,-0.0026072827300566916,0.0,0.0,0.0
0,0,10,3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,10,3420,0.0,0.0,0.0,-0.0029154518950437317,0.0,0.0,0.0
0,6,14,3421,0.0,0.0,0.0,-0.002671278816230194,0.0,0.0,0.0
1,0,10,3429,1.0,0.09090909090909091,0.16666666666666669,0.30107265477089035,0.06666666666666667,0.05,0.09090909090909091
0,11,11,3418,0.0,0.0,0.0,-0.0032079323417906094,0.0,0.0,0.0
0,3,11,3426,0.0,0.0,0.0,-0.0016733371820437026,0.0,0.0,0.0
1,0,10,3429,1.0,0.09090909090909091,0.16666666666666669,0.30107265477089035,0.06666666666666667,0.05,0.09090909090909091
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298,0.0,0.0,0.0
0,2,14,3425,0.0,0.0,0.0,-0.0015413663570841307,0.0,0.0,0.0
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196,0.06666666666666667,0.05,0.0
0,4,10,3427,0.0,0.0,0.0,-0.001841746573619181,0.06666666666666667,0.05,0.1
0,10,13,3418,0.0,0.0,0.0,-0.003324611558998172,0.0,0.0,0.0
1,0,13,3427,1.0,0.07142857142857142,0.13333333333333333,0.2667557644620902,0.06666666666666667,0.05,0.07142857142857142
1,3,16,3421,0.25,0.058823529411764705,0.09523809523809523,0.11923540763020386,0.06666666666666667,0.05,0.058823529411764705
0,5,17,3418,0.0,0.0,0.0,-0.0026887018288784055,0.0,0.0,0.0
