tp,fp,fn,tn,precision,recall,f_measure,mcc
1,1,13,3425,0.5,0.07142857142857142,0.125,0.18788122853891415
4,4,7,3426,0.5,0.36363636363636365,0.4210526315789474,0.42484821148885854
4,3,7,3427,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.4544809658660066
7,0,3,3431,1.0,0.7,0.8235294117647058,0.836294486564745
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
6,1,6,3427,0.8571428571428571,0.5,0.631578947368421,0.6537950944228499
9,1,10,3421,0.9,0.47368421052631576,0.6206896551724138,0.6516694223957673
10,4,9,3418,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.6113311486648786
9,4,10,3418,0.6923076923076923,0.47368421052631576,0.5625,0.5707430069184384
5,1,14,3421,0.8333333333333334,0.2631578947368421,0.39999999999999997,0.46688688561787456
13,1,5,3422,0.9285714285714286,0.7222222222222222,0.8125000000000001,0.8181138973385955
14,0,4,3423,1.0,0.7777777777777778,0.8750000000000001,0.8814022658721741
9,1,9,3422,0.9,0.5,0.6428571428571429,0.669646375410929
6,1,5,3429,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.6829998529186739
13,4,18,3406,0.7647058823529411,0.41935483870967744,0.5416666666666666,0.5635492086147059
5,4,6,3425,0.5555555555555556,0.45454545454545453,0.5,0.5010831606177762
7,3,4,3426,0.7,0.6363636363636364,0.6666666666666666,0.6664090540053272
4,1,6,3429,0.8,0.4,0.5333333333333333,0.5648615610406712
12,3,5,3420,0.8,0.7058823529411765,0.7500000000000001,0.7503169578691999
11,1,6,3422,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7692447128556908
13,5,4,3418,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.7418493539618312
11,5,6,3418,0.6875,0.6470588235294118,0.6666666666666667,0.6653701225749847
8,2,3,3427,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212
6,3,18,3414,0.6666666666666666,0.25,0.36363636363636365,0.40592459128121255
8,2,16,3415,0.8,0.3333333333333333,0.47058823529411764,0.5144382321427698
9,4,3,3424,0.6923076923076923,0.75,0.7199999999999999,0.7195605692627663
8,4,6,3422,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.6157726010863493
8,0,5,3427,1.0,0.6153846153846154,0.761904761904762,0.7838928983136265
6,2,5,3428,0.75,0.5454545454545454,0.631578947368421,0.638639187758698
