tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2,10,12,3416,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.15110652597585467,0.2,0.2,0.21428571428571427,0.061185674726236226
6,8,5,3422,0.42857142857142855,0.5454545454545454,0.4799999999999999,0.4816370354152724,0.4666666666666667,0.5,0.45454545454545453,0.0230056110178966
6,11,5,3419,0.35294117647058826,0.5454545454545454,0.42857142857142855,0.43656575015380666,0.4,0.3,0.45454545454545453,0.008253234848749827
9,0,1,3431,1.0,0.9,0.9473684210526316,0.9485450765450013,0.6,0.5,0.9,0.11537012524471844
0,6,11,3423,0.0,0.0,0.0,-0.002367489599493739,0.0,0.0,0.0,0.14593135600775597
6,3,6,3425,0.6666666666666666,0.5,0.5714285714285715,0.5760877125366695,0.4666666666666667,0.4,0.5,0.3019962436502573
9,3,10,3419,0.75,0.47368421052631576,0.5806451612903226,0.5943288635594373,0.6,0.45,0.47368421052631576,0.23284341760155283
15,17,4,3405,0.46875,0.7894736842105263,0.5882352941176471,0.6056538582638565,0.7333333333333333,0.6,0.631578947368421,0.032187315839684476
9,6,10,3416,0.6,0.47368421052631576,0.5294117647058824,0.5308304925760997,0.6,0.45,0.47368421052631576,0.23513942083595943
8,4,11,3418,0.6666666666666666,0.42105263157894735,0.5161290322580646,0.5278025430263373,0.5333333333333333,0.5,0.5263157894736842,0.13442717442805127
13,2,5,3421,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.7901685699645742,0.8666666666666667,0.8,0.8333333333333334,0.3292993223254646
14,0,4,3423,1.0,0.7777777777777778,0.8750000000000001,0.8814022658721741,0.9333333333333333,0.7,0.7777777777777778,0.31799878563578243
9,1,9,3422,0.9,0.5,0.6428571428571429,0.669646375410929,0.8,0.65,0.7222222222222222,0.28402481010385744
7,1,4,3429,0.875,0.6363636363636364,0.7368421052631579,0.7455346758936178,0.5333333333333333,0.4,0.7272727272727273,0.09300837930396691
21,13,10,3397,0.6176470588235294,0.6774193548387096,0.6461538461538462,0.6434860365877807,0.8666666666666667,0.7,0.6129032258064516,0.10620858170675325
7,8,4,3421,0.4666666666666667,0.6363636363636364,0.5384615384615385,0.5432683227353797,0.4666666666666667,0.45,0.5454545454545454,0.10729075930153172
7,4,4,3425,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761,0.5333333333333333,0.45,0.6363636363636364,0.2412562105249744
8,2,2,3428,0.8,0.8,0.8000000000000002,0.7994169096209912,0.5333333333333333,0.4,0.8,0.015735958207349708
13,4,4,3419,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7635373167671977,0.8,0.65,0.7647058823529411,0.3392134762412925
12,2,5,3421,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.7768602649768265,0.8666666666666667,0.7,0.7647058823529411,0.1958255699795347
13,5,4,3418,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.7418493539618312,0.8,0.65,0.7058823529411765,0.4825141781995795
13,5,4,3418,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.7418493539618312,0.7333333333333333,0.7,0.7058823529411765,0.40460805330388877
7,2,4,3427,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.7026767601178231,0.6666666666666666,0.5,0.8181818181818182,0.5745015095262341
9,5,15,3412,0.6428571428571429,0.375,0.4736842105263159,0.48836029859735147,0.6,0.55,0.5,0.1567292377848667
10,11,14,3406,0.47619047619047616,0.4166666666666667,0.4444444444444445,0.4418000361093594,0.6666666666666666,0.5,0.4166666666666667,0.09451799220798039
