tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
2,10,12,3416,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.15110652597585467,0.2,0.2,0.21428571428571427
4,6,7,3424,0.4,0.36363636363636365,0.380952380952381,0.37949506870249566,0.4666666666666667,0.5,0.45454545454545453
4,4,7,3426,0.5,0.36363636363636365,0.4210526315789474,0.42484821148885854,0.4,0.3,0.45454545454545453
9,0,1,3431,1.0,0.9,0.9473684210526316,0.9485450765450013,0.6,0.5,0.9
0,6,11,3423,0.0,0.0,0.0,-0.002367489599493739,0.0,0.0,0.0
6,5,6,3423,0.5454545454545454,0.5,0.5217391304347826,0.5206336016192372,0.4666666666666667,0.4,0.5
9,10,10,3412,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47076194284659634,0.6,0.45,0.47368421052631576
13,11,6,3411,0.5416666666666666,0.6842105263157895,0.6046511627906976,0.6063638114086043,0.7333333333333333,0.6,0.631578947368421
9,11,10,3411,0.45,0.47368421052631576,0.46153846153846156,0.458624172834099,0.6,0.45,0.47368421052631576
8,6,11,3416,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.4881123996866776,0.5333333333333333,0.5,0.5263157894736842
16,9,2,3414,0.64,0.8888888888888888,0.7441860465116279,0.7527863356107314,0.8666666666666667,0.8,0.8333333333333334
18,3423,0,0,0.0052310374891020054,1.0,0.010407632263660017,0.0,0.9333333333333333,0.7,0.7777777777777778
13,4,5,3419,0.7647058823529411,0.7222222222222222,0.7428571428571428,0.741849736954019,0.8,0.65,0.7222222222222222
7,1,4,3429,0.875,0.6363636363636364,0.7368421052631579,0.7455346758936178,0.5333333333333333,0.4,0.7272727272727273
21,19,10,3391,0.525,0.6774193548387096,0.5915492957746479,0.5922368616361752,0.8666666666666667,0.7,0.6129032258064516
8,9,3,3420,0.47058823529411764,0.7272727272727273,0.5714285714285714,0.5834173039044883,0.4666666666666667,0.45,0.5454545454545454
8,6,3,3423,0.5714285714285714,0.7272727272727273,0.64,0.6433888649248228,0.5333333333333333,0.45,0.6363636363636364
7,2,3,3428,0.7777777777777778,0.7,0.7368421052631577,0.737142708771666,0.5333333333333333,0.4,0.8
13,11,4,3412,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.6415476079420734,0.8,0.65,0.7647058823529411
13,3,4,3420,0.8125,0.7647058823529411,0.787878787878788,0.7872224022629078,0.8666666666666667,0.7,0.7647058823529411
13,5,4,3418,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.7418493539618312,0.8,0.65,0.7058823529411765
14,8,3,3415,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7223961103341506,0.7333333333333333,0.7,0.7058823529411765
9,5,2,3424,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.724265050532562,0.6666666666666666,0.5,0.8181818181818182
11,10,13,3407,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.48663675893872016,0.6,0.55,0.5
10,13,14,3404,0.43478260869565216,0.4166666666666667,0.425531914893617,0.4216802330197657,0.6666666666666666,0.5,0.4166666666666667
10,5,2,3423,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.7443771926838448,0.6666666666666666,0.55,0.6666666666666666
12,7,2,3419,0.631578947368421,0.8571428571428571,0.7272727272727273,0.7345495421255486,0.6666666666666666,0.6,0.7142857142857143
8,1,5,3426,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.7388185118451334,0.6,0.5,0.6923076923076923
