tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3426,0.0,0.0,0.0,0.0
6,0,5,3429,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664
8,3,3,3426,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263978366340571
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271
0,0,11,3429,0.0,0.0,0.0,0.0
6,0,6,3428,1.0,0.5,0.6666666666666666,0.7064887707717356
2,1,17,3420,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.2635552309041136
1,2,18,3419,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.1306767325441325
0,1,19,3420,0.0,0.0,0.0,-0.0012708203932595284
1,1,18,3420,0.5,0.05263157894736842,0.09523809523809525,0.16092111671351933
6,4,12,3418,0.6,0.3333333333333333,0.42857142857142855,0.4451253356860911
10,3,8,3419,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.6522125525522392
10,1,8,3421,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.7095698639669485
9,1,2,3428,0.9,0.8181818181818182,0.8571428571428572,0.857685411600515
4,7,27,3402,0.36363636363636365,0.12903225806451613,0.19047619047619047,0.21254246849563244
8,2,3,3427,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212
7,2,4,3427,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.7026767601178231
5,3,5,3427,0.625,0.5,0.5555555555555556,0.5578764995742419
9,5,8,3418,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.5815189576681951
11,2,6,3421,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.7388403547954416
10,3,7,3420,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.671278462653271
13,2,4,3421,0.8666666666666667,0.7647058823529411,0.8125,0.8132320178343444
6,1,5,3428,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.6829996303917248
0,1,24,3415,0.0,0.0,0.0,-0.001429323723079109
1,1,23,3415,0.5,0.041666666666666664,0.07692307692307693,0.14286418161447495
5,1,7,3427,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5883284551623048
7,0,7,3426,1.0,0.5,0.6666666666666666,0.7063855063222145
8,0,5,3427,1.0,0.6153846153846154,0.761904761904762,0.7838928983136265
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465
9,1,5,3425,0.9,0.6428571428571429,0.75,0.7598500164507163
0,0,10,3430,0.0,0.0,0.0,0.0
8,0,13,3419,1.0,0.38095238095238093,0.5517241379310345,0.6160433260001925
8,1,12,3419,0.8888888888888888,0.4,0.5517241379310346,0.5948929821033977
9,5,10,3416,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.5497211597503678
8,2,10,3420,0.8,0.4444444444444444,0.5714285714285714,0.5948058004720298
7,4,10,3419,0.6363636363636364,0.4117647058823529,0.5,0.509991206314343
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195
