tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2,4,12,3422,0.3333333333333333,0.14285714285714285,0.2,0.21618218520031568,0.2,0.15,0.21428571428571427,0.16359944839583862
5,0,6,3429,1.0,0.45454545454545453,0.625,0.6736107842708476,0.5333333333333333,0.4,0.6363636363636364,0.5329679265676077
8,3,3,3426,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263978366340571,0.6,0.45,0.7272727272727273,0.6118520232514624
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271,0.5333333333333333,0.4,0.7,0.5542623194585511
2,5,9,3424,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.2259615078322669,0.2,0.15,0.2727272727272727,0.06760066373696581
6,0,6,3428,1.0,0.5,0.6666666666666666,0.7064887707717356,0.5333333333333333,0.45,0.5833333333333334,0.3519477145300631
3,19,16,3402,0.13636363636363635,0.15789473684210525,0.14634146341463414,0.1416355309136225,0.2,0.15,0.15789473684210525,0.11270060118393722
2,9,17,3412,0.18181818181818182,0.10526315789473684,0.13333333333333333,0.13472789300381152,0.13333333333333333,0.2,0.21052631578947367,0.2340376416915297
0,11,19,3410,0.0,0.0,0.0,-0.004220975811392086,0.0,0.0,0.0,0.18841471216388794
1,4,18,3417,0.2,0.05263157894736842,0.08333333333333333,0.10011390731907198,0.26666666666666666,0.3,0.3157894736842105,0.22012415910713154
11,6,7,3416,0.6470588235294118,0.6111111111111112,0.6285714285714287,0.6269323558248158,0.6,0.6,0.6111111111111112,0.11180335452166391
13,4,5,3418,0.7647058823529411,0.7222222222222222,0.7428571428571428,0.7418493539618312,0.7333333333333333,0.7,0.7222222222222222,0.11148445662991348
13,5,5,3417,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7207610883823625,0.8,0.65,0.7222222222222222,0.1402690938634498
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465,0.6666666666666666,0.5,0.9090909090909091,0.5999273109976786
18,18,13,3391,0.5,0.5806451612903226,0.537313432835821,0.5343081229691374,0.4666666666666667,0.5,0.5161290322580645,0.2047037008254531
8,2,3,3427,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212,0.6666666666666666,0.5,0.7272727272727273,0.31282195524279927
7,3,4,3426,0.7,0.6363636363636364,0.6666666666666666,0.6664090540053272,0.4666666666666667,0.45,0.6363636363636364,0.3231237594759556
5,4,5,3426,0.5555555555555556,0.5,0.5263157894736842,0.5257403812873366,0.3333333333333333,0.3,0.5,0.4162488184105411
11,10,6,3413,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.5798921568845046,0.6666666666666666,0.55,0.6470588235294118,0.15053558203618164
12,2,5,3421,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.7768602649768265,0.8,0.7,0.7647058823529411,0.3870921127785403
11,4,6,3419,0.7333333333333333,0.6470588235294118,0.6875,0.6874018979040556,0.7333333333333333,0.55,0.6470588235294118,0.31730223616902303
13,3,4,3420,0.8125,0.7647058823529411,0.787878787878788,0.7872224022629078,0.8666666666666667,0.7,0.7647058823529411,0.3427679240280841
6,1,5,3428,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.6829996303917248,0.6,0.45,0.7272727272727273,0.37101958535701673
5,23,19,3393,0.17857142857142858,0.20833333333333334,0.1923076923076923,0.1867549945661276,0.2,0.25,0.20833333333333334,0.10231099180738475
