tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
0,0,14,3426,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.07142857142857142
7,9,4,3421,0.4375,0.6363636363636364,0.5185185185185185,0.5258526388015714,0.4666666666666667,0.35,0.6363636363636364
9,10,2,3420,0.47368421052631576,0.8181818181818182,0.6,0.621049369835198,0.5333333333333333,0.45,0.6363636363636364
9,2,1,3429,0.8181818181818182,0.9,0.8571428571428572,0.857685537211829,0.6,0.5,0.8
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298,0.13333333333333333,0.1,0.18181818181818182
7,2,5,3426,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.6726073760436898,0.5333333333333333,0.4,0.5833333333333334
2,16,17,3406,0.1111111111111111,0.10526315789473684,0.10810810810810811,0.10332876605958798,0.13333333333333333,0.1,0.10526315789473684
5,14,14,3408,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.25906671998523484,0.2,0.25,0.2631578947368421
6,23,13,3399,0.20689655172413793,0.3157894736842105,0.25,0.25053459123577865,0.3333333333333333,0.25,0.2631578947368421
3,15,16,3407,0.16666666666666666,0.15789473684210525,0.16216216216216214,0.1576948645322244,0.2,0.15,0.15789473684210525
13,3,5,3420,0.8125,0.7222222222222222,0.7647058823529411,0.7648793377667951,0.8666666666666667,0.75,0.7777777777777778
13,10,5,3413,0.5652173913043478,0.7222222222222222,0.6341463414634146,0.6367959655193614,0.8666666666666667,0.65,0.7222222222222222
13,6,5,3417,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.7013558492585887,0.8,0.7,0.7222222222222222
9,3,2,3427,0.75,0.8181818181818182,0.7826086956521738,0.7826261457584041,0.6,0.5,0.8181818181818182
18,36,13,3374,0.3333333333333333,0.5806451612903226,0.4235294117647058,0.4334065193875011,0.2,0.25,0.2903225806451613
7,4,4,3425,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761,0.5333333333333333,0.4,0.6363636363636364
9,2,2,3427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8175985577560381,0.6,0.5,0.8181818181818182
6,8,4,3422,0.42857142857142855,0.6,0.5,0.5054161368345127,0.4,0.3,0.5
14,5,3,3418,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7778264157214465,0.8666666666666667,0.7,0.8235294117647058
13,2,4,3421,0.8666666666666667,0.7647058823529411,0.8125,0.8132320178343444,0.8666666666666667,0.7,0.7647058823529411
11,9,6,3414,0.55,0.6470588235294118,0.5945945945945946,0.594395217737523,0.6,0.55,0.5882352941176471
14,6,3,3417,0.7,0.8235294117647058,0.7567567567567567,0.7579727816588893,0.8666666666666667,0.7,0.8235294117647058
9,7,2,3422,0.5625,0.8181818181818182,0.6666666666666666,0.6772017876798206,0.6,0.5,0.7272727272727273
2,24,22,3393,0.07692307692307693,0.08333333333333333,0.08,0.07333738505926633,0.13333333333333333,0.1,0.08333333333333333
4,22,20,3395,0.15384615384615385,0.16666666666666666,0.16,0.1539874144580952,0.26666666666666666,0.2,0.16666666666666666
7,5,5,3423,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5818747569039284,0.4666666666666667,0.35,0.5833333333333334
7,8,7,3418,0.4666666666666667,0.5,0.4827586206896552,0.4808601686461185,0.4666666666666667,0.4,0.5
7,4,6,3423,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.5839301588461644,0.5333333333333333,0.4,0.6153846153846154
10,1,1,3429,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9087993639014047,0.6666666666666666,0.5,0.9090909090909091
4,5,10,3421,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.35426967487827005,0.3333333333333333,0.25,0.35714285714285715
1,4,9,3427,0.2,0.1,0.13333333333333333,0.13967087407082523,0.13333333333333333,0.15,0.2
11,4,10,3415,0.7333333333333333,0.5238095238095238,0.611111111111111,0.6178536060012056,0.7333333333333333,0.55,0.5238095238095238
17,12,3,3408,0.5862068965517241,0.85,0.6938775510204082,0.7038994959523532,0.9333333333333333,0.7,0.7
15,5,4,3417,0.75,0.7894736842105263,0.7692307692307692,0.7681718753524163,0.8666666666666667,0.75,0.7894736842105263
13,2,5,3420,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.7901682819086104,0.8666666666666667,0.65,0.7222222222222222
10,5,7,3418,0.6666666666666666,0.5882352941176471,0.625,0.6244868379389112,0.6666666666666666,0.6,0.7058823529411765
7,4,3,3426,0.6363636363636364,0.7,0.6666666666666666,0.6664090540053272,0.4666666666666667,0.4,0.7
6,1,4,3429,0.8571428571428571,0.6,0.7058823529411764,0.7164754434776995,0.4666666666666667,0.4,0.7
1,1,9,3430,0.5,0.1,0.16666666666666669,0.22269559643477216,0.06666666666666667,0.05,0.1
7,5,4,3424,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.6079643793435484,0.4666666666666667,0.4,0.6363636363636364
10,4,3,3424,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.7402328776261737,0.6666666666666666,0.5,0.7692307692307693
13,6,4,3417,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7218922461438857,0.7333333333333333,0.65,0.6470588235294118
14,4,3,3419,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.7993078530303388,0.8666666666666667,0.75,0.8235294117647058
3,9,7,3422,0.25,0.3,0.2727272727272727,0.2715458450791482,0.2,0.2,0.3
7,0,3,3430,1.0,0.7,0.8235294117647058,0.8362943800631778,0.4666666666666667,0.4,0.7
6,2,4,3429,0.75,0.6,0.6666666666666665,0.6699734262441396,0.5333333333333333,0.45,0.7
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828,0.2,0.15,0.25
2,5,11,3423,0.2857142857142857,0.15384615384615385,0.2,0.20748776005620215,0.2,0.15,0.23076923076923078
2,4,11,3424,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.2245087264360424,0.26666666666666666,0.2,0.3076923076923077
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017,0.06666666666666667,0.05,0.08333333333333333
9,1,4,3426,0.9,0.6923076923076923,0.7826086956521738,0.7886743859742621,0.6,0.5,0.6923076923076923
1,4,10,3425,0.2,0.09090909090909091,0.12500000000000003,0.13299343859765642,0.26666666666666666,0.2,0.2727272727272727
2,6,12,3420,0.25,0.14285714285714285,0.18181818181818182,0.18650222603827263,0.13333333333333333,0.1,0.14285714285714285
6,9,6,3420,0.4,0.5,0.4444444444444445,0.44506074991439026,0.4,0.3,0.4166666666666667
6,1,6,3427,0.8571428571428571,0.5,0.631578947368421,0.6537950944228499,0.4,0.3,0.5
3,12,9,3416,0.2,0.25,0.22222222222222224,0.22057231834641106,0.2,0.35,0.25
2,9,10,3419,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.17131049072199203,0.26666666666666666,0.3,0.16666666666666666
2,3,10,3425,0.4,0.16666666666666666,0.23529411764705882,0.25658128282632015,0.3333333333333333,0.4,0.3333333333333333
5,6,7,3422,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.43330282389492586,0.3333333333333333,0.25,0.4166666666666667
2,4,9,3425,0.3333333333333333,0.18181818181818182,0.23529411764705885,0.24442536562045966,0.26666666666666666,0.25,0.18181818181818182
