tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3426,0.0,0.0,0.0,0.0
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
2,2,9,3427,0.5,0.18181818181818182,0.26666666666666666,0.30023781835845864
3,1,7,3429,0.75,0.3,0.4285714285714285,0.47346674568893987
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
5,3,7,3425,0.625,0.4166666666666667,0.5,0.508941687108602
0,1,19,3420,0.0,0.0,0.0,-0.0012708203932595284
0,2,19,3419,0.0,0.0,0.0,-0.0017974727910387226
0,0,19,3421,0.0,0.0,0.0,0.0
0,3,19,3418,0.0,0.0,0.0,-0.002201765815848523
0,2,18,3420,0.0,0.0,0.0,-0.0017492758949846378
4,4,14,3418,0.5,0.2222222222222222,0.30769230769230765,0.33109654926865
3,5,15,3417,0.375,0.16666666666666666,0.23076923076923078,0.24744700979419673
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
1,3,30,3406,0.25,0.03225806451612903,0.05714285714285715,0.08700888455947087
2,2,9,3427,0.5,0.18181818181818182,0.26666666666666666,0.30023781835845864
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
0,0,10,3430,0.0,0.0,0.0,0.0
6,4,11,3419,0.6,0.35294117647058826,0.4444444444444445,0.4581871154816286
2,0,15,3423,1.0,0.11764705882352941,0.21052631578947367,0.3422481037209185
2,2,15,3421,0.5,0.11764705882352941,0.19047619047619047,0.2408741281846165
2,1,15,3422,0.6666666666666666,0.11764705882352941,0.2,0.27879103811934675
2,3,9,3426,0.4,0.18181818181818182,0.25000000000000006,0.2681477750159542
0,1,24,3415,0.0,0.0,0.0,-0.001429323723079109
0,0,24,3416,0.0,0.0,0.0,0.0
4,3,8,3425,0.5714285714285714,0.3333333333333333,0.4210526315789474,0.43497284059772795
4,5,10,3421,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.35426967487827005
1,1,12,3426,0.5,0.07692307692307693,0.13333333333333336,0.1950593867075927
1,9,10,3420,0.1,0.09090909090909091,0.09523809523809525,0.09257998121976387
4,1,10,3425,0.8,0.2857142857142857,0.4210526315789473,0.47697693454599144
0,0,10,3430,0.0,0.0,0.0,0.0
6,3,15,3416,0.6666666666666666,0.2857142857142857,0.4,0.43433390959745316
1,2,19,3418,0.3333333333333333,0.05,0.08695652173913045,0.12727357874156647
2,1,17,3420,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.2635552309041136
3,3,15,3419,0.5,0.16666666666666666,0.25,0.28665451089525745
0,0,17,3423,0.0,0.0,0.0,0.0
5,2,5,3428,0.7142857142857143,0.5,0.588235294117647,0.5966565068922214
2,5,8,3425,0.2857142857142857,0.2,0.23529411764705882,0.23719969713578679
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
3,1,8,3428,0.75,0.2727272727272727,0.39999999999999997,0.4513229697851845
4,3,9,3424,0.5714285714285714,0.3076923076923077,0.4,0.41775542023058865
4,2,13,3421,0.6666666666666666,0.23529411764705882,0.3478260869565218,0.3944422500511782
3,4,14,3419,0.42857142857142855,0.17647058823529413,0.25,0.27279029507956354
0,0,10,3430,0.0,0.0,0.0,0.0
5,5,5,3425,0.5,0.5,0.5,0.49854227405247814
4,1,6,3429,0.8,0.4,0.5333333333333333,0.5648615610406712
2,0,10,3428,1.0,0.16666666666666666,0.2857142857142857,0.40765412875988105
1,4,12,3423,0.2,0.07692307692307693,0.1111111111111111,0.12201035083881684
0,2,13,3425,0.0,0.0,0.0,-0.001485513782776043
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
7,3,6,3424,0.7,0.5384615384615384,0.608695652173913,0.6126743932560357
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,14,3426,0.0,0.0,0.0,0.0
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828
0,0,12,3428,0.0,0.0,0.0,0.0
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
2,0,10,3428,1.0,0.16666666666666666,0.2857142857142857,0.40765412875988105
2,1,10,3427,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3323139539427647
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914
2,3,14,3421,0.4,0.125,0.19047619047619047,0.22168365360372327
0,0,15,3425,0.0,0.0,0.0,0.0
3,0,14,3423,1.0,0.17647058823529413,0.3,0.4192275838991905
0,2,24,3414,0.0,0.0,0.0,-0.0020216629473746458
0,4,24,3412,0.0,0.0,0.0,-0.0028598951282338427
0,0,24,3416,0.0,0.0,0.0,0.0
0,2,24,3414,0.0,0.0,0.0,-0.0020216629473746458
1,2,13,3424,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.15279716061624993
0,4,14,3422,0.0,0.0,0.0,-0.0021810908539251633
5,4,5,3426,0.5555555555555556,0.5,0.5263157894736842,0.5257403812873366
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856
1,3,13,3423,0.25,0.07142857142857142,0.11111111111111112,0.1318002044586206
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914
0,0,13,3427,0.0,0.0,0.0,0.0
1,0,12,3427,1.0,0.07692307692307693,0.14285714285714288,0.2768657844169335
1,1,13,3425,0.5,0.07142857142857142,0.125,0.18788122853891415
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
1,0,13,3426,1.0,0.07142857142857142,0.13333333333333333,0.2667556173389421
0,2,10,3428,0.0,0.0,0.0,-0.0013023118779629036
2,2,8,3428,0.5,0.2,0.28571428571428575,0.31503040277357475
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
0,0,22,3418,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
1,0,15,3424,1.0,0.0625,0.11764705882352941,0.2494541875447854
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
1,4,10,3425,0.2,0.09090909090909091,0.12500000000000003,0.13299343859765642
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
0,2,10,3428,0.0,0.0,0.0,-0.0013023118779629036
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
1,0,10,3429,1.0,0.09090909090909091,0.16666666666666669,0.30107265477089035
0,0,17,3423,0.0,0.0,0.0,0.0
0,1,23,3416,0.0,0.0,0.0,-0.001399024566641129
0,2,34,3404,0.0,0.0,0.0,-0.0024097900029182947
0,0,14,3426,0.0,0.0,0.0,0.0
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
1,2,13,3424,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.15279716061624993
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856
1,1,13,3425,0.5,0.07142857142857142,0.125,0.18788122853891415
2,0,16,3422,1.0,0.1111111111111111,0.19999999999999998,0.33255678403541283
0,0,14,3426,0.0,0.0,0.0,0.0
1,2,15,3422,0.3333333333333333,0.0625,0.10526315789473684,0.14271794406934868
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
