tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
5,31,9,3395,0.1388888888888889,0.35714285714285715,0.2,0.21777534619934183,0.26666666666666666,0.2,0.2857142857142857,0.007389460732266122
6,14,5,3415,0.3,0.5454545454545454,0.3870967741935483,0.40201994678846636,0.26666666666666666,0.3,0.2727272727272727,0.009666259112552358
3,12,8,3417,0.2,0.2727272727272727,0.23076923076923075,0.23068742702813216,0.2,0.15,0.2727272727272727,0.024896764099453187
3,4,7,3426,0.42857142857142855,0.3,0.3529411764705882,0.35701863372126497,0.26666666666666666,0.2,0.3,0.1385818168945003
2,7,9,3422,0.2222222222222222,0.18181818181818182,0.19999999999999998,0.19869276136770606,0.2,0.15,0.2727272727272727,0.0054660647357795125
5,6,7,3422,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.43330282389492586,0.3333333333333333,0.25,0.4166666666666667,0.04750988963851778
8,36,11,3385,0.18181818181818182,0.42105263157894735,0.25396825396825395,0.27076181421297885,0.2,0.2,0.21052631578947367,0.008576583927972866
5,33,14,3388,0.13157894736842105,0.2631578947368421,0.17543859649122803,0.1797596475929956,0.2,0.2,0.21052631578947367,0.010059091014426366
2,9,17,3412,0.18181818181818182,0.10526315789473684,0.13333333333333333,0.13472789300381152,0.2,0.25,0.21052631578947367,0.01863959679609302
2,8,17,3413,0.2,0.10526315789473684,0.13793103448275862,0.14168560213523246,0.13333333333333333,0.2,0.21052631578947367,0.016356299874448057
6,12,12,3410,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32982661211767,0.3333333333333333,0.3,0.3333333333333333,0.008180450620463835
10,7,8,3415,0.5882352941176471,0.5555555555555556,0.5714285714285715,0.5694738567563081,0.5333333333333333,0.55,0.5555555555555556,0.010339204663786695
9,14,9,3408,0.391304347826087,0.5,0.4390243902439025,0.43902745979997243,0.4666666666666667,0.4,0.3888888888888889,0.014436850408586747
4,3,7,3426,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.4544805691119959,0.4,0.3,0.45454545454545453,0.10206957357805686
11,70,20,3339,0.13580246913580246,0.3548387096774194,0.19642857142857142,0.20834807194955526,0.13333333333333333,0.1,0.0967741935483871,0.010305832922928347
2,9,9,3420,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.1791935099021713,0.2,0.2,0.18181818181818182,0.006206968606207933
0,6,11,3423,0.0,0.0,0.0,-0.002367489599493739,0.13333333333333333,0.2,0.09090909090909091,0.012965570713321288
2,7,8,3423,0.2222222222222222,0.2,0.2105263157894737,0.20863689006084252,0.13333333333333333,0.15,0.2,0.005398088815580184
13,17,4,3406,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.5730002187855529,0.6,0.55,0.5294117647058824,0.006053697208184034
9,10,8,3413,0.47368421052631576,0.5294117647058824,0.5,0.4981555678336425,0.5333333333333333,0.5,0.47058823529411764,0.010164476478208789
7,10,10,3413,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4088432919179942,0.4666666666666667,0.4,0.4117647058823529,0.007667725385581895
4,6,13,3417,0.4,0.23529411764705882,0.29629629629629634,0.3041896873177984,0.4,0.4,0.47058823529411764,0.01076005579982761
7,18,4,3411,0.28,0.6363636363636364,0.3888888888888889,0.41949109144002267,0.4,0.35,0.36363636363636365,0.004654349504925323
7,39,17,3377,0.15217391304347827,0.2916666666666667,0.2,0.20308368532235188,0.3333333333333333,0.3,0.25,0.009201889466411794
24,3413,0,3,0.0069828338667442535,1.0,0.013868824039295,0.0024763815012325127,0.0,0.0,0.0,0.0035379835355386783
10,16,2,3412,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.5641207299136909,0.5333333333333333,0.4,0.5833333333333334,0.02863877816309081
7,7,7,3419,0.5,0.5,0.5,0.4979568009340339,0.5333333333333333,0.4,0.5,0.02545325609355738
5,11,8,3416,0.3125,0.38461538461538464,0.3448275862068966,0.3439449218334582,0.26666666666666666,0.25,0.3076923076923077,0.09007218235653647
1,10,10,3419,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08799278878019036,0.13333333333333333,0.1,0.09090909090909091,0.19052370079285036
7,9,7,3417,0.4375,0.5,0.4666666666666667,0.4653857269212329,0.4666666666666667,0.4,0.42857142857142855,0.013459706721408081
2,14,8,3416,0.125,0.2,0.15384615384615385,0.15502271679864052,0.13333333333333333,0.1,0.2,0.015573885594230629
13,11,8,3408,0.5416666666666666,0.6190476190476191,0.5777777777777778,0.5763093982289516,0.5333333333333333,0.55,0.5238095238095238,0.011004953160568834
6,12,14,3408,0.3333333333333333,0.3,0.3157894736842105,0.3124378529089768,0.3333333333333333,0.3,0.3,0.017318710781391043
8,19,11,3402,0.2962962962962963,0.42105263157894735,0.34782608695652173,0.34895785657042694,0.3333333333333333,0.3,0.3157894736842105,0.006210088811641146
12,12,6,3410,0.5,0.6666666666666666,0.5714285714285715,0.5748175118109621,0.6666666666666666,0.55,0.6111111111111112,0.013785868120968442
3,5,14,3418,0.375,0.17647058823529413,0.24,0.25478382149953416,0.4666666666666667,0.4,0.4117647058823529,0.010521909363504667
5,2,5,3428,0.7142857142857143,0.5,0.588235294117647,0.5966565068922214,0.4666666666666667,0.4,0.6,0.060398417414741785
3,8,7,3422,0.2727272727272727,0.3,0.28571428571428564,0.28385633881495165,0.26666666666666666,0.25,0.3,0.029635816170865845
2,8,8,3422,0.2,0.2,0.20000000000000004,0.197667638483965,0.13333333333333333,0.1,0.2,0.005604604178898804
3,1,8,3428,0.75,0.2727272727272727,0.39999999999999997,0.4513229697851845,0.4,0.3,0.5454545454545454,0.47989992630204953
8,10,5,3417,0.4444444444444444,0.6153846153846154,0.5161290322580646,0.5208766524890359,0.5333333333333333,0.45,0.46153846153846156,0.02444438130183214
11,22,6,3401,0.3333333333333333,0.6470588235294118,0.44,0.4608857781378675,0.4,0.45,0.47058823529411764,0.005749354370941701
11,18,6,3405,0.3793103448275862,0.6470588235294118,0.4782608695652174,0.49225252525736385,0.5333333333333333,0.45,0.5294117647058824,0.008497439483915632
0,2,10,3428,0.0,0.0,0.0,-0.0013023118779629036,0.0,0.0,0.0,0.05159836466542903
5,4,5,3426,0.5555555555555556,0.5,0.5263157894736842,0.5257403812873366,0.4666666666666667,0.35,0.5,0.5259911815891557
5,5,5,3425,0.5,0.5,0.5,0.49854227405247814,0.3333333333333333,0.35,0.5,0.09088785825186779
2,0,10,3428,1.0,0.16666666666666666,0.2857142857142857,0.40765412875988105,0.2,0.15,0.16666666666666666,0.4396586665437977
1,5,12,3422,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.11096683778039666,0.06666666666666667,0.05,0.07692307692307693,0.15607623518154912
0,2,13,3425,0.0,0.0,0.0,-0.001485513782776043,0.13333333333333333,0.1,0.15384615384615385,0.3130753433916911
0,2,12,3426,0.0,0.0,0.0,-0.0014270272885410073,0.06666666666666667,0.05,0.08333333333333333,0.09876029865861045
7,3,6,3424,0.7,0.5384615384615384,0.608695652173913,0.6126743932560357,0.6,0.5,0.6923076923076923,0.2743222678915641
2,3,9,3426,0.4,0.18181818181818182,0.25000000000000006,0.2681477750159542,0.13333333333333333,0.1,0.18181818181818182,0.005232035231662378
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856,0.06666666666666667,0.05,0.0,0.020778604981891147
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828,0.13333333333333333,0.1,0.16666666666666666,0.8524849662420848
0,0,12,3428,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.10425577914227196
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017,0.13333333333333333,0.1,0.16666666666666666,0.10041366617067926
1,1,11,3427,0.5,0.08333333333333333,0.14285714285714285,0.20311355073567003,0.13333333333333333,0.1,0.16666666666666666,0.11878123361092417
2,0,10,3428,1.0,0.16666666666666666,0.2857142857142857,0.40765412875988105,0.2,0.15,0.25,0.47018140643367784
3,7,9,3421,0.3,0.25,0.2727272727272727,0.2715451698320709,0.2,0.15,0.25,0.008912037936463854
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914,0.13333333333333333,0.1,0.18181818181818182,0.3364943275808382
2,6,14,3418,0.25,0.125,0.16666666666666666,0.17409525367898426,0.2,0.2,0.1875,0.18464162453344532
1,13,14,3412,0.07142857142857142,0.06666666666666667,0.0689655172413793,0.0650682172068271,0.06666666666666667,0.05,0.06666666666666667,0.4849669083584409
9,15,8,3408,0.375,0.5294117647058824,0.4390243902439025,0.44233080244281975,0.4666666666666667,0.4,0.47058823529411764,0.007031246024893172
10,100,14,3316,0.09090909090909091,0.4166666666666667,0.1492537313432836,0.18327257532845823,0.2,0.15,0.125,0.007386866192511414
7,39,17,3377,0.15217391304347827,0.2916666666666667,0.2,0.20308368532235188,0.13333333333333333,0.25,0.20833333333333334,0.012007204320791293
0,18,24,3398,0.0,0.0,0.0,-0.006079151123735204,0.0,0.0,0.041666666666666664,0.1336222575906544
10,62,14,3354,0.1388888888888889,0.4166666666666667,0.20833333333333334,0.23171752383031588,0.2,0.2,0.16666666666666666,0.00834978182403745
1,3,13,3423,0.25,0.07142857142857142,0.11111111111111112,0.1318002044586206,0.26666666666666666,0.2,0.21428571428571427,0.1947712751601488
3,36,11,3390,0.07692307692307693,0.21428571428571427,0.11320754716981134,0.12254032224345068,0.0,0.05,0.0,0.008426141560646111
6,4,4,3426,0.6,0.6,0.6,0.5988338192419825,0.4,0.4,0.6,0.1932859938440172
1,14,13,3412,0.06666666666666667,0.07142857142857142,0.0689655172413793,0.0650682172068271,0.06666666666666667,0.1,0.07142857142857142,0.023438236397094827
4,17,10,3409,0.19047619047619047,0.2857142857142857,0.22857142857142854,0.22946778061233555,0.13333333333333333,0.2,0.14285714285714285,0.015471598446902924
1,2,10,3427,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.1727593872491786,0.13333333333333333,0.15,0.18181818181818182,0.4048836573463138
0,2,13,3425,0.0,0.0,0.0,-0.001485513782776043,0.06666666666666667,0.05,0.07692307692307693,0.009634129623464768
3,3,10,3424,0.5,0.23076923076923078,0.3157894736842105,0.3380494802340341,0.2,0.15,0.23076923076923078,0.007480770184074624
1,8,13,3418,0.1111111111111111,0.07142857142857142,0.08695652173913043,0.08611190425015307,0.13333333333333333,0.1,0.14285714285714285,0.010426039754673298
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017,0.06666666666666667,0.05,0.08333333333333333,0.17385157723465944
