tp,fp,fn,tn,precision,recall,f_measure,mcc
2,0,12,3426,1.0,0.14285714285714285,0.25,0.3773042725523563
9,2,2,3427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8175985577560381
5,2,6,3427,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.5687400997518604
7,0,3,3430,1.0,0.7,0.8235294117647058,0.8362943800631778
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
6,2,6,3426,0.75,0.5,0.6,0.6113013341884423
5,3,14,3418,0.625,0.2631578947368421,0.37037037037037035,0.4035538231597455
8,0,11,3421,1.0,0.42105263157894735,0.5925925925925926,0.6478449690424634
6,3,13,3418,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.45689002311583565
7,2,12,3419,0.7777777777777778,0.3684210526315789,0.5,0.5336745108542925
7,4,11,3418,0.6363636363636364,0.3888888888888889,0.4827586206896552,0.4954665660270939
9,3,9,3419,0.75,0.5,0.6,0.610763516145986
11,0,7,3422,1.0,0.6111111111111112,0.7586206896551725,0.7809376299469001
10,1,1,3428,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.908799278878019
10,9,21,3400,0.5263157894736842,0.3225806451612903,0.39999999999999997,0.407953187340704
7,2,4,3427,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.7026767601178231
6,0,5,3429,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664
5,3,5,3427,0.625,0.5,0.5555555555555556,0.5578764995742419
10,1,7,3422,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.7302694990847788
10,2,7,3421,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.6989343235416411
11,5,6,3418,0.6875,0.6470588235294118,0.6666666666666667,0.6653701225749847
7,1,10,3422,0.875,0.4117647058823529,0.56,0.5990321899042464
7,4,4,3425,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761
4,1,20,3415,0.8,0.16666666666666666,0.27586206896551724,0.36349751448002526
6,7,18,3409,0.46153846153846156,0.25,0.32432432432432434,0.33635769820260664
9,2,3,3426,0.8181818181818182,0.75,0.7826086956521738,0.782625934792171
7,2,7,3424,0.7777777777777778,0.5,0.6086956521739131,0.6224274455063871
7,4,6,3423,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.5839301588461644
8,0,3,3429,1.0,0.7272727272727273,0.8421052631578948,0.852430055408813
8,2,6,3424,0.8,0.5714285714285714,0.6666666666666666,0.675038723245315
1,0,9,3430,1.0,0.1,0.18181818181818182,0.31581370460492025
11,5,10,3414,0.6875,0.5238095238095238,0.5945945945945946,0.5979866973605624
11,1,9,3419,0.9166666666666666,0.55,0.6874999999999999,0.7088408936314813
9,5,10,3416,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.5497211597503678
11,6,7,3416,0.6470588235294118,0.6111111111111112,0.6285714285714287,0.6269323558248158
9,1,8,3422,0.9,0.5294117647058824,0.6666666666666667,0.689183257727374
8,2,2,3428,0.8,0.8,0.8000000000000002,0.7994169096209912
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271
0,0,10,3430,0.0,0.0,0.0,0.0
4,0,7,3429,1.0,0.36363636363636365,0.5333333333333333,0.6024081212119103
9,3,4,3424,0.75,0.6923076923076923,0.7199999999999999,0.7195605692627663
13,4,4,3419,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7635373167671977
11,0,6,3423,1.0,0.6470588235294118,0.7857142857142858,0.803695596674924
0,0,10,3430,0.0,0.0,0.0,0.0
9,0,1,3430,1.0,0.9,0.9473684210526316,0.9485450362559954
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875
5,3,7,3425,0.625,0.4166666666666667,0.5,0.508941687108602
6,0,7,3427,1.0,0.46153846153846156,0.631578947368421,0.6786734439144902
1,0,10,3429,1.0,0.09090909090909091,0.16666666666666669,0.30107265477089035
1,4,13,3422,0.2,0.07142857142857142,0.10526315789473682,0.11741506715997013
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
1,8,11,3420,0.1111111111111111,0.08333333333333333,0.09523809523809525,0.09348939500156743
0,3,11,3426,0.0,0.0,0.0,-0.0016733371820437026
1,2,15,3422,0.3333333333333333,0.0625,0.10526315789473684,0.14271794406934868
1,4,14,3421,0.2,0.06666666666666667,0.1,0.11328196618075545
10,1,7,3422,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.7302694990847788
9,2,15,3414,0.8181818181818182,0.375,0.5142857142857142,0.5519975487793283
7,5,17,3411,0.5833333333333334,0.2916666666666667,0.38888888888888895,0.4096900057969425
7,2,17,3414,0.7777777777777778,0.2916666666666667,0.42424242424242425,0.47429339284195576
7,4,17,3412,0.6363636363636364,0.2916666666666667,0.4,0.42827644063488673
2,3,12,3423,0.4,0.14285714285714285,0.21052631578947364,0.23726902295531058
4,3,10,3423,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.40241175829264014
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195
3,3,11,3423,0.5,0.21428571428571427,0.3,0.32560930660836246
3,2,11,3424,0.6,0.21428571428571427,0.3157894736842105,0.357122978750651
2,2,9,3427,0.5,0.18181818181818182,0.26666666666666666,0.30023781835845864
3,1,10,3426,0.75,0.23076923076923078,0.3529411764705882,0.41495457615550313
0,0,13,3427,0.0,0.0,0.0,0.0
1,1,13,3425,0.5,0.07142857142857142,0.125,0.18788122853891415
3,0,9,3428,1.0,0.25,0.4,0.4993449302085611
1,1,13,3425,0.5,0.07142857142857142,0.125,0.18788122853891415
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
