tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2,2,12,3424,0.5,0.14285714285714285,0.22222222222222224,0.26578149977116633,0.26666666666666666,0.25,0.2857142857142857,0.21710966432165535
10,5,1,3424,0.6666666666666666,0.9090909090909091,0.7692307692307692,0.7777039945158153,0.6666666666666666,0.5,0.8181818181818182,0.1295367584337105
6,7,5,3422,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.5000132207824637,0.4,0.35,0.5454545454545454,0.1795518284760376
7,0,3,3430,1.0,0.7,0.8235294117647058,0.8362943800631778,0.6666666666666666,0.5,0.8,0.5089141034759016
2,4,9,3425,0.3333333333333333,0.18181818181818182,0.23529411764705885,0.24442536562045966,0.13333333333333333,0.1,0.18181818181818182,0.16395523333982123
6,2,6,3426,0.75,0.5,0.6,0.6113013341884423,0.4,0.3,0.5,0.5494407069686968
8,10,11,3411,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.4295244610617368,0.4,0.4,0.42105263157894735,0.1505735001191392
10,0,9,3421,1.0,0.5263157894736842,0.6896551724137931,0.7245238339381618,0.7333333333333333,0.6,0.631578947368421,0.16716732962203174
10,5,9,3416,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.5903589078036005,0.6666666666666666,0.6,0.631578947368421,0.16401663141472467
8,8,11,3413,0.5,0.42105263157894735,0.45714285714285713,0.45608321495196313,0.5333333333333333,0.4,0.42105263157894735,0.14928705191891228
10,4,8,3418,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.628248297611179,0.7333333333333333,0.65,0.6666666666666666,0.27558261839600345
13,5,5,3417,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7207610883823625,0.7333333333333333,0.7,0.7222222222222222,0.11230045651652229
11,1,7,3421,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7474423149712651,0.8,0.65,0.7222222222222222,0.26466870629155903
10,2,1,3427,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8699567125164823,0.6666666666666666,0.5,0.9090909090909091,0.40529595526378687
18,27,13,3382,0.4,0.5806451612903226,0.4736842105263158,0.4763369860302221,0.6666666666666666,0.5,0.45161290322580644,0.06935700234710451
7,2,4,3427,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.7026767601178231,0.7333333333333333,0.55,0.8181818181818182,0.48459919719444516
9,0,2,3429,1.0,0.8181818181818182,0.9,0.90427035961787,0.6666666666666666,0.5,0.9090909090909091,0.25860923745193015
6,3,4,3427,0.6666666666666666,0.6,0.631578947368421,0.6314415450295013,0.4666666666666667,0.45,0.6,0.4469554631905482
10,1,7,3422,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.7302694990847788,0.7333333333333333,0.6,0.6470588235294118,0.37905895664454325
11,3,6,3420,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.7117464958739493,0.8,0.65,0.7647058823529411,0.26482340851167135
11,6,6,3417,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6453059751507965,0.6666666666666666,0.6,0.6470588235294118,0.4193118352465692
12,6,5,3417,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.6843908548933234,0.7333333333333333,0.6,0.7058823529411765,0.28289757346769706
6,4,5,3425,0.6,0.5454545454545454,0.5714285714285713,0.5707708752077334,0.6,0.45,0.6363636363636364,0.5705292304301736
7,7,17,3409,0.5,0.2916666666666667,0.3684210526315789,0.3786444840606742,0.5333333333333333,0.5,0.4166666666666667,0.18794306854131834
7,10,17,3406,0.4117647058823529,0.2916666666666667,0.34146341463414637,0.3427223996931929,0.4666666666666667,0.4,0.4583333333333333,0.16895886671553792
9,2,3,3426,0.8181818181818182,0.75,0.7826086956521738,0.782625934792171,0.6,0.5,0.75,0.35364766761074506
7,2,7,3424,0.7777777777777778,0.5,0.6086956521739131,0.6224274455063871,0.5333333333333333,0.5,0.5714285714285714,0.44131047466579865
8,5,5,3422,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6139256133420126,0.6,0.5,0.6153846153846154,0.31441420337750475
6,0,5,3429,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664,0.6,0.5,0.7272727272727273,0.7088759816593027
11,7,3,3419,0.6111111111111112,0.7857142857142857,0.6875000000000001,0.6915367520970187,0.6666666666666666,0.6,0.7142857142857143,0.2115408212229315
1,1,9,3429,0.5,0.1,0.16666666666666669,0.22269533113165652,0.13333333333333333,0.1,0.2,0.09253913955460866
11,5,10,3414,0.6875,0.5238095238095238,0.5945945945945946,0.5979866973605624,0.7333333333333333,0.7,0.6666666666666666,0.22947646324366267
14,2,6,3418,0.875,0.7,0.7777777777777777,0.7815130794412245,0.8666666666666667,0.75,0.75,0.1251404524604446
14,8,5,3413,0.6363636363636364,0.7368421052631579,0.6829268292682926,0.6828886605613175,0.6666666666666666,0.6,0.631578947368421,0.05743617442194857
12,9,6,3413,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6150481145072519,0.6666666666666666,0.6,0.6666666666666666,0.06353151332671157
15,5,2,3418,0.75,0.8823529411764706,0.8108108108108107,0.8124986362993447,0.7333333333333333,0.75,0.7058823529411765,0.15947958193257225
8,2,2,3428,0.8,0.8,0.8000000000000002,0.7994169096209912,0.5333333333333333,0.4,0.8,0.4644682387073185
6,0,4,3430,1.0,0.6,0.7499999999999999,0.7741454040303064,0.4666666666666667,0.4,0.7,0.799678662053738
0,3,10,3427,0.0,0.0,0.0,-0.0015952318103325566,0.13333333333333333,0.15,0.1,0.05637117851110334
4,0,7,3429,1.0,0.36363636363636365,0.5333333333333333,0.6024081212119103,0.4,0.35,0.5454545454545454,0.5765051083132521
9,4,4,3423,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.69114049067361,0.6666666666666666,0.6,0.6923076923076923,0.31694673062855994
