tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
5,3,9,3423,0.625,0.35714285714285715,0.45454545454545453,0.4708850529760642,0.4,0.35,0.42857142857142855
10,3,1,3427,0.7692307692307693,0.9090909090909091,0.8333333333333333,0.8356811366422381,0.6666666666666666,0.5,0.8181818181818182
10,6,1,3424,0.625,0.9090909090909091,0.7407407407407406,0.7528768866518755,0.6666666666666666,0.5,0.7272727272727273
9,4,1,3427,0.6923076923076923,0.9,0.7826086956521738,0.788674583599574,0.6,0.45,0.9
1,6,10,3423,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.11170197719240241,0.06666666666666667,0.05,0.09090909090909091
9,6,3,3422,0.6,0.75,0.6666666666666665,0.6695479249213543,0.6,0.45,0.75
11,4,8,3418,0.7333333333333333,0.5789473684210527,0.6470588235294117,0.6498884853380837,0.7333333333333333,0.6,0.631578947368421
13,8,6,3414,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.6487799403862118,0.6666666666666666,0.65,0.631578947368421
14,6,5,3416,0.7,0.7368421052631579,0.717948717948718,0.7165805915993634,0.8,0.7,0.7368421052631579
12,13,7,3409,0.48,0.631578947368421,0.5454545454545454,0.5477663418646023,0.6666666666666666,0.55,0.5789473684210527
11,2,7,3421,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.7178808563430015,0.7333333333333333,0.7,0.7777777777777778
13,8,5,3415,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.666776340326671,0.7333333333333333,0.65,0.6666666666666666
13,2,5,3421,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.7901685699645742,0.8666666666666667,0.8,0.8333333333333334
6,4,5,3426,0.6,0.5454545454545454,0.5714285714285713,0.570771256106229,0.5333333333333333,0.4,0.5454545454545454
22,16,9,3394,0.5789473684210527,0.7096774193548387,0.6376811594202899,0.6374048268216541,0.7333333333333333,0.75,0.6774193548387096
10,4,1,3425,0.7142857142857143,0.9090909090909091,0.8,0.8051412361403012,0.6666666666666666,0.55,0.8181818181818182
8,8,3,3421,0.5,0.7272727272727273,0.5925925925925926,0.6015269517384686,0.5333333333333333,0.45,0.6363636363636364
6,5,4,3425,0.5454545454545454,0.6,0.5714285714285713,0.5707708752077334,0.4,0.3,0.5
13,2,4,3421,0.8666666666666667,0.7647058823529411,0.8125,0.8132320178343444,0.8666666666666667,0.7,0.8235294117647058
13,8,4,3415,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.6863312903414155,0.6666666666666666,0.65,0.6470588235294118
10,4,7,3419,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.6466327267710722,0.6666666666666666,0.55,0.6470588235294118
11,4,6,3419,0.7333333333333333,0.6470588235294118,0.6875,0.6874018979040556,0.7333333333333333,0.7,0.7058823529411765
5,7,6,3422,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.43330282389492586,0.4,0.35,0.45454545454545453
17,8,7,3409,0.68,0.7083333333333334,0.6938775510204083,0.6918294021983593,0.6666666666666666,0.7,0.6666666666666666
12,12,12,3405,0.5,0.5,0.5,0.49648814749780507,0.6,0.5,0.5
10,0,2,3428,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481,0.6666666666666666,0.5,0.8333333333333334
7,7,7,3419,0.5,0.5,0.5,0.4979568009340339,0.4666666666666667,0.4,0.5
5,4,8,3423,0.5555555555555556,0.38461538461538464,0.4545454545454546,0.4605786460551915,0.5333333333333333,0.5,0.5384615384615384
9,0,2,3430,1.0,0.8181818181818182,0.9,0.90427043645719,0.6,0.45,0.8181818181818182
11,10,3,3416,0.5238095238095238,0.7857142857142857,0.6285714285714286,0.6398037495077046,0.7333333333333333,0.55,0.7857142857142857
2,4,8,3427,0.3333333333333333,0.2,0.25,0.25654429431557474,0.2,0.15,0.3
16,10,5,3409,0.6153846153846154,0.7619047619047619,0.6808510638297872,0.6826075024895769,0.7333333333333333,0.65,0.6666666666666666
16,6,4,3414,0.7272727272727273,0.8,0.761904761904762,0.7613199707449878,0.8666666666666667,0.7,0.7
14,7,5,3415,0.6666666666666666,0.7368421052631579,0.7,0.6991352382359197,0.7333333333333333,0.65,0.6842105263157895
15,3,3,3419,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8324566530294175,0.8,0.75,0.8333333333333334
17,3423,0,0,0.004941860465116279,1.0,0.009835117153601388,0.0,0.8,0.7,0.8235294117647058
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271,0.6,0.45,0.8
6,2,4,3428,0.75,0.6,0.6666666666666665,0.6699731793952345,0.5333333333333333,0.4,0.6
2,2,8,3429,0.5,0.2,0.28571428571428575,0.31503075141756093,0.2,0.15,0.3
9,4,2,3425,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.751764034973566,0.6,0.45,0.8181818181818182
10,0,3,3428,1.0,0.7692307692307693,0.8695652173913044,0.8766744941727487,0.6666666666666666,0.5,0.7692307692307693
9,4,8,3419,0.6923076923076923,0.5294117647058824,0.5999999999999999,0.6037165705111003,0.6666666666666666,0.55,0.6470588235294118
17,3423,0,0,0.004941860465116279,1.0,0.009835117153601388,0.0,0.7333333333333333,0.65,0.7058823529411765
2,5,8,3426,0.2857142857142857,0.2,0.23529411764705882,0.23720023493687983,0.2,0.15,0.2
9,7,1,3423,0.5625,0.9,0.6923076923076923,0.7105207853271024,0.6,0.5,0.9
8,4,2,3427,0.6666666666666666,0.8,0.7272727272727272,0.7294451163314019,0.6,0.45,0.8
4,7,8,3421,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.3459720461706146,0.4,0.3,0.4166666666666667
3,4,10,3424,0.42857142857142855,0.23076923076923078,0.3,0.312621817242683,0.3333333333333333,0.25,0.38461538461538464
6,1,7,3427,0.8571428571428571,0.46153846153846156,0.6,0.6280239888021256,0.4,0.3,0.46153846153846156
2,3,10,3425,0.4,0.16666666666666666,0.23529411764705882,0.25658128282632015,0.2,0.15,0.16666666666666666
5,4,8,3423,0.5555555555555556,0.38461538461538464,0.4545454545454546,0.4605786460551915,0.4666666666666667,0.35,0.38461538461538464
2,0,9,3429,1.0,0.18181818181818182,0.3076923076923077,0.4258429499139708,0.3333333333333333,0.25,0.45454545454545453
4,7,10,3419,0.36363636363636365,0.2857142857142857,0.32,0.31988412249386605,0.3333333333333333,0.25,0.35714285714285715
1,1,11,3428,0.5,0.08333333333333333,0.14285714285714285,0.2031138449640341,0.13333333333333333,0.1,0.08333333333333333
