,tp,fp,fn,tn,precision,recall,f_measure,mcc
0,14,0,0,3366,1.0,1.0,1.0,1.0
1,11,0,0,3369,1.0,1.0,1.0,1.0
2,11,0,0,3369,1.0,1.0,1.0,1.0
3,10,0,0,3370,1.0,1.0,1.0,1.0
4,2,1,8,3369,0.6666666666666666,0.2,0.30769230769230765,0.36422852585485016
5,12,0,0,3368,1.0,1.0,1.0,1.0
6,19,0,0,3361,1.0,1.0,1.0,1.0
7,19,2,0,3359,0.9047619047619048,1.0,0.9500000000000001,0.9509066811437116
8,19,1,0,3360,0.95,1.0,0.9743589743589743,0.9745344252657101
9,19,0,0,3361,1.0,1.0,1.0,1.0
10,15,1,3,3361,0.9375,0.8333333333333334,0.8823529411764706,0.8833052985702271
11,18,0,0,3362,1.0,1.0,1.0,1.0
12,18,1,0,3361,0.9473684210526315,1.0,0.972972972972973,0.9731837616277124
13,11,0,0,3369,1.0,1.0,1.0,1.0
14,30,0,1,3349,1.0,0.967741935483871,0.9836065573770492,0.9835919160374257
15,11,1,0,3368,0.9166666666666666,1.0,0.9565217391304348,0.957285003546612
16,11,1,0,3368,0.9166666666666666,1.0,0.9565217391304348,0.957285003546612
17,10,0,0,3370,1.0,1.0,1.0,1.0
18,15,1,2,3362,0.9375,0.8823529411764706,0.9090909090909091,0.9090669417622455
19,16,2,1,3361,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9142171022959672
20,17,2,0,3361,0.8947368421052632,1.0,0.9444444444444444,0.9456239927934317
21,17,3,0,3360,0.85,1.0,0.9189189189189189,0.9215431343344129
22,11,0,0,3369,1.0,1.0,1.0,1.0
23,23,0,1,3356,1.0,0.9583333333333334,0.9787234042553191,0.9787991929873217
24,24,2,0,3354,0.9230769230769231,1.0,0.9600000000000001,0.960482596219238
25,12,0,0,3368,1.0,1.0,1.0,1.0
26,14,0,0,3366,1.0,1.0,1.0,1.0
27,13,0,0,3367,1.0,1.0,1.0,1.0
28,11,0,0,3369,1.0,1.0,1.0,1.0
29,13,0,1,3366,1.0,0.9285714285714286,0.962962962962963,0.9634810027091125
30,7,0,2,3371,1.0,0.7777777777777778,0.8750000000000001,0.8816556012054464
31,21,4,0,3355,0.84,1.0,0.9130434782608696,0.915969269294745
32,20,0,0,3360,1.0,1.0,1.0,1.0
33,17,1,2,3360,0.9444444444444444,0.8947368421052632,0.918918918918919,0.9188123590309046
34,18,1,0,3361,0.9473684210526315,1.0,0.972972972972973,0.9731837616277124
35,15,2,2,3361,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8817582340697206
36,10,0,0,3370,1.0,1.0,1.0,1.0
37,10,0,0,3370,1.0,1.0,1.0,1.0
38,9,1,0,3370,0.9,1.0,0.9473684210526316,0.9485425751693642
39,11,0,0,3369,1.0,1.0,1.0,1.0
40,11,0,2,3367,1.0,0.8461538461538461,0.9166666666666666,0.9195931321206756
41,17,1,0,3362,0.9444444444444444,1.0,0.9714285714285714,0.9716808172095011
42,16,1,1,3362,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9408791170348604
43,10,0,0,3370,1.0,1.0,1.0,1.0
44,10,0,0,3370,1.0,1.0,1.0,1.0
45,10,0,0,3370,1.0,1.0,1.0,1.0
46,10,3,2,3365,0.7692307692307693,0.8333333333333334,0.8,0.7999037366002145
47,3,0,9,3368,1.0,0.25,0.4,0.4993332836503989
48,9,1,3,3367,0.9,0.75,0.8181818181818182,0.821014852255726
49,4,0,8,3368,1.0,0.3333333333333333,0.5,0.5766657991574076
50,13,0,0,3367,1.0,1.0,1.0,1.0
51,2,2,8,3368,0.5,0.2,0.28571428571428575,0.31500910586357644
52,14,0,0,3366,1.0,1.0,1.0,1.0
53,8,1,3,3368,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.803463649049882
54,9,1,2,3368,0.9,0.8181818181818182,0.8571428571428572,0.8576777384837762
55,8,2,3,3367,0.8,0.7272727272727273,0.761904761904762,0.7620343615099998
56,2,0,9,3369,1.0,0.18181818181818182,0.3076923076923077,0.425833023528019
57,1,1,10,3368,0.5,0.09090909090909091,0.15384615384615385,0.21222132576537367
58,8,1,4,3367,0.8888888888888888,0.6666666666666666,0.761904761904762,0.7691150512220418
59,1,0,10,3369,1.0,0.09090909090909091,0.16666666666666669,0.30106485929715976
60,16,0,0,3364,1.0,1.0,1.0,1.0
61,11,1,3,3365,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.848095610436828
62,17,0,0,3363,1.0,1.0,1.0,1.0
63,23,0,1,3356,1.0,0.9583333333333334,0.9787234042553191,0.9787991929873217
64,21,3,3,3353,0.875,0.875,0.875,0.8741060786650775
65,24,4,0,3352,0.8571428571428571,1.0,0.923076923076923,0.9252681950440578
66,24,0,0,3356,1.0,1.0,1.0,1.0
67,14,0,0,3366,1.0,1.0,1.0,1.0
68,14,0,0,3366,1.0,1.0,1.0,1.0
69,10,0,0,3370,1.0,1.0,1.0,1.0
70,14,0,0,3366,1.0,1.0,1.0,1.0
71,14,0,0,3366,1.0,1.0,1.0,1.0
72,6,0,4,3370,1.0,0.6,0.7499999999999999,0.7741373767793752
73,6,1,7,3366,0.8571428571428571,0.46153846153846156,0.6,0.6280068532471412
74,9,2,3,3366,0.8181818181818182,0.75,0.7826086956521738,0.782613047598245
75,13,2,0,3365,0.8666666666666667,1.0,0.9285714285714286,0.9306728029505676
76,7,0,4,3369,1.0,0.6363636363636364,0.7777777777777778,0.7972508892474797
77,10,1,3,3366,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.8356709789611896
78,7,0,2,3371,1.0,0.7777777777777778,0.8750000000000001,0.8816556012054464
79,10,0,0,3370,1.0,1.0,1.0,1.0
80,7,3,4,3366,0.7,0.6363636363636364,0.6666666666666666,0.6663909845362234
81,21,0,1,3358,1.0,0.9545454545454546,0.9767441860465117,0.9768629786517281
82,9,0,1,3370,1.0,0.9,0.9473684210526316,0.9485425751693642
83,9,0,6,3365,1.0,0.6,0.7499999999999999,0.7739070148510843
84,11,1,1,3367,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9163697545526525
85,5,0,6,3369,1.0,0.45454545454545453,0.625,0.6736003071090257
86,8,1,3,3368,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.803463649049882
87,6,0,3,3371,1.0,0.6666666666666666,0.8,0.8161335052790344
88,6,1,4,3369,0.8571428571428571,0.6,0.7058823529411764,0.7164636685552329
89,2,0,8,3370,1.0,0.2,0.33333333333333337,0.4466837213855666
90,17,2,0,3361,0.8947368421052632,1.0,0.9444444444444444,0.9456239927934317
