tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
13,0,1,3426,1.0,0.9285714285714286,0.962962962962963,0.9634835084469433,0.9333333333333333,0.7,1.0,0.8852583444155963
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9908657647658118
10,0,1,3429,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109,0.7333333333333333,0.55,1.0,0.9970142131959218
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.9441027034169146
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.19251218449210802
12,0,0,3428,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.8173891265266517
19,0,0,3421,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9462354166730896
19,0,0,3421,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9298256807507083
17,0,2,3421,1.0,0.8947368421052632,0.9444444444444444,0.9456289244541289,1.0,0.95,1.0,0.9750760689842306
19,0,0,3421,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9414930826744485
18,2,0,3420,0.9,1.0,0.9473684210526316,0.9484060268775449,0.9333333333333333,0.9,0.8888888888888888,0.26228519853650883
18,0,0,3422,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.6048430590210419
17,2,1,3420,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9188201161677553,1.0,0.9,0.8888888888888888,0.3915564317580877
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9551863666823993
30,0,1,3409,1.0,0.967741935483871,0.9836065573770492,0.9835944998803484,1.0,1.0,1.0,0.46319354647364447
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9724022911422265
11,1,0,3428,0.9166666666666666,1.0,0.9565217391304348,0.9572874902407936,0.7333333333333333,0.55,1.0,0.9669105226795817
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.9916946536249938
16,1,1,3422,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9408843291917994,1.0,0.85,0.9411764705882353,0.5730836628175424
17,0,0,3423,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.3653515221168111
16,0,1,3423,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.8,0.9411764705882353,0.6721655333585761
16,1,1,3422,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9408843291917994,0.9333333333333333,0.8,0.9411764705882353,0.6036278236993785
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9701439218173074
23,1,1,3415,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9580405932864949,0.9333333333333333,0.95,0.9583333333333334,0.8203739880837116
24,1,0,3415,0.96,1.0,0.9795918367346939,0.9796524738676645,0.9333333333333333,0.95,0.9583333333333334,0.5847625480345995
11,0,1,3428,1.0,0.9166666666666666,0.9565217391304348,0.9572874902407936,0.8,0.6,1.0,0.9841615581408215
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9281994780740903
