tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
11,0,0,3430,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
11,0,0,3430,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
10,0,0,3431,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
4,2,7,3427,0.6666666666666666,0.36363636363636365,0.4705882352941177,0.49121822084041306,0.7333333333333333,0.55,0.8181818181818182
12,0,0,3428,1.0,1.0,1.0,1.0,0.8,0.6,1.0
19,1,0,3421,0.95,1.0,0.9743589743589743,0.9745370103646278,1.0,0.95,1.0
19,0,0,3422,1.0,1.0,1.0,1.0,1.0,0.95,1.0
19,0,0,3422,1.0,1.0,1.0,1.0,1.0,0.95,1.0
19,0,0,3422,1.0,1.0,1.0,1.0,1.0,0.95,1.0
13,3,5,3420,0.8125,0.7222222222222222,0.7647058823529411,0.7648793377667951,0.8666666666666667,0.85,0.8333333333333334
18,3,0,3420,0.8571428571428571,1.0,0.923076923076923,0.9254143052758396,1.0,0.85,0.8888888888888888
14,0,4,3423,1.0,0.7777777777777778,0.8750000000000001,0.8814022658721741,1.0,0.9,1.0
11,0,0,3430,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
30,0,1,3410,1.0,0.967741935483871,0.9836065573770492,0.9835945421742126,1.0,1.0,0.967741935483871
10,0,1,3429,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109,0.7333333333333333,0.55,1.0
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
17,0,0,3423,1.0,1.0,1.0,1.0,1.0,0.85,1.0
16,0,1,3423,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.85,1.0
14,0,3,3423,1.0,0.8235294117647058,0.9032258064516129,0.9070878031825806,1.0,0.8,0.9411764705882353
14,2,3,3421,0.875,0.8235294117647058,0.8484848484848485,0.8481485421068694,0.8666666666666667,0.8,0.8823529411764706
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
24,1,0,3416,0.96,1.0,0.9795918367346939,0.9796525158441765,0.9333333333333333,0.95,0.9583333333333334
22,0,2,3417,1.0,0.9166666666666666,0.9565217391304348,0.9571470354649116,1.0,1.0,0.9583333333333334
12,1,0,3427,0.9230769230769231,1.0,0.9600000000000001,0.9606287771186212,0.8,0.6,0.9166666666666666
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
13,0,0,3427,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
11,0,0,3430,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
13,0,1,3426,1.0,0.9285714285714286,0.962962962962963,0.9634835084469433,0.9333333333333333,0.7,1.0
4,0,6,3431,1.0,0.4,0.5714285714285715,0.631903249408741,0.6666666666666666,0.5,1.0
20,1,1,3418,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9520884691987354,1.0,0.95,0.9523809523809523
20,0,0,3420,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0,1,3422,1.0,0.9473684210526315,0.972972972972973,0.9731863416217709,1.0,0.9,0.9473684210526315
18,3,0,3419,0.8571428571428571,1.0,0.923076923076923,0.9254141866658182,1.0,0.85,0.8888888888888888
13,0,4,3423,1.0,0.7647058823529411,0.8666666666666666,0.8739641390797831,0.9333333333333333,0.85,0.9411764705882353
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
10,1,0,3430,0.9090909090909091,1.0,0.9523809523809523,0.9533236309136957,0.6666666666666666,0.5,0.9
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
13,0,0,3428,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
13,0,4,3423,1.0,0.7647058823529411,0.8666666666666666,0.8739641390797831,0.9333333333333333,0.85,0.9411764705882353
14,0,3,3423,1.0,0.8235294117647058,0.9032258064516129,0.9070878031825806,1.0,0.85,1.0
10,1,0,3430,0.9090909090909091,1.0,0.9523809523809523,0.9533236309136957,0.6666666666666666,0.5,0.9
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
10,0,0,3431,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
3,1,9,3427,0.75,0.25,0.375,0.43200364169020883,0.8,0.6,0.9166666666666666
13,5,0,3423,0.7222222222222222,1.0,0.8387096774193548,0.8492165836299339,0.6666666666666666,0.65,0.6153846153846154
3,1,10,3427,0.75,0.23076923076923078,0.3529411764705882,0.41495488794435503,0.8,0.6,0.8461538461538461
3,1,9,3427,0.75,0.25,0.375,0.43200364169020883,0.8,0.6,0.9166666666666666
13,0,0,3427,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
6,2,5,3427,0.75,0.5454545454545454,0.631578947368421,0.6386389070706447,0.7333333333333333,0.55,0.8181818181818182
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
2,2,10,3427,0.5,0.16666666666666666,0.25,0.2873299168314338,0.6666666666666666,0.5,0.8333333333333334
4,0,8,3428,1.0,0.3333333333333333,0.5,0.5766777584556214,0.8,0.6,1.0
11,4,1,3424,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8192064604463354,0.7333333333333333,0.6,0.75
2,2,10,3426,0.5,0.16666666666666666,0.25,0.2873295249247962,0.8,0.6,0.8333333333333334
3,0,9,3428,1.0,0.25,0.4,0.4993449302085611,0.8,0.6,1.0
3,0,9,3428,1.0,0.25,0.4,0.4993449302085611,0.8,0.6,1.0
1,0,10,3429,1.0,0.09090909090909091,0.16666666666666669,0.30107265477089035,0.7333333333333333,0.55,0.9090909090909091
15,0,1,3424,1.0,0.9375,0.967741935483871,0.9681044764756864,1.0,0.75,0.9375
15,0,0,3426,1.0,1.0,1.0,1.0,1.0,0.75,1.0
14,1,3,3422,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.8761470777994887,0.9333333333333333,0.85,0.9411764705882353
22,0,2,3416,1.0,0.9166666666666666,0.9565217391304348,0.9571469535125184,1.0,1.0,1.0
23,2,1,3415,0.92,0.9583333333333334,0.9387755102040817,0.9385349281804883,0.9333333333333333,0.95,0.9166666666666666
24,1,0,3415,0.96,1.0,0.9795918367346939,0.9796524738676645,1.0,0.95,0.9583333333333334
24,1,0,3416,0.96,1.0,0.9795918367346939,0.9796525158441765,1.0,1.0,0.9583333333333334
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
13,2,1,3424,0.8666666666666667,0.9285714285714286,0.896551724137931,0.89665212008541,0.8666666666666667,0.65,0.9285714285714286
10,0,0,3431,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
2,2,9,3427,0.5,0.18181818181818182,0.26666666666666666,0.30023781835845864,0.7333333333333333,0.55,0.7272727272727273
9,3,4,3424,0.75,0.6923076923076923,0.7199999999999999,0.7195605692627663,0.8,0.65,0.7692307692307693
2,2,11,3425,0.5,0.15384615384615385,0.23529411764705882,0.27593590241427496,0.8666666666666667,0.65,0.8461538461538461
4,0,10,3427,1.0,0.2857142857142857,0.4444444444444445,0.5337443170360175,0.9333333333333333,0.7,1.0
2,5,10,3424,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.21615118920496249,0.6666666666666666,0.6,0.5833333333333334
5,1,9,3426,0.8333333333333334,0.35714285714285715,0.5,0.5444638644366327,0.8666666666666667,0.7,0.8571428571428571
3,0,7,3430,1.0,0.3,0.4615384615384615,0.5471645109440669,0.6666666666666666,0.5,1.0
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
4,1,7,3428,0.8,0.36363636363636365,0.5000000000000001,0.5384564478525499,0.7333333333333333,0.55,0.9090909090909091
21,1,1,3417,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542528857917975,1.0,0.95,0.9545454545454546
9,0,1,3431,1.0,0.9,0.9473684210526316,0.9485450765450013,0.6666666666666666,0.5,1.0
5,1,11,3424,0.8333333333333334,0.3125,0.45454545454545453,0.5090909200219106,0.9333333333333333,0.8,0.9375
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585,0.8,0.6,1.0
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914,0.7333333333333333,0.55,0.9090909090909091
7,1,4,3428,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289,0.7333333333333333,0.55,0.9090909090909091
