tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3426,0.0,0.0,0.0,0.0
9,1,2,3429,0.9,0.8181818181818182,0.8571428571428572,0.857685537211829
8,0,3,3430,1.0,0.7272727272727273,0.8421052631578948,0.8524301640285376
6,0,4,3431,1.0,0.6,0.7499999999999999,0.7741455354412813
0,0,11,3429,0.0,0.0,0.0,0.0
6,1,6,3427,0.8571428571428571,0.5,0.631578947368421,0.6537950944228499
4,3,15,3419,0.5714285714285714,0.21052631578947367,0.3076923076923077,0.34479562716992523
0,0,19,3422,0.0,0.0,0.0,0.0
0,0,19,3422,0.0,0.0,0.0,0.0
0,1,19,3421,0.0,0.0,0.0,-0.0012704499971245972
11,0,7,3423,1.0,0.6111111111111112,0.7586206896551725,0.7809378628151098
10,4,8,3419,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6282487917378599
8,3,10,3420,0.7272727272727273,0.4444444444444444,0.5517241379310345,0.566834828320106
7,2,4,3428,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.7026770077659564
3,3,28,3407,0.5,0.0967741935483871,0.16216216216216214,0.217176292172279
4,2,7,3427,0.6666666666666666,0.36363636363636365,0.4705882352941177,0.49121822084041306
5,1,6,3428,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.6146146484503897
3,0,7,3430,1.0,0.3,0.4615384615384615,0.5471645109440669
9,5,8,3418,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.5815189576681951
10,1,7,3422,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.7302694990847788
10,5,7,3418,0.6666666666666666,0.5882352941176471,0.625,0.6244868379389112
11,0,6,3423,1.0,0.6470588235294118,0.7857142857142858,0.803695596674924
9,4,2,3425,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.751764034973566
0,1,24,3416,0.0,0.0,0.0,-0.0014289068236167236
0,0,24,3417,0.0,0.0,0.0,0.0
7,1,5,3427,0.875,0.5833333333333334,0.7000000000000001,0.7136609812682828
7,0,7,3426,1.0,0.5,0.6666666666666666,0.7063855063222145
7,0,6,3427,1.0,0.5384615384615384,0.7000000000000001,0.7331578590907595
7,0,4,3430,1.0,0.6363636363636364,0.7777777777777778,0.7972592964450076
7,0,7,3426,1.0,0.5,0.6666666666666666,0.7063855063222145
0,0,10,3431,0.0,0.0,0.0,0.0
12,2,9,3417,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.6984231736356145
11,2,9,3418,0.8461538461538461,0.55,0.6666666666666667,0.6807693532639716
11,2,8,3420,0.8461538461538461,0.5789473684210527,0.6875,0.6985944935928962
8,4,10,3418,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.5424241167333463
12,2,5,3421,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.7768602649768265
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271
6,0,4,3430,1.0,0.6,0.7499999999999999,0.7741454040303064
0,1,10,3430,0.0,0.0,0.0,-0.0009204716556411914
4,3,7,3426,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.4544805691119959
6,1,7,3427,0.8571428571428571,0.46153846153846156,0.6,0.6280239888021256
6,3,11,3420,0.6666666666666666,0.35294117647058826,0.46153846153846156,0.4833022794268815
4,3,13,3420,0.5714285714285714,0.23529411764705882,0.3333333333333333,0.3647811405921308
1,2,9,3429,0.3333333333333333,0.1,0.15384615384615383,0.1813250462233036
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195
8,1,2,3430,0.8888888888888888,0.8,0.8421052631578948,0.8428439978704538
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
1,0,12,3428,1.0,0.07692307692307693,0.14285714285714288,0.27686592532890175
1,0,12,3428,1.0,0.07692307692307693,0.14285714285714288,0.27686592532890175
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
