tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0,7,14,3419,0.0,0.0,0.0,-0.002886572413459137,0.0,0.0,0.0,0.02813874171910165
10,1,1,3429,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9087993639014047,0.6666666666666666,0.5,0.9090909090909091,0.40577142598110194
8,0,3,3430,1.0,0.7272727272727273,0.8421052631578948,0.8524301640285376,0.6666666666666666,0.55,0.7272727272727273,0.4970352063835598
6,0,4,3431,1.0,0.6,0.7499999999999999,0.7741455354412813,0.5333333333333333,0.4,0.7,0.4581450181380707
1,2,10,3427,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.1727593872491786,0.13333333333333333,0.1,0.18181818181818182,0.053583347846756106
6,1,6,3427,0.8571428571428571,0.5,0.631578947368421,0.6537950944228499,0.5333333333333333,0.4,0.6666666666666666,0.5401522820222193
8,47,11,3375,0.14545454545454545,0.42105263157894735,0.2162162162162162,0.2406719938029873,0.3333333333333333,0.25,0.2631578947368421,0.0500068437089663
0,10,19,3412,0.0,0.0,0.0,-0.00402278145018343,0.06666666666666667,0.1,0.10526315789473684,0.11130952161281917
1,11,18,3411,0.08333333333333333,0.05263157894736842,0.06451612903225808,0.06211829929463816,0.13333333333333333,0.1,0.10526315789473684,0.11097112736838854
1,7,18,3415,0.125,0.05263157894736842,0.07407407407407407,0.07783325179146325,0.06666666666666667,0.05,0.05263157894736842,0.10612818164581185
13,2,5,3421,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.7901685699645742,0.8666666666666667,0.65,0.7222222222222222,0.092671075581907
14,4,4,3419,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7766092121920343,0.7333333333333333,0.75,0.7777777777777778,0.16057063988225476
11,5,7,3418,0.6875,0.6111111111111112,0.6470588235294118,0.6464430771635532,0.6666666666666666,0.65,0.7222222222222222,0.12537935661094357
7,2,4,3428,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.7026770077659564,0.5333333333333333,0.4,0.7272727272727273,0.5040737415002666
16,28,15,3382,0.36363636363636365,0.5161290322580645,0.4266666666666667,0.42714707171365074,0.4666666666666667,0.45,0.41935483870967744,0.16009315549765285
5,8,6,3421,0.38461538461538464,0.45454545454545453,0.41666666666666663,0.41609628271876287,0.3333333333333333,0.3,0.36363636363636365,0.1486062869303455
7,3,4,3426,0.7,0.6363636363636364,0.6666666666666666,0.6664090540053272,0.5333333333333333,0.4,0.7272727272727273,0.21197110349875842
8,8,2,3422,0.5,0.8,0.6153846153846154,0.6311639183944651,0.5333333333333333,0.4,0.6,0.05619380242541309
12,9,5,3414,0.5714285714285714,0.7058823529411765,0.6315789473684211,0.6331117236129601,0.6666666666666666,0.6,0.6470588235294118,0.09905561418311254
11,3,6,3420,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.7117464958739493,0.7333333333333333,0.55,0.6470588235294118,0.1562849520139127
13,9,4,3414,0.5909090909090909,0.7647058823529411,0.6666666666666667,0.6703925398417578,0.6666666666666666,0.6,0.7058823529411765,0.09518155736901238
12,7,5,3416,0.631578947368421,0.7058823529411765,0.6666666666666667,0.6659580765663249,0.8,0.6,0.7058823529411765,0.08096792285540122
9,6,2,3423,0.6,0.8181818181818182,0.6923076923076923,0.6995587705890035,0.6,0.45,0.8181818181818182,0.29970620407470266
0,35,24,3382,0.0,0.0,0.0,-0.008495615171625084,0.0,0.0,0.0,0.07607223906896417
5,67,19,3350,0.06944444444444445,0.20833333333333334,0.10416666666666667,0.10973417897646238,0.06666666666666667,0.05,0.041666666666666664,0.040200888777584695
7,1,5,3427,0.875,0.5833333333333334,0.7000000000000001,0.7136609812682828,0.5333333333333333,0.4,0.5833333333333334,0.4677672736374371
7,0,7,3426,1.0,0.5,0.6666666666666666,0.7063855063222145,0.6,0.45,0.6428571428571429,0.5015393561275563
7,0,6,3427,1.0,0.5384615384615384,0.7000000000000001,0.7331578590907595,0.5333333333333333,0.4,0.6153846153846154,0.471139569674297
8,3,3,3427,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263980917042141,0.6,0.5,0.7272727272727273,0.07993066878588723
7,0,7,3426,1.0,0.5,0.6666666666666666,0.7063855063222145,0.5333333333333333,0.4,0.5714285714285714,0.4693507221920725
2,6,8,3425,0.25,0.2,0.22222222222222224,0.22158704878501592,0.13333333333333333,0.2,0.2,0.047606125895970304
14,5,7,3414,0.7368421052631579,0.6666666666666666,0.7,0.6991347290616474,0.8666666666666667,0.7,0.6666666666666666,0.09693077073088859
12,6,8,3414,0.6666666666666666,0.6,0.631578947368421,0.6304219398932609,0.7333333333333333,0.6,0.6,0.10267965592946864
14,3,5,3419,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.7778267529662114,0.8,0.7,0.7368421052631579,0.1342698523428151
10,8,8,3414,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.55321774141178,0.6,0.5,0.5555555555555556,0.10238791651771562
12,3,5,3420,0.8,0.7058823529411765,0.7500000000000001,0.7503169578691999,0.8,0.65,0.7647058823529411,0.42868884670832436
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271,0.5333333333333333,0.45,0.8,0.540447998031012
6,0,4,3430,1.0,0.6,0.7499999999999999,0.7741454040303064,0.4666666666666667,0.35,0.6,0.3650904547886864
0,4,10,3427,0.0,0.0,0.0,-0.001841746573619181,0.2,0.15,0.1,0.07794357385438337
4,3,7,3426,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.4544805691119959,0.4,0.3,0.45454545454545453,0.4783465149499823
6,2,7,3426,0.75,0.46153846153846156,0.5714285714285714,0.5871766095002185,0.4666666666666667,0.35,0.5384615384615384,0.30483173842526573
9,7,8,3416,0.5625,0.5294117647058824,0.5454545454545455,0.5435178428870616,0.6,0.65,0.5882352941176471,0.08519827534641208
6,5,11,3418,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.4365651087241978,0.4666666666666667,0.35,0.4117647058823529,0.0742884915937445
4,12,6,3419,0.25,0.4,0.3076923076923077,0.3137371773839065,0.26666666666666666,0.2,0.4,0.15251499049483036
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195,0.6,0.45,0.8,0.35544987456831567
8,2,2,3429,0.8,0.8,0.8000000000000002,0.7994170795686388,0.6,0.45,0.8,0.3103274905391113
3,12,9,3416,0.2,0.25,0.22222222222222224,0.22057231834641106,0.2,0.15,0.25,0.07088951389674845
4,9,9,3419,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3050668701193789,0.26666666666666666,0.25,0.3076923076923077,0.06474779657172441
2,5,11,3423,0.2857142857142857,0.15384615384615385,0.2,0.20748776005620215,0.13333333333333333,0.1,0.15384615384615385,0.0765574735415774
6,12,6,3416,0.3333333333333333,0.5,0.4,0.40574531790806717,0.4,0.35,0.5,0.04967475043759847
3,2,10,3425,0.6,0.23076923076923078,0.33333333333333337,0.3707307104746864,0.3333333333333333,0.35,0.38461538461538464,0.44778535895767235
3,6,8,3423,0.3333333333333333,0.2727272727272727,0.3,0.29948956111772945,0.2,0.2,0.2727272727272727,0.05799227686114693
0,14,14,3412,0.0,0.0,0.0,-0.004086398131932283,0.0,0.05,0.0,0.058594209145764936
4,5,8,3424,0.4444444444444444,0.3333333333333333,0.380952380952381,0.38304892531492873,0.26666666666666666,0.2,0.3333333333333333,0.06528760610767619
2,28,10,3400,0.06666666666666667,0.16666666666666666,0.09523809523809522,0.10050756448561111,0.06666666666666667,0.1,0.08333333333333333,0.07189584801832062
6,19,6,3409,0.24,0.5,0.32432432432432434,0.34322155973977114,0.26666666666666666,0.2,0.3333333333333333,0.05291459965004473
4,7,8,3421,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.3459720461706146,0.26666666666666666,0.2,0.3333333333333333,0.0700471144190391
5,5,7,3423,0.5,0.4166666666666667,0.45454545454545453,0.4547050490913501,0.3333333333333333,0.25,0.4166666666666667,0.07990264455488592
3,5,9,3423,0.375,0.25,0.3,0.30422239294892106,0.2,0.2,0.25,0.06570769308268237
7,25,4,3404,0.21875,0.6363636363636364,0.3255813953488372,0.3699612740218582,0.2,0.15,0.2727272727272727,0.07183976896926628
6,9,10,3415,0.4,0.375,0.38709677419354843,0.3845274789739876,0.4,0.45,0.4375,0.11394645479739933
3,7,12,3419,0.3,0.2,0.24,0.24226985346398786,0.2,0.2,0.2,0.15020247412278964
9,4,8,3419,0.6923076923076923,0.5294117647058824,0.5999999999999999,0.6037165705111003,0.7333333333333333,0.65,0.7058823529411765,0.1281741029983077
1,23,23,3393,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.03493364558938329,0.06666666666666667,0.05,0.041666666666666664,0.1083936734015788
3,75,21,3342,0.038461538461538464,0.125,0.058823529411764705,0.05761946963475377,0.06666666666666667,0.05,0.041666666666666664,0.040888316286908366
3,64,21,3352,0.04477611940298507,0.125,0.06593406593406594,0.06400409231519873,0.0,0.0,0.041666666666666664,0.043278055124557825
6,37,18,3380,0.13953488372093023,0.25,0.1791044776119403,0.17918107823154997,0.13333333333333333,0.2,0.20833333333333334,0.06321454053824224
7,14,7,3412,0.3333333333333333,0.5,0.4,0.40532605299606517,0.4666666666666667,0.35,0.5,0.1546340391159098
6,8,8,3418,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42623634392461013,0.4,0.4,0.42857142857142855,0.19686084298172554
6,0,4,3431,1.0,0.6,0.7499999999999999,0.7741455354412813,0.6666666666666666,0.5,0.8,0.2772404337120383
3,9,11,3417,0.25,0.21428571428571427,0.23076923076923075,0.22855087182760375,0.2,0.15,0.21428571428571427,0.1635714959549291
6,15,8,3411,0.2857142857142857,0.42857142857142855,0.34285714285714286,0.3467066288681553,0.3333333333333333,0.3,0.35714285714285715,0.11286310763786063
3,6,8,3423,0.3333333333333333,0.2727272727272727,0.3,0.29948956111772945,0.2,0.15,0.2727272727272727,0.061170187608755075
4,6,9,3421,0.4,0.3076923076923077,0.34782608695652173,0.34867440417869583,0.26666666666666666,0.2,0.3076923076923077,0.06675918282930199
4,35,9,3392,0.10256410256410256,0.3076923076923077,0.15384615384615385,0.17240499732722303,0.13333333333333333,0.1,0.15384615384615385,0.03741408737404065
2,2,12,3425,0.5,0.14285714285714285,0.22222222222222224,0.26578193084971224,0.2,0.2,0.21428571428571427,0.06496505532162648
3,10,9,3419,0.23076923076923078,0.25,0.24000000000000002,0.23742496092298648,0.2,0.15,0.25,0.05317625325587515
0,9,14,3418,0.0,0.0,0.0,-0.0032730646283063137,0.06666666666666667,0.05,0.07142857142857142,0.0705539172023545
2,13,8,3417,0.13333333333333333,0.2,0.16,0.16032161783706272,0.13333333333333333,0.1,0.2,0.045644585789733745
7,0,3,3430,1.0,0.7,0.8235294117647058,0.8362943800631778,0.5333333333333333,0.4,0.8,0.5898504816863603
5,13,6,3416,0.2777777777777778,0.45454545454545453,0.3448275862068966,0.35273103406719075,0.2,0.25,0.2727272727272727,0.0663893204352105
4,69,18,3349,0.0547945205479452,0.18181818181818182,0.08421052631578947,0.0894002790023075,0.06666666666666667,0.1,0.09090909090909091,0.03874865603401049
