tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3426,0.0,0.0,0.0,0.0
4,4,7,3426,0.5,0.36363636363636365,0.4210526315789474,0.42484821148885854
2,3,9,3427,0.4,0.18181818181818182,0.25000000000000006,0.2681482212927206
3,3,7,3428,0.5,0.3,0.37499999999999994,0.38594460459700136
0,0,11,3429,0.0,0.0,0.0,0.0
4,2,8,3426,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4701681395528742
2,3,17,3419,0.4,0.10526315789473684,0.16666666666666666,0.2030717289288622
0,0,19,3422,0.0,0.0,0.0,0.0
1,1,18,3421,0.5,0.05263157894736842,0.09523809523809525,0.16092149561288813
4,10,15,3412,0.2857142857142857,0.21052631578947367,0.24242424242424243,0.24167490173027562
2,1,16,3422,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.27085711404287055
7,2,11,3421,0.7777777777777778,0.3888888888888889,0.5185185185185185,0.5484251339837152
0,0,18,3423,0.0,0.0,0.0,0.0
5,0,6,3430,1.0,0.45454545454545453,0.625,0.6736109557888029
2,6,29,3404,0.25,0.06451612903225806,0.10256410256410256,0.12312196427318228
1,5,10,3424,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.12102893801048296
2,7,9,3422,0.2222222222222222,0.18181818181818182,0.19999999999999998,0.19869276136770606
1,5,9,3425,0.16666666666666666,0.1,0.125,0.1271434142673681
8,6,9,3417,0.5714285714285714,0.47058823529411764,0.5161290322580646,0.5164051885653179
5,5,12,3418,0.5,0.29411764705882354,0.37037037037037035,0.3811884013997135
6,3,11,3420,0.6666666666666666,0.35294117647058826,0.46153846153846156,0.4833022794268815
5,3,12,3420,0.625,0.29411764705882354,0.4,0.4269080057018903
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
0,3,24,3414,0.0,0.0,0.0,-0.002475658990730656
1,15,23,3402,0.0625,0.041666666666666664,0.05,0.045601281681386725
5,3,7,3425,0.625,0.4166666666666667,0.5,0.508941687108602
2,3,12,3423,0.4,0.14285714285714285,0.21052631578947364,0.23726902295531058
7,0,6,3427,1.0,0.5384615384615384,0.7000000000000001,0.7331578590907595
4,2,7,3428,0.6666666666666666,0.36363636363636365,0.4705882352941177,0.49121855517779267
2,0,12,3426,1.0,0.14285714285714285,0.25,0.3773042725523563
0,1,10,3430,0.0,0.0,0.0,-0.0009204716556411914
4,5,17,3414,0.4444444444444444,0.19047619047619047,0.26666666666666666,0.2882179593734799
4,2,16,3418,0.6666666666666666,0.2,0.30769230769230765,0.36333777208622414
3,1,16,3421,0.75,0.15789473684210525,0.2608695652173913,0.34273635318183027
7,6,11,3416,0.5384615384615384,0.3888888888888889,0.45161290322580644,0.4552087024574342
11,2,6,3421,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.7388403547954416
6,2,4,3428,0.75,0.6,0.6666666666666665,0.6699731793952345
3,0,7,3430,1.0,0.3,0.4615384615384615,0.5471645109440669
0,0,10,3431,0.0,0.0,0.0,0.0
6,0,5,3429,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664
7,3,6,3425,0.7,0.5384615384615384,0.608695652173913,0.6126747624532246
8,1,9,3422,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.6456061639613152
3,0,14,3423,1.0,0.17647058823529413,0.3,0.4192275838991905
0,0,10,3431,0.0,0.0,0.0,0.0
5,3,5,3427,0.625,0.5,0.5555555555555556,0.5578764995742419
7,2,3,3429,0.7777777777777778,0.7,0.7368421052631577,0.7371429191959065
0,2,12,3426,0.0,0.0,0.0,-0.0014270272885410073
0,38,13,3390,0.0,0.0,0.0,-0.006507468780865712
1,1,12,3427,0.5,0.07692307692307693,0.13333333333333336,0.19505969441094342
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
6,0,7,3427,1.0,0.46153846153846156,0.631578947368421,0.6786734439144902
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
0,0,14,3426,0.0,0.0,0.0,0.0
0,1,12,3428,0.0,0.0,0.0,-0.0010086201941901126
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
0,2,12,3426,0.0,0.0,0.0,-0.0014270272885410073
1,3,11,3425,0.25,0.08333333333333333,0.125,0.1426554081593836
0,0,12,3428,0.0,0.0,0.0,0.0
1,44,11,3384,0.022222222222222223,0.08333333333333333,0.03508771929824561,0.03658144209833905
0,0,11,3429,0.0,0.0,0.0,0.0
3,2,13,3422,0.6,0.1875,0.2857142857142857,0.3338295018973715
2,0,13,3426,1.0,0.13333333333333333,0.23529411764705882,0.3644575569887064
4,1,13,3422,0.8,0.23529411764705882,0.3636363636363636,0.4325646765872023
7,27,17,3389,0.20588235294117646,0.2916666666666667,0.2413793103448276,0.23875806855099277
6,31,18,3386,0.16216216216216217,0.25,0.19672131147540983,0.19441028328544643
0,0,24,3416,0.0,0.0,0.0,0.0
1,2,23,3415,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.11584021027460527
4,2,10,3424,0.6666666666666666,0.2857142857142857,0.4,0.43503642801640924
2,0,12,3426,1.0,0.14285714285714285,0.25,0.3773042725523563
4,0,6,3431,1.0,0.4,0.5714285714285715,0.631903249408741
4,5,10,3421,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.35426967487827005
2,6,12,3420,0.25,0.14285714285714285,0.18181818181818182,0.18650222603827263
0,0,11,3429,0.0,0.0,0.0,0.0
1,1,12,3426,0.5,0.07692307692307693,0.13333333333333336,0.1950593867075927
0,0,13,3427,0.0,0.0,0.0,0.0
1,2,13,3425,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.1527975993620827
0,2,12,3427,0.0,0.0,0.0,-0.0014266117293347434
0,3,14,3424,0.0,0.0,0.0,-0.001888055067139592
0,3,10,3427,0.0,0.0,0.0,-0.0015952318103325566
4,2,6,3428,0.6666666666666666,0.4,0.5,0.515344608125131
0,0,11,3429,0.0,0.0,0.0,0.0
0,1,22,3417,0.0,0.0,0.0,-0.0013680728471283398
3,43,7,3388,0.06521739130434782,0.3,0.10714285714285714,0.13474103187472683
0,1,16,3424,0.0,0.0,0.0,-0.0011653341728921666
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,3,11,3426,0.0,0.0,0.0,-0.0016733371820437026
0,1,10,3430,0.0,0.0,0.0,-0.0009204716556411914
0,0,11,3429,0.0,0.0,0.0,0.0
0,23,11,3406,0.0,0.0,0.0,-0.004646800513004929
2,32,15,3391,0.058823529411764705,0.11764705882352941,0.07843137254901962,0.07676949932665111
0,0,23,3417,0.0,0.0,0.0,0.0
5,129,29,3278,0.03731343283582089,0.14705882352941177,0.05952380952380952,0.055829169909121255
3,2,11,3425,0.6,0.21428571428571427,0.3157894736842105,0.3571233999361755
3,1,13,3424,0.75,0.1875,0.3,0.3737618655967212
0,0,14,3427,0.0,0.0,0.0,0.0
1,3,13,3424,0.25,0.07142857142857142,0.11111111111111112,0.13180073775655962
0,0,14,3426,0.0,0.0,0.0,0.0
2,3,16,3419,0.4,0.1111111111111111,0.1739130434782609,0.20875897040661937
1,0,13,3426,1.0,0.07142857142857142,0.13333333333333333,0.2667556173389421
6,10,10,3415,0.375,0.375,0.375,0.37208029197080295
1,1,9,3430,0.5,0.1,0.16666666666666669,0.22269559643477216
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
3,34,11,3393,0.08108108108108109,0.21428571428571427,0.11764705882352942,0.126133628761822
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
0,0,11,3429,0.0,0.0,0.0,0.0
0,3,11,3426,0.0,0.0,0.0,-0.0016733371820437026
0,1,14,3426,0.0,0.0,0.0,-0.0010897521746335754
1,1,9,3429,0.5,0.1,0.16666666666666669,0.22269533113165652
6,2,4,3429,0.75,0.6,0.6666666666666665,0.6699734262441396
0,0,13,3428,0.0,0.0,0.0,0.0
0,1,14,3426,0.0,0.0,0.0,-0.0010897521746335754
0,0,17,3424,0.0,0.0,0.0,0.0
5,0,12,3423,1.0,0.29411764705882354,0.45454545454545453,0.5413780211912225
0,0,11,3429,0.0,0.0,0.0,0.0
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
1,48,10,3381,0.02040816326530612,0.09090909090909091,0.03333333333333333,0.036644239146919146
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
0,24,11,3405,0.0,0.0,0.0,-0.004747437870658805
0,0,11,3429,0.0,0.0,0.0,0.0
7,2,3,3428,0.7777777777777778,0.7,0.7368421052631577,0.737142708771666
6,1,4,3430,0.8571428571428571,0.6,0.7058823529411764,0.716475636239172
4,2,13,3422,0.6666666666666666,0.23529411764705882,0.3478260869565218,0.39444272133323816
15,52,2,3372,0.22388059701492538,0.8823529411764706,0.35714285714285715,0.4400313840907384
5,1,12,3423,0.8333333333333334,0.29411764705882354,0.4347826086956522,0.4937896254547191
5,2,11,3422,0.7142857142857143,0.3125,0.43478260869565216,0.4709539505646429
2,1,15,3423,0.6666666666666666,0.11764705882352941,0.2,0.27879140664190943
2,8,15,3416,0.2,0.11764705882352941,0.14814814814814817,0.15019319297218978
3,0,14,3424,1.0,0.17647058823529413,0.3,0.4192278332638989
5,3,12,3421,0.625,0.29411764705882354,0.4,0.4269085418229073
3,1,14,3423,0.75,0.17647058823529413,0.2857142857142857,0.3625138171502344
0,0,17,3424,0.0,0.0,0.0,0.0
11,27,6,3397,0.2894736842105263,0.6470588235294118,0.4,0.4288320116655645
0,0,14,3427,0.0,0.0,0.0,0.0
3,2,7,3428,0.6,0.3,0.4,0.42313116206328905
1,1,9,3429,0.5,0.1,0.16666666666666669,0.22269533113165652
4,3,6,3428,0.5714285714285714,0.4,0.47058823529411764,0.47683793558802595
0,1,18,3422,0.0,0.0,0.0,-0.001236384584915076
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
0,0,17,3423,0.0,0.0,0.0,0.0
0,22,17,3401,0.0,0.0,0.0,-0.005653876559347347
0,0,13,3427,0.0,0.0,0.0,0.0
