tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2,2411,12,1015,0.0008288437629506838,0.14285714285714285,0.0016481252575195717,-0.07803024822127957,0.0,0.0,0.0,0.3933732465734819
5,11,6,3419,0.3125,0.45454545454545453,0.3703703703703703,0.37450314023470194,0.3333333333333333,0.3,0.45454545454545453,0.031048959876731907
6,4,5,3426,0.6,0.5454545454545454,0.5714285714285713,0.570771256106229,0.4,0.35,0.5454545454545454,0.128854525341715
3,2,7,3429,0.6,0.3,0.4,0.4231314919874926,0.4,0.3,0.4,0.9224107908332055
1,13,10,3416,0.07142857142857142,0.09090909090909091,0.08,0.07725556567064853,0.13333333333333333,0.1,0.09090909090909091,0.005516206610730813
5,4,7,3424,0.5555555555555556,0.4166666666666667,0.4761904761904762,0.47956804902964906,0.4666666666666667,0.4,0.4166666666666667,0.2823057095243194
4,22,15,3400,0.15384615384615385,0.21052631578947367,0.17777777777777778,0.17465140824933378,0.2,0.15,0.15789473684210525,0.021276876747517215
19,3415,0,7,0.00553290623179965,1.0,0.011004923255140457,0.003364229947443332,0.0,0.0,0.0,1.7072400413433081e-10
6,19,13,3403,0.24,0.3157894736842105,0.2727272727272727,0.2706959081204129,0.4,0.3,0.3157894736842105,0.017965468330777112
4,11,15,3411,0.26666666666666666,0.21052631578947367,0.23529411764705882,0.2331855106711396,0.26666666666666666,0.2,0.21052631578947367,0.4916367576624508
12,5,6,3418,0.7058823529411765,0.6666666666666666,0.6857142857142857,0.6843913232673244,0.7333333333333333,0.65,0.7222222222222222,0.011872684700206804
10,4,8,3419,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6282487917378599,0.6666666666666666,0.65,0.6111111111111112,0.013781257656609753
1,0,17,3423,1.0,0.05555555555555555,0.10526315789473684,0.23511913523135028,0.06666666666666667,0.05,0.05555555555555555,0.49166669780263256
5,0,6,3430,1.0,0.45454545454545453,0.625,0.6736109557888029,0.5333333333333333,0.4,0.7272727272727273,0.47262080599779654
4,34,27,3376,0.10526315789473684,0.12903225806451613,0.11594202898550723,0.10764823614375689,0.26666666666666666,0.2,0.12903225806451613,0.3497448221639692
2,16,9,3413,0.1111111111111111,0.18181818181818182,0.13793103448275862,0.13862773612733612,0.13333333333333333,0.1,0.18181818181818182,0.012320307543802214
5,23,6,3406,0.17857142857142858,0.45454545454545453,0.25641025641025644,0.2813957025853408,0.2,0.15,0.18181818181818182,0.004668827929418551
8,17,2,3413,0.32,0.8,0.45714285714285713,0.5039329078213998,0.26666666666666666,0.35,0.2,0.010050752618042393
10,8,7,3415,0.5555555555555556,0.5882352941176471,0.5714285714285715,0.5694738567563081,0.5333333333333333,0.5,0.5294117647058824,0.05623523607689889
10,11,7,3412,0.47619047619047616,0.5882352941176471,0.5263157894736842,0.5266725901560492,0.5333333333333333,0.5,0.5294117647058824,0.008812698429595249
8,6,9,3417,0.5714285714285714,0.47058823529411764,0.5161290322580646,0.5164051885653179,0.6,0.5,0.5882352941176471,0.4875511703813083
12,9,5,3414,0.5714285714285714,0.7058823529411765,0.6315789473684211,0.6331117236129601,0.6,0.6,0.5882352941176471,0.008818588271001035
5,23,6,3406,0.17857142857142858,0.45454545454545453,0.25641025641025644,0.2813957025853408,0.13333333333333333,0.15,0.18181818181818182,0.005470543836592016
9,33,15,3384,0.21428571428571427,0.375,0.2727272727272727,0.27690319502772726,0.13333333333333333,0.2,0.25,0.012627991774710367
1,20,23,3397,0.047619047619047616,0.041666666666666664,0.044444444444444446,0.03826953064511262,0.06666666666666667,0.05,0.041666666666666664,0.47374786483311715
5,3,7,3425,0.625,0.4166666666666667,0.5,0.508941687108602,0.4666666666666667,0.45,0.5,0.2971876185703809
4,9,10,3417,0.3076923076923077,0.2857142857142857,0.29629629629629634,0.2937307260697067,0.3333333333333333,0.3,0.35714285714285715,0.09715635809212618
8,5,5,3422,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6139256133420126,0.6,0.5,0.6153846153846154,0.04233733977907878
5,3,6,3427,0.625,0.45454545454545453,0.5263157894736842,0.5317436996237783,0.4,0.3,0.45454545454545453,0.07982869492521374
6,0,8,3426,1.0,0.42857142857142855,0.6,0.6538906708325029,0.6,0.5,0.6428571428571429,0.19602009106295532
0,3,10,3428,0.0,0.0,0.0,-0.0015947673370563201,0.06666666666666667,0.05,0.1,0.2810698509723239
8,8,13,3411,0.5,0.38095238095238093,0.4324324324324324,0.43343831007491274,0.5333333333333333,0.45,0.42857142857142855,0.0644010958915033
8,8,12,3412,0.5,0.4,0.4444444444444445,0.4443385401505289,0.5333333333333333,0.45,0.45,0.019195683445378066
9,8,10,3414,0.5294117647058824,0.47368421052631576,0.5,0.4981563326033419,0.5333333333333333,0.55,0.5263157894736842,0.01054149095078015
8,7,10,3415,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.4844113764231639,0.5333333333333333,0.5,0.5,0.09395941019035389
13,10,4,3413,0.5652173913043478,0.7647058823529411,0.65,0.6555013895700624,0.7333333333333333,0.6,0.6470588235294118,0.012089191976777562
6,1,4,3429,0.8571428571428571,0.6,0.7058823529411764,0.7164754434776995,0.5333333333333333,0.4,0.7,0.5284587214523838
3,0,7,3430,1.0,0.3,0.4615384615384615,0.5471645109440669,0.4,0.3,0.5,0.2570414449415899
9,3430,1,1,0.002617039837161966,0.9,0.0052189040301536685,-0.22269559643477216,0.0,0.0,0.0,3.692364767409119e-20
7,1,4,3428,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289,0.6,0.45,0.6363636363636364,0.4192502839360638
7,6,6,3422,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5367112467462526,0.4666666666666667,0.4,0.5384615384615384,0.06063910798543958
11,5,6,3418,0.6875,0.6470588235294118,0.6666666666666667,0.6653701225749847,0.7333333333333333,0.6,0.6470588235294118,0.012959112951896034
9,7,8,3416,0.5625,0.5294117647058824,0.5454545454545455,0.5435178428870616,0.6,0.5,0.5294117647058824,0.007976758527586817
0,31,10,3400,0.0,0.0,0.0,-0.005147463768079115,0.0,0.0,0.0,0.48334155434559106
6,3,4,3427,0.6666666666666666,0.6,0.631578947368421,0.6314415450295013,0.4666666666666667,0.35,0.6,0.4588451064786275
7,2,3,3429,0.7777777777777778,0.7,0.7368421052631577,0.7371429191959065,0.4666666666666667,0.45,0.7,0.3687485144275775
0,5,12,3423,0.0,0.0,0.0,-0.002257313338647978,0.06666666666666667,0.1,0.0,0.11937793352352524
0,0,13,3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5448034869229332
1,7,12,3421,0.125,0.07692307692307693,0.09523809523809525,0.09538547103019322,0.2,0.2,0.07692307692307693,0.1746016652211014
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017,0.0,0.0,0.0,0.01711750750586735
7,1,6,3426,0.875,0.5384615384615384,0.6666666666666667,0.6855345830889812,0.4666666666666667,0.35,0.5384615384615384,0.12862656385554616
0,6,11,3423,0.0,0.0,0.0,-0.002367489599493739,0.0,0.0,0.0,0.016601670688297033
14,3426,0,0,0.004069767441860465,1.0,0.008106543138390272,0.0,0.0,0.0,0.0,1.6788322587452408e-63
2,32,10,3397,0.058823529411764705,0.16666666666666666,0.08695652173913045,0.09377191909515033,0.13333333333333333,0.1,0.16666666666666666,0.23927638256235492
1,6,11,3422,0.14285714285714285,0.08333333333333333,0.10526315789473685,0.10673945986004496,0.06666666666666667,0.05,0.08333333333333333,0.10799478691455312
0,6,12,3422,0.0,0.0,0.0,-0.0024731228848485494,0.0,0.0,0.0,0.3167627348550933
1,4,11,3424,0.2,0.08333333333333333,0.11764705882352941,0.12716198474383608,0.06666666666666667,0.05,0.08333333333333333,0.05125817419927504
0,4,12,3424,0.0,0.0,0.0,-0.002018708606029013,0.0,0.0,0.0,0.05971189335950796
1,61,11,3367,0.016129032258064516,0.08333333333333333,0.027027027027027025,0.02904578984915882,0.06666666666666667,0.05,0.08333333333333333,0.4990260637023626
2,2,9,3427,0.5,0.18181818181818182,0.26666666666666666,0.30023781835845864,0.26666666666666666,0.2,0.36363636363636365,0.009626738861990995
3,3,13,3421,0.5,0.1875,0.2727272727272727,0.304311385172397,0.2,0.15,0.1875,0.22487315724015677
3,1,12,3425,0.75,0.2,0.31578947368421056,0.3861137416901216,0.3333333333333333,0.25,0.3333333333333333,0.0768099068918036
