tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,46,2650,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,9,2687,0.0,0.0,0.0,0.0
0,0,38,2658,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,26,2670,0.0,0.0,0.0,0.0
0,0,51,2645,0.0,0.0,0.0,0.0
0,0,31,2665,0.0,0.0,0.0,0.0
0,0,26,2670,0.0,0.0,0.0,0.0
0,0,25,2671,0.0,0.0,0.0,0.0
0,0,32,2664,0.0,0.0,0.0,0.0
0,0,32,2663,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,28,2668,0.0,0.0,0.0,0.0
0,0,27,2669,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,6,2690,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,30,2666,0.0,0.0,0.0,0.0
0,0,48,2647,0.0,0.0,0.0,0.0
0,0,25,2671,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,49,2647,0.0,0.0,0.0,0.0
0,0,53,2643,0.0,0.0,0.0,0.0
0,0,21,2675,0.0,0.0,0.0,0.0
0,0,26,2670,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,9,2687,0.0,0.0,0.0,0.0
0,0,30,2666,0.0,0.0,0.0,0.0
0,0,26,2670,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,51,2645,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,14,2681,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,19,2676,0.0,0.0,0.0,0.0
0,0,21,2675,0.0,0.0,0.0,0.0
0,0,21,2675,0.0,0.0,0.0,0.0
0,0,54,2642,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,18,2678,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,40,2656,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,34,2662,0.0,0.0,0.0,0.0
0,0,21,2674,0.0,0.0,0.0,0.0
0,0,9,2687,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,9,2687,0.0,0.0,0.0,0.0
0,0,30,2666,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,46,2650,0.0,0.0,0.0,0.0
0,0,62,2633,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
0,0,25,2671,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,55,2641,0.0,0.0,0.0,0.0
0,0,30,2666,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,6,2690,0.0,0.0,0.0,0.0
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,18,2678,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,25,2671,0.0,0.0,0.0,0.0
0,0,37,2659,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,40,2656,0.0,0.0,0.0,0.0
0,0,20,2675,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,9,2686,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
