tp,fp,fn,tn,precision,recall,f_measure,mcc
1,0,25,3353,1.0,0.038461538461538464,0.07407407407407407,0.19538907645113987
0,1,16,3362,0.0,0.0,0.0,-0.0011867704800386301
5,1,58,3315,0.8333333333333334,0.07936507936507936,0.14492753623188404,0.25402112631672213
2,2,25,3351,0.5,0.07407407407407407,0.12903225806451613,0.1902489931806414
0,0,22,3357,0.0,0.0,0.0,0.0
0,2,15,3363,0.0,0.0,0.0,-0.0016245694065603984
2,0,43,3334,1.0,0.044444444444444446,0.0851063829787234,0.20947201402641744
1,1,15,3363,0.5,0.0625,0.1111111111111111,0.17557094389850034
3,1,35,3340,0.75,0.07894736842105263,0.14285714285714285,0.24118547458326325
2,2,61,3314,0.5,0.031746031746031744,0.05970149253731343,0.12250946379606521
0,1,30,3348,0.0,0.0,0.0,-0.0016284455096700428
0,1,30,3349,0.0,0.0,0.0,-0.0016279614925023378
0,1,29,3349,0.0,0.0,0.0,-0.0016008357440132248
1,2,36,3340,0.3333333333333333,0.02702702702702703,0.05,0.09234558071727343
1,3,36,3339,0.25,0.02702702702702703,0.04878048780487805,0.07907987769426884
0,1,13,3365,0.0,0.0,0.0,-0.0010692636367976023
1,0,33,3345,1.0,0.029411764705882353,0.05714285714285715,0.17065883630122963
0,1,32,3346,0.0,0.0,0.0,-0.001682353710555128
1,3,27,3348,0.25,0.03571428571428571,0.0625,0.09179436473504028
1,0,13,3365,1.0,0.07142857142857142,0.13333333333333333,0.26674647794913076
2,2,23,3352,0.5,0.08,0.13793103448275865,0.19789069469749918
0,5,16,3359,0.0,0.0,0.0,-0.0026544839962741413
0,1,21,3357,0.0,0.0,0.0,-0.0013606282346646779
1,5,25,3348,0.16666666666666666,0.038461538461538464,0.0625,0.0767313888423955
0,0,15,3364,0.0,0.0,0.0,0.0
1,3,35,3340,0.25,0.027777777777777776,0.049999999999999996,0.08025793143968844
5,4,57,3313,0.5555555555555556,0.08064516129032258,0.1408450704225352,0.20685571467503888
1,1,23,3354,0.5,0.041666666666666664,0.07692307692307693,0.1428374937656238
1,2,21,3355,0.3333333333333333,0.045454545454545456,0.08,0.12113581860623525
3,6,57,3313,0.3333333333333333,0.05,0.08695652173913045,0.12348665830179703
4,3,64,3308,0.5714285714285714,0.058823529411764705,0.10666666666666666,0.17887545096876328
1,0,26,3353,1.0,0.037037037037037035,0.07142857142857142,0.19170824822413451
4,2,35,3338,0.6666666666666666,0.10256410256410256,0.17777777777777778,0.2586867253300872
1,3,21,3354,0.25,0.045454545454545456,0.07692307692307693,0.10422549994519649
0,1,22,3356,0.0,0.0,0.0,-0.0013928548063871571
0,3,14,3362,0.0,0.0,0.0,-0.0019227857370855527
3,2,38,3336,0.6,0.07317073170731707,0.13043478260869565,0.2067017126590985
2,1,27,3349,0.6666666666666666,0.06896551724137931,0.125,0.21267071532990056
0,0,18,3361,0.0,0.0,0.0,0.0
3,1,45,3330,0.75,0.0625,0.11538461538461539,0.21405726303562045
1,3,18,3357,0.25,0.05263157894736842,0.08695652173913043,0.11251106879549123
1,4,18,3356,0.2,0.05263157894736842,0.08333333333333333,0.10006890970528691
1,2,20,3356,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.12408025641116381
0,1,21,3357,0.0,0.0,0.0,-0.0013606282346646779
0,0,29,3350,0.0,0.0,0.0,0.0
1,1,28,3349,0.5,0.034482758620689655,0.06451612903225806,0.1296483353693379
1,0,65,3313,1.0,0.015151515151515152,0.02985074626865672,0.1219014657280455
0,2,16,3361,0.0,0.0,0.0,-0.001678595386630212
0,0,16,3363,0.0,0.0,0.0,0.0
0,1,23,3355,0.0,0.0,0.0,-0.0014243709881843502
2,0,19,3358,1.0,0.09523809523809523,0.17391304347826084,0.30773731910300883
0,1,17,3361,0.0,0.0,0.0,-0.0012234769267712431
1,5,43,3330,0.16666666666666666,0.022727272727272728,0.04,0.05716102367978574
0,1,13,3365,0.0,0.0,0.0,-0.0010692636367976023
0,2,38,3339,0.0,0.0,0.0,-0.0025953923966133283
3,0,28,3348,1.0,0.0967741935483871,0.17647058823529413,0.3097927758696814
3,2,12,3362,0.6,0.2,0.3,0.3448681986590422
3,0,19,3358,1.0,0.13636363636363635,0.24000000000000002,0.36823418397278557
1,1,28,3349,0.5,0.034482758620689655,0.06451612903225806,0.1296483353693379
0,0,12,3367,0.0,0.0,0.0,0.0
2,2,10,3365,0.5,0.16666666666666666,0.25,0.2873051789954355
1,1,12,3365,0.5,0.07692307692307693,0.13333333333333336,0.19504027171753294
2,2,37,3338,0.5,0.05128205128205128,0.09302325581395347,0.1574356562632232
1,0,21,3357,1.0,0.045454545454545456,0.08695652173913045,0.2125369811382585
4,2,30,3343,0.6666666666666666,0.11764705882352941,0.2,0.2774738074902044
0,3,16,3360,0.0,0.0,0.0,-0.0020561555486884537
1,2,54,3322,0.3333333333333333,0.01818181818181818,0.034482758620689655,0.0746916706931747
0,3,66,3310,0.0,0.0,0.0,-0.004207466416873394
1,1,30,3347,0.5,0.03225806451612903,0.06060606060606061,0.12528277713342265
1,5,34,3339,0.16666666666666666,0.02857142857142857,0.048780487804878044,0.06511353696453123
2,1,10,3366,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3322955157215502
2,2,55,3320,0.5,0.03508771929824561,0.06557377049180328,0.1291543550751768
2,1,36,3340,0.6666666666666666,0.05263157894736842,0.09756097560975609,0.18528392466052465
0,1,17,3361,0.0,0.0,0.0,-0.0012234769267712431
1,0,12,3366,1.0,0.07692307692307693,0.14285714285714288,0.2768570308815946
0,0,30,3350,0.0,0.0,0.0,0.0
0,3,22,3354,0.0,0.0,0.0,-0.0024132097881109345
2,5,12,3360,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.1997215252571966
0,1,37,3341,0.0,0.0,0.0,-0.0018103719692606718
1,1,40,3337,0.5,0.024390243902439025,0.046511627906976744,0.10844344969258528
2,0,15,3362,1.0,0.11764705882352941,0.21052631578947367,0.34223455797941343
1,0,19,3359,1.0,0.05,0.09523809523809523,0.22297705824158734
5,5,45,3324,0.5,0.1,0.16666666666666669,0.2189369258593364
1,1,21,3356,0.5,0.045454545454545456,0.08333333333333334,0.14932354753347465
0,0,17,3363,0.0,0.0,0.0,0.0
0,3,16,3360,0.0,0.0,0.0,-0.0020561555486884537
0,0,14,3365,0.0,0.0,0.0,0.0
3,0,20,3356,1.0,0.13043478260869565,0.23076923076923078,0.360086190657523
1,1,19,3358,0.5,0.05,0.09090909090909091,0.1567530107821028
0,1,14,3364,0.0,0.0,0.0,-0.0011097921816605738
1,1,13,3364,0.5,0.07142857142857142,0.125,0.18786131048461052
4,2,32,3341,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.2694935693377865
0,1,23,3355,0.0,0.0,0.0,-0.0014243709881843502
0,5,17,3357,0.0,0.0,0.0,-0.002737398778832525
0,1,14,3364,0.0,0.0,0.0,-0.0011097921816605738
0,2,19,3359,0.0,0.0,0.0,-0.0018294802247153241
1,2,21,3355,0.3333333333333333,0.045454545454545456,0.08,0.12113581860623525
1,0,16,3362,1.0,0.058823529411764705,0.1111111111111111,0.24196055457675997
6,3,51,3319,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.26075669694515813
1,1,12,3365,0.5,0.07692307692307693,0.13333333333333336,0.19504027171753294
2,1,16,3360,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.27083304370585426
0,4,66,3309,0.0,0.0,0.0,-0.004859083441059482
1,0,26,3353,1.0,0.037037037037037035,0.07142857142857142,0.19170824822413451
0,0,16,3363,0.0,0.0,0.0,0.0
0,2,15,3363,0.0,0.0,0.0,-0.0016245694065603984
1,2,58,3318,0.3333333333333333,0.01694915254237288,0.03225806451612903,0.07188932958882688
0,2,22,3355,0.0,0.0,0.0,-0.001970085784549591
1,0,26,3352,1.0,0.037037037037037035,0.07142857142857142,0.19170802818942131
0,0,14,3365,0.0,0.0,0.0,0.0
2,2,15,3361,0.5,0.11764705882352941,0.19047619047619047,0.24084455003476635
0,2,15,3363,0.0,0.0,0.0,-0.0016245694065603984
1,3,20,3355,0.25,0.047619047619047616,0.08,0.10679195607342637
0,1,16,3362,0.0,0.0,0.0,-0.0011867704800386301
0,0,17,3362,0.0,0.0,0.0,0.0
0,2,22,3355,0.0,0.0,0.0,-0.001970085784549591
1,1,32,3345,0.5,0.030303030303030304,0.05714285714285715,0.12131680647286178
0,2,15,3363,0.0,0.0,0.0,-0.0016245694065603984
1,0,42,3336,1.0,0.023255813953488372,0.04545454545454545,0.15154756774613132
2,1,42,3334,0.6666666666666666,0.045454545454545456,0.08510638297872342,0.17187603556635223
0,1,27,3351,0.0,0.0,0.0,-0.0015441875778980834
0,1,13,3365,0.0,0.0,0.0,-0.0010692636367976023
4,2,22,3351,0.6666666666666666,0.15384615384615385,0.25,0.31806743870133536
1,2,25,3351,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.11109134561975316
0,1,26,3352,0.0,0.0,0.0,-0.001515095731503023
1,1,25,3352,0.5,0.038461538461538464,0.07142857142857144,0.13710990250323044
1,1,25,3352,0.5,0.038461538461538464,0.07142857142857144,0.13710990250323044
3,3,34,3339,0.5,0.08108108108108109,0.13953488372093023,0.19820054207685167
1,3,36,3339,0.25,0.02702702702702703,0.04878048780487805,0.07907987769426884
1,2,36,3340,0.3333333333333333,0.02702702702702703,0.05,0.09234558071727343
2,0,35,3342,1.0,0.05405405405405406,0.10256410256410257,0.2312873223520826
2,2,34,3341,0.5,0.05555555555555555,0.09999999999999999,0.16408839522166904
1,5,28,3345,0.16666666666666666,0.034482758620689655,0.05714285714285715,0.0722807808497729
3,0,33,3343,1.0,0.08333333333333333,0.15384615384615385,0.28726078721889226
1,2,20,3356,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.12408025641116381
0,2,25,3353,0.0,0.0,0.0,-0.0021004334082364443
0,4,23,3352,0.0,0.0,0.0,-0.0028500078026814993
1,2,55,3322,0.3333333333333333,0.017857142857142856,0.03389830508474576,0.07396476093237812
1,1,16,3361,0.5,0.058823529411764705,0.10526315789473684,0.17025202207631437
2,3,39,3335,0.4,0.04878048780487805,0.08695652173913045,0.13637900957058724
1,3,17,3358,0.25,0.05555555555555555,0.0909090909090909,0.11571690300765346
3,1,19,3356,0.75,0.13636363636363635,0.23076923076923075,0.3182503946974413
