tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,27,3413,0.0,0.0,0.0,0.0
1,1,15,3423,0.5,0.0625,0.1111111111111111,0.17559202315226533
4,3,59,3374,0.5714285714285714,0.06349206349206349,0.11428571428571427,0.1862729927297303
2,1,25,3412,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.22056907481437232
2,1,20,3417,0.6666666666666666,0.09090909090909091,0.16,0.2447114927224736
1,0,14,3425,1.0,0.06666666666666667,0.125,0.2576727962801134
1,1,44,3394,0.5,0.022222222222222223,0.0425531914893617,0.1033595778407954
0,0,16,3424,0.0,0.0,0.0,0.0
3,1,35,3401,0.75,0.07894736842105263,0.14285714285714285,0.24122372042341883
7,2,56,3375,0.7777777777777778,0.1111111111111111,0.19444444444444445,0.29009525488369664
2,3,28,3407,0.4,0.06666666666666667,0.1142857142857143,0.16055686310854037
0,0,30,3410,0.0,0.0,0.0,0.0
3,2,26,3409,0.6,0.10344827586206896,0.17647058823529413,0.246857420383087
2,2,36,3400,0.5,0.05263157894736842,0.09523809523809525,0.15961380714090892
3,3,35,3399,0.5,0.07894736842105263,0.13636363636363635,0.19554311008485953
1,0,12,3427,1.0,0.07692307692307693,0.14285714285714288,0.2768657844169335
2,0,33,3405,1.0,0.05714285714285714,0.1081081081081081,0.23789570297693283
1,0,31,3408,1.0,0.03125,0.06060606060606061,0.17597813710728366
0,0,28,3412,0.0,0.0,0.0,0.0
0,2,14,3424,0.0,0.0,0.0,-0.0015418154745280178
2,2,23,3413,0.5,0.08,0.13793103448275865,0.1979282397243734
0,2,16,3422,0.0,0.0,0.0,-0.001648751391101083
2,0,19,3419,1.0,0.09523809523809523,0.17391304347826084,0.3077527658183317
0,1,26,3413,0.0,0.0,0.0,-0.0014881229952597114
1,2,14,3423,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.14750728439904773
3,1,33,3403,0.75,0.08333333333333333,0.15,0.2479559299043034
3,5,60,3372,0.375,0.047619047619047616,0.08450704225352113,0.1284340304554955
1,1,24,3414,0.5,0.04,0.07407407407407407,0.1399156859073239
0,2,22,3416,0.0,0.0,0.0,-0.0019350285311087812
4,1,57,3378,0.8,0.06557377049180328,0.12121212121212123,0.22613944180733436
5,4,64,3367,0.5555555555555556,0.07246376811594203,0.12820512820512822,0.1956242978863484
1,0,26,3413,1.0,0.037037037037037035,0.07142857142857142,0.19172121568614145
