tp,fp,fn,tn,precision,recall,f_measure,mcc
0,3,20,2673,0.0,0.0,0.0,-0.0028854555864212296
0,1,14,2681,0.0,0.0,0.0,-0.001391730824761937
3,2,46,2645,0.6,0.061224489795918366,0.1111111111111111,0.18774369166865504
1,2,21,2672,0.3333333333333333,0.045454545454545456,0.08,0.12063821498085969
0,0,18,2678,0.0,0.0,0.0,0.0
1,2,9,2684,0.3333333333333333,0.1,0.15384615384615383,0.18097906361540173
0,1,35,2660,0.0,0.0,0.0,-0.00220918558175087
0,0,11,2685,0.0,0.0,0.0,0.0
1,1,30,2664,0.5,0.03225806451612903,0.06060606060606061,0.12484539377567401
3,2,48,2643,0.6,0.058823529411764705,0.10714285714285714,0.1838604629278691
1,0,22,2673,1.0,0.043478260869565216,0.08333333333333333,0.20766159079386384
1,2,22,2671,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.11787395927916645
2,2,20,2672,0.5,0.09090909090909091,0.15384615384615385,0.21073853182676047
1,0,28,2667,1.0,0.034482758620689655,0.06666666666666667,0.1847281683811695
0,4,30,2661,0.0,0.0,0.0,-0.00409058260741039
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
3,2,24,2667,0.6,0.1111111111111111,0.18750000000000003,0.2554070979343069
1,2,24,2669,0.3333333333333333,0.04,0.07142857142857142,0.1128447265651958
4,2,17,2672,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.35395766161304043
0,2,12,2682,0.0,0.0,0.0,-0.0018218623855058764
1,4,18,2673,0.2,0.05263157894736842,0.08333333333333333,0.09942543850629292
0,1,13,2682,0.0,0.0,0.0,-0.0013408554299288338
0,0,17,2679,0.0,0.0,0.0,0.0
1,4,20,2671,0.2,0.047619047619047616,0.07692307692307693,0.09424406744222993
0,0,11,2685,0.0,0.0,0.0,0.0
1,3,28,2664,0.25,0.034482758620689655,0.0606060606060606,0.08940085571334518
4,2,44,2645,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.23173395098920166
2,1,18,2675,0.6666666666666666,0.1,0.1739130434782609,0.2564208197799666
0,0,18,2678,0.0,0.0,0.0,0.0
4,4,45,2643,0.5,0.08163265306122448,0.14035087719298245,0.1967725445533187
5,1,49,2641,0.8333333333333334,0.09259259259259259,0.16666666666666666,0.2741629806808412
1,0,21,2674,1.0,0.045454545454545456,0.08695652173913045,0.2123684397250761
4,1,27,2664,0.8,0.12903225806451613,0.2222222222222222,0.31880204781092036
0,0,17,2679,0.0,0.0,0.0,0.0
1,0,16,2679,1.0,0.058823529411764705,0.1111111111111111,0.2418145959416703
0,3,11,2682,0.0,0.0,0.0,-0.0021363216817691716
2,0,29,2665,1.0,0.06451612903225806,0.12121212121212122,0.2526294414671004
1,1,24,2670,0.5,0.04,0.07407407407407407,0.13949835874213165
1,1,14,2680,0.5,0.06666666666666667,0.11764705882352941,0.18111412207612212
2,5,37,2652,0.2857142857142857,0.05128205128205128,0.08695652173913043,0.11590779065269316
0,1,15,2680,0.0,0.0,0.0,-0.0014408469043708568
0,0,15,2680,0.0,0.0,0.0,0.0
2,2,14,2678,0.5,0.125,0.2,0.24795296412424508
