tp,fp,fn,tn,precision,recall,f_measure,mcc
1,0,26,3413,1.0,0.037037037037037035,0.07142857142857142,0.19172121568614145
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
4,4,59,3373,0.5,0.06349206349206349,0.11267605633802816,0.17344351138121927
1,1,26,3412,0.5,0.037037037037037035,0.06896551724137931,0.1345144665120423
0,2,22,3416,0.0,0.0,0.0,-0.0019350285311087812
2,1,13,3424,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.296969746352722
1,1,44,3394,0.5,0.022222222222222223,0.0425531914893617,0.1033595778407954
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
0,2,38,3400,0.0,0.0,0.0,-0.002549099015997968
2,2,61,3375,0.5,0.031746031746031744,0.05970149253731343,0.12257167513579516
1,1,29,3409,0.5,0.03333333333333333,0.0625,0.12744152197864292
0,2,30,3408,0.0,0.0,0.0,-0.002262275538082419
0,2,29,3409,0.0,0.0,0.0,-0.0022239253275319307
2,1,36,3401,0.6666666666666666,0.05263157894736842,0.09756097560975609,0.18532015171677876
0,2,38,3400,0.0,0.0,0.0,-0.002549099015997968
1,1,12,3426,0.5,0.07692307692307693,0.13333333333333336,0.1950593867075927
1,1,34,3404,0.5,0.02857142857142857,0.05405405405405405,0.11772518634835002
1,4,31,3404,0.2,0.03125,0.05405405405405406,0.07578804226474131
1,0,27,3412,1.0,0.03571428571428571,0.0689655172413793,0.18823891358822573
2,2,12,3424,0.5,0.14285714285714285,0.22222222222222224,0.26578149977116633
2,1,23,3414,0.6666666666666666,0.08,0.14285714285714285,0.22935719982898964
1,1,15,3423,0.5,0.0625,0.1111111111111111,0.17559202315226533
1,4,20,3415,0.2,0.047619047619047616,0.07692307692307693,0.09497040009524173
1,1,25,3413,0.5,0.038461538461538464,0.07142857142857144,0.1371377548937543
0,2,15,3423,0.0,0.0,0.0,-0.0015961636023204735
0,2,36,3402,0.0,0.0,0.0,-0.0024803818018148322
0,5,63,3372,0.0,0.0,0.0,-0.005211063626421562
1,1,24,3414,0.5,0.04,0.07407407407407407,0.1399156859073239
1,2,21,3416,0.3333333333333333,0.045454545454545456,0.08,0.12117061585641707
2,8,59,3371,0.2,0.03278688524590164,0.056338028169014086,0.07456954057807502
2,1,67,3370,0.6666666666666666,0.028985507246376812,0.05555555555555555,0.13625950590382108
3,4,24,3409,0.42857142857142855,0.1111111111111111,0.17647058823529413,0.2152862868932166
2,1,37,3400,0.6666666666666666,0.05128205128205128,0.09523809523809523,0.18287459381484938
2,3,20,3415,0.4,0.09090909090909091,0.14814814814814814,0.18838352809497982
0,1,22,3417,0.0,0.0,0.0,-0.0013680728471283398
0,0,14,3426,0.0,0.0,0.0,0.0
0,5,42,3393,0.0,0.0,0.0,-0.004241647651861534
0,2,29,3409,0.0,0.0,0.0,-0.0022239253275319307
0,1,18,3421,0.0,0.0,0.0,-0.00123674499656774
2,3,47,3388,0.4,0.04081632653061224,0.07407407407407406,0.12420258060294809
0,2,19,3419,0.0,0.0,0.0,-0.0017974727910387226
0,4,19,3417,0.0,0.0,0.0,-0.0025427501082216255
0,6,21,3413,0.0,0.0,0.0,-0.0032759372682102652
2,2,20,3416,0.5,0.09090909090909091,0.15384615384615385,0.2112728711856195
1,0,29,3410,1.0,0.03333333333333333,0.06451612903225806,0.1818027608958177
3,3,27,3407,0.5,0.1,0.16666666666666669,0.22086371228930718
3,6,64,3367,0.3333333333333333,0.04477611940298507,0.07894736842105263,0.11632016700222395
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
1,2,15,3422,0.3333333333333333,0.0625,0.10526315789473684,0.14271794406934868
1,3,23,3413,0.25,0.041666666666666664,0.07142857142857142,0.09961968030014552
2,2,20,3416,0.5,0.09090909090909091,0.15384615384615385,0.2112728711856195
0,0,17,3423,0.0,0.0,0.0,0.0
0,1,44,3395,0.0,0.0,0.0,-0.0019410039068926807
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875
0,0,38,3402,0.0,0.0,0.0,0.0
1,2,30,3407,0.3333333333333333,0.03225806451612903,0.0588235294117647,0.10139370000745838
0,1,15,3424,0.0,0.0,0.0,-0.001128493998307066
1,0,21,3418,1.0,0.045454545454545456,0.08695652173913045,0.21254877234021208
0,0,30,3410,0.0,0.0,0.0,0.0
2,1,10,3427,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3323139539427647
0,0,13,3427,0.0,0.0,0.0,0.0
0,2,13,3425,0.0,0.0,0.0,-0.001485513782776043
1,8,38,3393,0.1111111111111111,0.02564102564102564,0.041666666666666664,0.04826704097377502
0,3,22,3415,0.0,0.0,0.0,-0.0023702610096394566
1,3,34,3402,0.25,0.02857142857142857,0.05128205128205128,0.0815388883643646
0,0,16,3424,0.0,0.0,0.0,0.0
0,1,56,3383,0.0,0.0,0.0,-0.0021936268255769178
2,7,65,3366,0.2222222222222222,0.029850746268656716,0.052631578947368425,0.07514064919964594
2,2,29,3407,0.5,0.06451612903225806,0.1142857142857143,0.17727141860186527
0,3,36,3401,0.0,0.0,0.0,-0.00303827678989941
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875
0,3,57,3380,0.0,0.0,0.0,-0.003834928668125477
0,2,38,3400,0.0,0.0,0.0,-0.002549099015997968
1,1,16,3422,0.5,0.058823529411764705,0.10526315789473684,0.1702741807293965
1,1,12,3426,0.5,0.07692307692307693,0.13333333333333336,0.1950593867075927
0,3,30,3407,0.0,0.0,0.0,-0.0027711134046717752
3,2,19,3416,0.6,0.13636363636363635,0.22222222222222218,0.2841057343943492
0,2,14,3424,0.0,0.0,0.0,-0.0015418154745280178
1,7,37,3395,0.125,0.02631578947368421,0.043478260869565216,0.05263788949154049
2,1,39,3398,0.6666666666666666,0.04878048780487805,0.0909090909090909,0.17825265813385816
1,0,16,3423,1.0,0.058823529411764705,0.1111111111111111,0.24197076691859412
1,2,19,3418,0.3333333333333333,0.05,0.08695652173913045,0.12727357874156647
1,2,49,3388,0.3333333333333333,0.02,0.03773584905660377,0.07869744871783146
1,0,21,3418,1.0,0.045454545454545456,0.08695652173913045,0.21254877234021208
0,1,17,3422,0.0,0.0,0.0,-0.001201724521652381
0,3,16,3421,0.0,0.0,0.0,-0.0020195935481511604
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
1,5,22,3412,0.16666666666666666,0.043478260869565216,0.06896551724137931,0.08205685938454899
2,0,19,3419,1.0,0.09523809523809523,0.17391304347826084,0.3077527658183317
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856
1,1,13,3425,0.5,0.07142857142857142,0.125,0.18788122853891415
1,1,35,3403,0.5,0.027777777777777776,0.05263157894736842,0.11602674872933826
1,2,22,3415,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.11841915333926813
1,0,16,3423,1.0,0.058823529411764705,0.1111111111111111,0.24197076691859412
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
1,2,18,3419,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.1306767325441325
1,2,21,3416,0.3333333333333333,0.045454545454545456,0.08,0.12117061585641707
1,1,16,3422,0.5,0.058823529411764705,0.10526315789473684,0.1702741807293965
0,1,57,3382,0.0,0.0,0.0,-0.00221345318519776
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,18,3422,0.0,0.0,0.0,0.0
1,1,65,3373,0.5,0.015151515151515152,0.029411764705882356,0.08453821235039327
0,1,27,3412,0.0,0.0,0.0,-0.0015166928870570815
2,3,15,3420,0.4,0.11764705882352941,0.1818181818181818,0.21493798737916195
2,1,13,3424,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.296969746352722
3,2,57,3378,0.6,0.05,0.0923076923076923,0.16977954811692306
