tp,fp,fn,tn,precision,recall,f_measure,mcc
22,1,4,3352,0.9565217391304348,0.8461538461538461,0.8979591836734695,0.8989277523379379
11,0,5,3363,1.0,0.6875,0.8148148148148148,0.8285405026962026
50,4,13,3312,0.9259259259259259,0.7936507936507936,0.8547008547008547,0.8547787126222908
23,0,4,3353,1.0,0.8518518518518519,0.92,0.9224081722537321
18,1,4,3356,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8796952534930761
13,1,2,3364,0.9285714285714286,0.8666666666666667,0.896551724137931,0.8966443988432352
37,1,8,3333,0.9736842105263158,0.8222222222222222,0.891566265060241,0.8934901575229377
12,0,4,3364,1.0,0.75,0.8571428571428571,0.8655109841347811
28,3,10,3338,0.9032258064516129,0.7368421052631579,0.8115942028985507,0.8139567594842891
51,6,12,3310,0.8947368421052632,0.8095238095238095,0.8500000000000001,0.8483950377733964
24,3,6,3346,0.8888888888888888,0.8,0.8421052631578948,0.8419527754317346
26,4,4,3346,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8654726368159203
26,1,3,3349,0.9629629629629629,0.896551724137931,0.9285714285714286,0.9285776850435838
32,2,5,3340,0.9411764705882353,0.8648648648648649,0.9014084507042254,0.9011855200438407
27,0,10,3342,1.0,0.7297297297297297,0.8437499999999999,0.8529670167886579
9,0,4,3366,1.0,0.6923076923076923,0.8181818181818181,0.8315563493288399
27,0,7,3345,1.0,0.7941176470588235,0.8852459016393442,0.8902018236430165
21,2,11,3345,0.9130434782608695,0.65625,0.7636363636363634,0.7723277502601307
24,0,4,3351,1.0,0.8571428571428571,0.923076923076923,0.9252680304928274
10,1,4,3364,0.9090909090909091,0.7142857142857143,0.8,0.8051288848506445
17,1,8,3353,0.9444444444444444,0.68,0.7906976744186047,0.8002017111338526
13,1,3,3363,0.9285714285714286,0.8125,0.8666666666666666,0.8680232516609462
18,1,3,3357,0.9473684210526315,0.8571428571428571,0.9,0.9005458967413124
18,5,8,3348,0.782608695652174,0.6923076923076923,0.7346938775510203,0.734160902587469
10,1,5,3363,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.7776895905610458
28,0,8,3343,1.0,0.7777777777777778,0.8750000000000001,0.8808637535318481
49,1,13,3316,0.98,0.7903225806451613,0.8749999999999999,0.8781432618966404
17,1,7,3354,0.9444444444444444,0.7083333333333334,0.8095238095238096,0.8168386274656252
16,2,6,3355,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.80289340622853
38,4,22,3315,0.9047619047619048,0.6333333333333333,0.7450980392156863,0.7534971854015114
58,2,10,3309,0.9666666666666667,0.8529411764705882,0.90625,0.9062879441377323
21,3,6,3350,0.875,0.7777777777777778,0.823529411764706,0.8236405343809522
29,2,10,3338,0.9354838709677419,0.7435897435897436,0.8285714285714285,0.8323682078597163
17,1,5,3356,0.9444444444444444,0.7727272727272727,0.85,0.8534445133993992
19,0,3,3357,1.0,0.8636363636363636,0.9268292682926829,0.9289054094687251
12,2,2,3363,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.856548503502441
34,0,7,3338,1.0,0.8292682926829268,0.9066666666666667,0.9096883549500466
27,2,2,3348,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9304374678332475
14,1,4,3360,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8513070889129623
39,2,9,3329,0.9512195121951219,0.8125,0.8764044943820225,0.8775566408977884
15,1,4,3359,0.9375,0.7894736842105263,0.8571428571428572,0.8596010143440775
16,0,3,3360,1.0,0.8421052631578947,0.9142857142857143,0.9172535386581768
16,1,5,3357,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.8459751097790259
16,3,5,3355,0.8421052631578947,0.7619047619047619,0.8,0.7998244964437802
27,1,2,3349,0.9642857142857143,0.9310344827586207,0.9473684210526316,0.9470691143210993
24,0,5,3350,1.0,0.8275862068965517,0.9056603773584906,0.9090395175360423
52,6,14,3307,0.896551724137931,0.7878787878787878,0.8387096774193549,0.8375181446735009
13,0,3,3363,1.0,0.8125,0.896551724137931,0.9009860413470995
10,0,6,3363,1.0,0.625,0.7692307692307693,0.7898651214367761
17,2,6,3354,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.8120807861919178
16,1,5,3357,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.8459751097790259
14,0,3,3362,1.0,0.8235294117647058,0.9032258064516129,0.9070805974161821
35,2,9,3333,0.9459459459459459,0.7954545454545454,0.8641975308641975,0.8658805782901132
9,1,4,3365,0.9,0.6923076923076923,0.7826086956521738,0.788662108904675
27,3,11,3338,0.9,0.7105263157894737,0.7941176470588235,0.7977059133079254
27,0,4,3348,1.0,0.8709677419354839,0.9310344827586207,0.9326995234021801
8,3,7,3361,0.7272727272727273,0.5333333333333333,0.6153846153846153,0.6213884380551261
19,1,3,3357,0.95,0.8636363636363636,0.9047619047619048,0.9052076010264397
23,2,6,3348,0.92,0.7931034482758621,0.851851851851852,0.8530464213493852
9,2,3,3365,0.8181818181818182,0.75,0.7826086956521738,0.7826128289210108
11,1,1,3366,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9163696663696663
10,0,3,3366,1.0,0.7692307692307693,0.8695652173913044,0.8766674345540557
29,0,10,3340,1.0,0.7435897435897436,0.8529411764705882,0.861028497039068
18,1,4,3356,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8796952534930761
27,5,7,3340,0.84375,0.7941176470588235,0.8181818181818182,0.8167728218513621
10,0,6,3363,1.0,0.625,0.7692307692307693,0.7898651214367761
40,4,15,3320,0.9090909090909091,0.7272727272727273,0.8080808080808082,0.8104303630230333
55,10,11,3303,0.8461538461538461,0.8333333333333334,0.8396946564885497,0.836551337192694
26,3,5,3345,0.896551724137931,0.8387096774193549,0.8666666666666666,0.865963496627803
34,1,1,3343,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9711295283663705
10,0,2,3367,1.0,0.8333333333333334,0.9090909090909091,0.9125999269638204
47,2,10,3320,0.9591836734693877,0.8245614035087719,0.8867924528301887,0.8876114070820508
30,1,8,3340,0.967741935483871,0.7894736842105263,0.8695652173913043,0.872829544344135
14,2,3,3360,0.875,0.8235294117647058,0.8484848484848485,0.8481353690762579
9,0,4,3366,1.0,0.6923076923076923,0.8181818181818181,0.8315563493288399
