tp,fp,fn,tn,precision,recall,f_measure,mcc
19,0,8,3413,1.0,0.7037037037037037,0.8260869565217391,0.8378890704270181
14,1,2,3423,0.9333333333333333,0.875,0.9032258064516129,0.9032625878643865
47,4,16,3373,0.9215686274509803,0.746031746031746,0.8245614035087719,0.8263844922141442
23,0,4,3413,1.0,0.8518518518518519,0.92,0.9224178332870866
19,3,3,3415,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8627586573753923
14,1,1,3424,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9330413625304136
40,3,5,3392,0.9302325581395349,0.8888888888888888,0.9090909090909092,0.9081543588098192
14,3,2,3421,0.8235294117647058,0.875,0.8484848484848485,0.8481485421068694
27,2,11,3400,0.9310344827586207,0.7105263157894737,0.8059701492537312,0.8115957755991435
54,4,9,3373,0.9310344827586207,0.8571428571428571,0.8925619834710743,0.8914308333289352
24,3,6,3407,0.8888888888888888,0.8,0.8421052631578948,0.8419763991330186
30,3,0,3407,0.9090909090909091,1.0,0.9523809523809523,0.9530430852628693
25,1,4,3410,0.9615384615384616,0.8620689655172413,0.9090909090909091,0.9097367075790215
35,4,3,3398,0.8974358974358975,0.9210526315789473,0.9090909090909091,0.9081404579535683
28,2,10,3400,0.9333333333333333,0.7368421052631579,0.8235294117647058,0.8276542141066643
11,0,2,3427,1.0,0.8461538461538461,0.9166666666666666,0.9195979111009676
31,2,4,3403,0.9393939393939394,0.8857142857142857,0.9117647058823529,0.911286822309741
21,0,11,3408,1.0,0.65625,0.7924528301886793,0.8087883759231279
24,2,4,3410,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8886304817561554
11,1,3,3425,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8481056386415966
23,0,2,3415,1.0,0.92,0.9583333333333334,0.958885559360273
11,0,5,3424,1.0,0.6875,0.8148148148148148,0.8285514595625249
15,2,6,3417,0.8823529411764706,0.7142857142857143,0.7894736842105262,0.7927704237983264
21,0,5,3414,1.0,0.8076923076923077,0.8936170212765957,0.8980596447955321
9,4,6,3421,0.6923076923076923,0.6,0.6428571428571429,0.6430611511478272
30,1,6,3403,0.967741935483871,0.8333333333333334,0.8955223880597015,0.8970513522988854
55,1,8,3376,0.9821428571428571,0.873015873015873,0.9243697478991596,0.924701196953069
22,0,3,3415,1.0,0.88,0.9361702127659575,0.9376713808634373
15,2,7,3416,0.8823529411764706,0.6818181818181818,0.7692307692307693,0.7743996808265433
49,5,12,3374,0.9074074074074074,0.8032786885245902,0.8521739130434782,0.8513029642675137
49,4,20,3367,0.9245283018867925,0.7101449275362319,0.8032786885245902,0.8070103448685155
23,0,4,3413,1.0,0.8518518518518519,0.92,0.9224178332870866
34,1,5,3400,0.9714285714285714,0.8717948717948718,0.9189189189189189,0.9194134432845849
16,1,6,3417,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.826403251318936
17,0,5,3418,1.0,0.7727272727272727,0.8717948717948718,0.8784068218113287
12,1,2,3425,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8890665326272503
37,2,5,3396,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9131936628921685
24,4,5,3407,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.8409181974206975
14,0,4,3422,1.0,0.7777777777777778,0.8750000000000001,0.881402115554538
41,6,8,3385,0.8723404255319149,0.8367346938775511,0.8541666666666667,0.8522941460947728
14,1,5,3420,0.9333333333333333,0.7368421052631579,0.8235294117647058,0.8284752370246922
14,0,5,3421,1.0,0.7368421052631579,0.8484848484848484,0.8577684637090024
14,0,7,3419,1.0,0.6666666666666666,0.8,0.8156620218914342
20,1,2,3417,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9300487150851133
18,1,12,3409,0.9473684210526315,0.6,0.7346938775510204,0.7523560413002799
25,4,5,3406,0.8620689655172413,0.8333333333333334,0.847457627118644,0.8462622296375236
51,13,16,3360,0.796875,0.7611940298507462,0.7786259541984732,0.7745424065129245
13,0,3,3424,1.0,0.8125,0.896551724137931,0.9009931944827503
11,1,5,3423,0.9166666666666666,0.6875,0.7857142857142857,0.7930562842293656
22,3,2,3413,0.88,0.9166666666666666,0.8979591836734694,0.8974171271105936
16,0,6,3418,1.0,0.7272727272727273,0.8421052631578948,0.8520553390271408
14,3,3,3420,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8226529875753983
36,4,8,3392,0.9,0.8181818181818182,0.8571428571428572,0.8563767882357686
11,2,2,3425,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.845570245336805
30,2,8,3400,0.9375,0.7894736842105263,0.8571428571428572,0.8589112806188494
26,3,5,3406,0.896551724137931,0.8387096774193549,0.8666666666666666,0.8659846948480628
14,0,1,3425,1.0,0.9333333333333333,0.9655172413793104,0.9659507786586252
20,1,2,3417,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9300487150851133
22,3,8,3407,0.88,0.7333333333333333,0.8,0.8017750866375115
10,0,2,3428,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481
12,1,1,3426,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9227851226684025
8,0,5,3427,1.0,0.6153846153846154,0.761904761904762,0.7838928983136265
33,1,6,3400,0.9705882352941176,0.8461538461538461,0.9041095890410958,0.905257709642961
21,1,1,3417,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542528857917975
26,4,9,3401,0.8666666666666667,0.7428571428571429,0.8,0.8005210138763005
11,1,5,3423,0.9166666666666666,0.6875,0.7857142857142857,0.7930562842293656
43,3,13,3381,0.9347826086956522,0.7678571428571429,0.8431372549019608,0.8449929444636057
60,10,7,3363,0.8571428571428571,0.8955223880597015,0.8759124087591241,0.873610584044955
27,2,4,3407,0.9310344827586207,0.8709677419354839,0.9,0.8996299817804143
32,1,4,3403,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9276986223808573
9,0,4,3427,1.0,0.6923076923076923,0.8181818181818181,0.831565133775114
52,6,5,3377,0.896551724137931,0.9122807017543859,0.9043478260869565,0.9027572364312751
29,1,9,3401,0.9666666666666667,0.7631578947368421,0.8529411764705883,0.8575673313216982
10,2,7,3421,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.6989343235416411
13,0,0,3427,1.0,1.0,1.0,1.0
24,2,6,3408,0.9230769230769231,0.8,0.8571428571428571,0.8582046374554714
20,1,2,3417,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9300487150851133
13,0,1,3426,1.0,0.9285714285714286,0.962962962962963,0.9634835084469433
33,2,5,3400,0.9428571428571428,0.868421052631579,0.904109589041096,0.9038630125714583
33,2,8,3397,0.9428571428571428,0.8048780487804879,0.868421052631579,0.8697359168796693
10,0,7,3423,1.0,0.5882352941176471,0.7407407407407407,0.766181971809289
16,2,4,3418,0.8888888888888888,0.8,0.8421052631578948,0.842411331216117
45,8,5,3382,0.8490566037735849,0.9,0.8737864077669903,0.8722511933732326
14,0,8,3418,1.0,0.6363636363636364,0.7777777777777778,0.7967921142974309
12,0,5,3423,1.0,0.7058823529411765,0.8275862068965517,0.8395551021697406
12,0,4,3424,1.0,0.75,0.8571428571428571,0.8655199906081644
13,1,1,3425,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9282795429905762
23,2,0,3415,0.92,1.0,0.9583333333333334,0.958885559360273
18,0,3,3419,1.0,0.8571428571428571,0.923076923076923,0.9254141866658182
9,0,5,3426,1.0,0.6428571428571429,0.782608695652174,0.8011992925917983
12,0,2,3426,1.0,0.8571428571428571,0.923076923076923,0.9255499844933457
28,2,8,3402,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8506199099880724
17,2,6,3415,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.8121011140010056
14,0,3,3423,1.0,0.8235294117647058,0.9032258064516129,0.9070878031825806
7,1,7,3425,0.875,0.5,0.6363636363636364,0.6604736042679252
11,0,8,3421,1.0,0.5789473684210527,0.7333333333333334,0.7599978026722277
18,2,4,3416,0.9,0.8181818181818182,0.8571428571428572,0.8572518644945394
12,0,5,3423,1.0,0.7058823529411765,0.8275862068965517,0.8395551021697406
50,2,7,3381,0.9615384615384616,0.8771929824561403,0.9174311926605504,0.9171015085432064
9,0,4,3427,1.0,0.6923076923076923,0.8181818181818181,0.831565133775114
12,0,6,3422,1.0,0.6666666666666666,0.8,0.8157817143839048
56,7,10,3367,0.8888888888888888,0.8484848484848485,0.8682170542635659,0.8659435257030098
22,1,5,3412,0.9565217391304348,0.8148148148148148,0.8800000000000001,0.8819954413265829
14,1,3,3422,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.8761470777994887
9,0,6,3425,1.0,0.6,0.7499999999999999,0.7739190805397874
40,2,20,3378,0.9523809523809523,0.6666666666666666,0.7843137254901961,0.7940004419621991
20,2,2,3416,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9085057715835949
23,3,4,3410,0.8846153846153846,0.8518518518518519,0.8679245283018868,0.867056309907533
12,1,2,3425,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8890665326272503
16,3,1,3420,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.8896947548765681
9,0,6,3425,1.0,0.6,0.7499999999999999,0.7739190805397874
16,3,5,3416,0.8421052631578947,0.7619047619047619,0.8,0.7998454959204682
10,0,6,3424,1.0,0.625,0.7692307692307693,0.7898776522597398
12,2,5,3421,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.7768602649768265
17,0,5,3418,1.0,0.7727272727272727,0.8717948717948718,0.8784068218113287
25,0,8,3407,1.0,0.7575757575757576,0.8620689655172413,0.8693681935448689
11,1,4,3424,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8192064604463354
37,3,6,3394,0.925,0.8604651162790697,0.891566265060241,0.8908402920345134
38,1,7,3394,0.9743589743589743,0.8444444444444444,0.9047619047619048,0.9059622397852174
21,0,6,3413,1.0,0.7777777777777778,0.8750000000000001,0.8811429261253618
12,3,1,3424,0.8,0.9230769230769231,0.8571428571428571,0.8587735216937585
23,1,4,3412,0.9583333333333334,0.8518518518518519,0.9019607843137256,0.9028178631573472
22,3,5,3410,0.88,0.8148148148148148,0.8461538461538461,0.8456191915300737
22,2,5,3411,0.9166666666666666,0.8148148148148148,0.8627450980392156,0.8632407726121685
22,1,5,3412,0.9565217391304348,0.8148148148148148,0.8800000000000001,0.8819954413265829
20,0,7,3413,1.0,0.7407407407407407,0.851063829787234,0.8597817192297593
31,2,6,3401,0.9393939393939394,0.8378378378378378,0.8857142857142858,0.8860210070777137
33,2,4,3401,0.9428571428571428,0.8918918918918919,0.9166666666666667,0.9161470704290874
30,4,7,3399,0.8823529411764706,0.8108108108108109,0.8450704225352113,0.844227573902599
33,7,4,3396,0.825,0.8918918918918919,0.8571428571428571,0.8561932691931063
30,1,7,3402,0.967741935483871,0.8108108108108109,0.8823529411764706,0.8847072614428949
22,1,8,3409,0.9565217391304348,0.7333333333333333,0.8301886792452831,0.8363327994075819
31,1,5,3403,0.96875,0.8611111111111112,0.911764705882353,0.9124986909552825
15,3,6,3416,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7702311505865351
20,2,5,3413,0.9090909090909091,0.8,0.8510638297872342,0.8518044954602634
16,4,7,3413,0.8,0.6956521739130435,0.7441860465116279,0.7444217834345074
49,4,7,3380,0.9245283018867925,0.875,0.8990825688073395,0.8978103914723811
15,0,2,3423,1.0,0.8823529411764706,0.9375,0.9390621377646331
36,4,6,3394,0.9,0.8571428571428571,0.8780487804878048,0.8768458228216167
13,0,5,3422,1.0,0.7222222222222222,0.8387096774193548,0.8492164026470442
20,1,2,3417,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9300487150851133
9,0,4,3427,1.0,0.6923076923076923,0.8181818181818181,0.831565133775114
20,0,3,3417,1.0,0.8695652173913043,0.9302325581395349,0.932095725172485
27,3,9,3401,0.9,0.75,0.8181818181818182,0.8198961333148367
16,2,7,3415,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.7851212603625121
15,3,3,3419,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8324566530294175
15,0,5,3420,1.0,0.75,0.8571428571428571,0.8653930375783313
29,0,6,3405,1.0,0.8285714285714286,0.90625,0.9094580578784711
24,3,3,3410,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8880098967998177
19,3,4,3414,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.8436318941516446
33,3,3,3401,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9157853505679593
15,2,3,3420,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.8567663520988464
16,4,6,3414,0.8,0.7272727272727273,0.761904761904762,0.7613199707449878
15,0,2,3423,1.0,0.8823529411764706,0.9375,0.9390621377646331
17,0,5,3418,1.0,0.7727272727272727,0.8717948717948718,0.8784068218113287
32,5,7,3396,0.8648648648648649,0.8205128205128205,0.8421052631578947,0.8406404973368794
18,2,4,3416,0.9,0.8181818181818182,0.8571428571428572,0.8572518644945394
16,0,2,3422,1.0,0.8888888888888888,0.9411764705882353,0.942533648253103
15,4,2,3419,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.8337605852990073
28,1,7,3404,0.9655172413793104,0.8,0.8750000000000001,0.8777750793063719
21,4,8,3407,0.84,0.7241379310344828,0.7777777777777777,0.7782012534334142
16,2,6,3416,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8029136808162057
17,2,5,3416,0.8947368421052632,0.7727272727272727,0.8292682926829269,0.8305031504652343
16,0,5,3419,1.0,0.7619047619047619,0.8648648648648648,0.8722340095033118
15,2,7,3416,0.8823529411764706,0.6818181818181818,0.7692307692307693,0.7743996808265433
16,1,6,3417,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.826403251318936
17,0,5,3418,1.0,0.7727272727272727,0.8717948717948718,0.8784068218113287
18,3,4,3415,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.8364150828485015
14,0,2,3424,1.0,0.875,0.9333333333333333,0.93514127287459
11,1,7,3421,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7474423149712651
12,1,6,3421,0.9230769230769231,0.6666666666666666,0.7741935483870968,0.7835484526154426
12,3,6,3419,0.8,0.6666666666666666,0.7272727272727272,0.7290169008115212
56,20,11,3353,0.7368421052631579,0.835820895522388,0.7832167832167832,0.7802469426319047
26,3,4,3407,0.896551724137931,0.8666666666666667,0.8813559322033899,0.8804586594501993
16,1,4,3419,0.9411764705882353,0.8,0.8648648648648648,0.8670244909398002
9,0,5,3426,1.0,0.6428571428571429,0.782608695652174,0.8011992925917983
13,2,3,3422,0.8666666666666667,0.8125,0.8387096774193549,0.8384206992530867
31,4,7,3398,0.8857142857142857,0.8157894736842105,0.8493150684931505,0.8484340302513617
27,0,4,3409,1.0,0.8709677419354839,0.9310344827586207,0.932709481526172
12,2,3,3423,0.8571428571428571,0.8,0.8275862068965518,0.8273534615121948
27,4,9,3400,0.8709677419354839,0.75,0.8059701492537312,0.8063655449664484
28,1,4,3407,0.9655172413793104,0.875,0.9180327868852458,0.9184326481551801
11,1,2,3426,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8802727078333362
26,2,5,3407,0.9285714285714286,0.8387096774193549,0.8813559322033899,0.8814924094338481
58,1,9,3372,0.9830508474576272,0.8656716417910447,0.9206349206349207,0.9210886071207304
29,0,3,3408,1.0,0.90625,0.9508196721311475,0.9515529130584616
27,1,5,3407,0.9642857142857143,0.84375,0.8999999999999999,0.9011643073463979
26,1,6,3407,0.9629629629629629,0.8125,0.8813559322033898,0.8835705979423685
42,7,14,3377,0.8571428571428571,0.75,0.7999999999999999,0.7987466442361683
24,1,8,3407,0.96,0.75,0.8421052631578947,0.8473264085531518
17,1,4,3418,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8736865079727238
17,0,5,3418,1.0,0.7727272727272727,0.8717948717948718,0.8784068218113287
11,6,6,3417,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6453059751507965
18,1,5,3416,0.9473684210526315,0.782608695652174,0.8571428571428571,0.8602314282880593
12,6,4,3418,0.6666666666666666,0.75,0.7058823529411765,0.7056607851620251
17,1,5,3417,0.9444444444444444,0.7727272727272727,0.85,0.8534594509283452
22,0,4,3414,1.0,0.8461538461538461,0.9166666666666666,0.9193278052192051
60,3,5,3372,0.9523809523809523,0.9230769230769231,0.9375,0.9364341529987082
25,1,5,3409,0.9615384615384616,0.8333333333333334,0.8928571428571429,0.8943042211293136
22,2,8,3408,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8185160677098353
13,2,2,3423,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8660827250608273
24,3,6,3407,0.8888888888888888,0.8,0.8421052631578948,0.8419763991330186
27,1,10,3402,0.9642857142857143,0.7297297297297297,0.8307692307692307,0.8374047623433968
15,0,7,3418,1.0,0.6818181818181818,0.8108108108108109,0.8248785879171837
14,2,5,3419,0.875,0.7368421052631579,0.7999999999999999,0.8019664291130639
12,1,4,3423,0.9230769230769231,0.75,0.8275862068965517,0.8313621604015887
17,3,5,3415,0.85,0.7727272727272727,0.8095238095238095,0.8092859176197637
13,1,3,3423,0.9285714285714286,0.8125,0.8666666666666666,0.8680333377383962
31,2,6,3401,0.9393939393939394,0.8378378378378378,0.8857142857142858,0.8860210070777137
26,3,6,3405,0.896551724137931,0.8125,0.8524590163934426,0.8521921183486173
43,9,24,3364,0.8269230769230769,0.6417910447761194,0.722689075630252,0.7238632160488897
8,3,6,3423,0.7272727272727273,0.5714285714285714,0.64,0.6433888649248228
26,3,6,3405,0.896551724137931,0.8125,0.8524590163934426,0.8521921183486173
53,7,14,3366,0.8833333333333333,0.7910447761194029,0.8346456692913385,0.8328595997628977
15,0,11,3414,1.0,0.5769230769230769,0.7317073170731707,0.7583338218022214
49,6,18,3367,0.8909090909090909,0.7313432835820896,0.8032786885245902,0.8038010244203789
21,2,3,3414,0.9130434782608695,0.875,0.8936170212765957,0.8930905726700711
22,2,10,3406,0.9166666666666666,0.6875,0.7857142857142857,0.7922496535484177
22,2,10,3406,0.9166666666666666,0.6875,0.7857142857142857,0.7922496535484177
11,5,2,3422,0.6875,0.8461538461538461,0.7586206896551724,0.7617311263204273
10,0,4,3426,1.0,0.7142857142857143,0.8333333333333333,0.8446613096561174
14,2,4,3420,0.875,0.7777777777777778,0.823529411764706,0.8240972167075641
9,0,4,3427,1.0,0.6923076923076923,0.8181818181818181,0.831565133775114
