tp,fp,fn,tn,precision,recall,f_measure,mcc
14,0,6,2676,1.0,0.7,0.8235294117647058,0.8357236412081884
12,1,2,2681,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8889465398405145
40,7,9,2640,0.851063829787234,0.8163265306122449,0.8333333333333334,0.8305003617516763
18,1,4,2673,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8795131333589172
14,1,4,2677,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.851127214285202
8,1,2,2685,0.8888888888888888,0.8,0.8421052631578948,0.8427247442326343
27,1,8,2660,0.9642857142857143,0.7714285714285715,0.8571428571428572,0.8609315719083612
9,2,2,2683,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8174369392246488
27,0,4,2665,1.0,0.8709677419354839,0.9310344827586207,0.9325569325614198
43,4,8,2641,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.8760454308977277
20,0,3,2673,1.0,0.8695652173913043,0.9302325581395349,0.9319819571713197
17,0,6,2673,1.0,0.7391304347826086,0.85,0.8587636738187436
19,0,3,2674,1.0,0.8636363636363636,0.9268292682926829,0.9287995064109987
25,5,4,2662,0.8333333333333334,0.8620689655172413,0.847457627118644,0.8458947250884755
24,2,6,2663,0.9230769230769231,0.8,0.8571428571428571,0.8578881386920756
8,2,2,2684,0.8,0.8,0.8000000000000002,0.7992553983618764
23,1,4,2668,0.9583333333333334,0.8518518518518519,0.9019607843137256,0.9026207938181545
19,2,6,2669,0.9047619047619048,0.76,0.8260869565217391,0.8277913889964588
17,0,4,2674,1.0,0.8095238095238095,0.8947368421052632,0.8990632139530538
10,0,2,2684,1.0,0.8333333333333334,0.9090909090909091,0.9125310032915211
18,3,1,2674,0.8571428571428571,0.9473684210526315,0.9,0.9003975645100588
11,1,2,2682,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8801529009217071
12,1,5,2678,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8061788719848025
18,0,3,2675,1.0,0.8571428571428571,0.923076923076923,0.9253013845764834
8,0,3,2685,1.0,0.7272727272727273,0.8421052631578948,0.85232683810909
19,1,10,2666,0.95,0.6551724137931034,0.7755102040816326,0.7871535183135968
40,2,8,2645,0.9523809523809523,0.8333333333333334,0.888888888888889,0.8890560167007193
16,1,4,2675,0.9411764705882353,0.8,0.8648648648648648,0.866830749735362
14,1,4,2677,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.851127214285202
39,6,10,2641,0.8666666666666667,0.7959183673469388,0.8297872340425533,0.8275491816857595
44,6,10,2636,0.88,0.8148148148148148,0.8461538461538461,0.8437817921506297
20,0,2,2674,1.0,0.9090909090909091,0.9523809523809523,0.9531062212311834
21,2,10,2663,0.9130434782608695,0.6774193548387096,0.7777777777777777,0.7844084504255384
12,1,5,2678,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8061788719848025
10,3,7,2676,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.6708915644704999
7,3,4,2682,0.7,0.6363636363636364,0.6666666666666666,0.666127924389629
23,0,8,2665,1.0,0.7419354838709677,0.8518518518518519,0.8600668294873867
20,0,5,2671,1.0,0.8,0.888888888888889,0.8935911994245961
12,3,3,2678,0.8,0.8,0.8000000000000002,0.7988810145468109
35,0,4,2657,1.0,0.8974358974358975,0.945945945945946,0.9466186544333203
13,1,2,2680,0.9285714285714286,0.8666666666666667,0.896551724137931,0.896531955036121
11,0,4,2680,1.0,0.7333333333333333,0.846153846153846,0.8557104867643436
14,1,2,2679,0.9333333333333333,0.875,0.9032258064516129,0.9031422616622639
13,2,3,2677,0.8666666666666667,0.8125,0.8387096774193549,0.8382189331186587
19,1,5,2671,0.95,0.7916666666666666,0.8636363636363635,0.8661693228679956
18,1,6,2671,0.9473684210526315,0.75,0.8372093023255814,0.8417194392293543
39,9,13,2635,0.8125,0.75,0.78,0.7764946819322733
10,0,3,2683,1.0,0.7692307692307693,0.8695652173913044,0.8765680883391048
9,0,4,2683,1.0,0.6923076923076923,0.8181818181818181,0.8314307482397725
13,1,3,2679,0.9285714285714286,0.8125,0.8666666666666666,0.8678763647692691
15,0,2,2679,1.0,0.8823529411764706,0.9375,0.9389860033244907
11,2,3,2680,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8144485643537248
37,3,1,2655,0.925,0.9736842105263158,0.9487179487179489,0.9482867201736437
9,0,2,2685,1.0,0.8181818181818182,0.9,0.9041973376361119
28,4,4,2660,0.875,0.875,0.875,0.8734984984984985
19,0,5,2671,1.0,0.7916666666666666,0.8837209302325582,0.8889248949483828
5,0,5,2686,1.0,0.5,0.6666666666666666,0.7064495575282406
13,2,4,2677,0.8666666666666667,0.7647058823529411,0.8125,0.8129934058397165
18,1,6,2671,0.9473684210526315,0.75,0.8372093023255814,0.8417194392293543
10,0,0,2686,1.0,1.0,1.0,1.0
10,1,1,2684,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9087184696123244
5,1,5,2685,0.8333333333333334,0.5,0.625,0.6445368414321503
24,4,8,2660,0.8571428571428571,0.75,0.7999999999999999,0.7995784941213092
13,2,3,2678,0.8666666666666667,0.8125,0.8387096774193549,0.8382192791152965
21,6,6,2663,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7755297448066275
9,1,4,2682,0.9,0.6923076923076923,0.7826086956521738,0.7884865540058128
29,3,14,2650,0.90625,0.6744186046511628,0.7733333333333334,0.7788637736489173
44,6,6,2639,0.88,0.88,0.88,0.8777315689981097
21,1,3,2671,0.9545454545454546,0.875,0.9130434782608695,0.9131751076039839
22,3,5,2666,0.88,0.8148148148148148,0.8461538461538461,0.8452956331809763
6,0,5,2685,1.0,0.5454545454545454,0.7058823529411764,0.737862242848963
