tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
5.0,55.0,22.0,3358.0,0.08333333333333333,0.18518518518518517,0.1149425287356322,0.11396813771511416,0.26666666666666666,0.25,0.18518518518518517,0.05383708032760562
0.0,19.0,16.0,3405.0,0.0,0.0,0.0,-0.005094403929504585,0.0,0.0,0.0,0.046930839053540126
7.0,83.0,56.0,3294.0,0.07777777777777778,0.1111111111111111,0.0915032679738562,0.0726899424840223,0.13333333333333333,0.1,0.07936507936507936,0.03243209248975806
3.0,21.0,24.0,3392.0,0.125,0.1111111111111111,0.11764705882352941,0.1112760522537703,0.2,0.15,0.1111111111111111,0.03821241273048709
2.0,12.0,20.0,3406.0,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.1094315342130468,0.13333333333333333,0.1,0.09090909090909091,0.11089926897607517
0.0,11.0,15.0,3414.0,0.0,0.0,0.0,-0.003748244752303477,0.0,0.0,0.0,0.07493368993476567
3.0,39.0,42.0,3356.0,0.07142857142857142,0.06666666666666667,0.0689655172413793,0.05709066423817509,0.2,0.15,0.1111111111111111,0.038309404018962025
1.0,8.0,15.0,3416.0,0.1111111111111111,0.0625,0.08,0.08013619544024204,0.2,0.15,0.1875,0.04631391207042349
1.0,43.0,37.0,3359.0,0.022727272727272728,0.02631578947368421,0.024390243902439025,0.01272076204306994,0.0,0.0,0.02631578947368421,0.04946919842402266
8.0,29.0,55.0,3348.0,0.21621621621621623,0.12698412698412698,0.16,0.1539016531167826,0.4666666666666667,0.35,0.14285714285714285,0.045601092979380455
2.0,34.0,28.0,3376.0,0.05555555555555555,0.06666666666666667,0.0606060606060606,0.051801716483943924,0.13333333333333333,0.1,0.06666666666666667,0.04237453839618496
1.0,15.0,29.0,3395.0,0.0625,0.03333333333333333,0.04347826086956522,0.03953912233392402,0.06666666666666667,0.05,0.03333333333333333,0.04574999191867603
