tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2.0,13.0,18.0,2663.0,0.13333333333333333,0.1,0.1142857142857143,0.1097580306611297,0.13333333333333333,0.1,0.1,0.0712924428476967
4.0,22.0,10.0,2660.0,0.15384615384615385,0.2857142857142857,0.2,0.20409483287333466,0.13333333333333333,0.15,0.14285714285714285,0.03158277769723696
3.0,41.0,46.0,2606.0,0.06818181818181818,0.061224489795918366,0.06451612903225806,0.04821842644824162,0.0,0.1,0.061224489795918366,0.0365004564487255
2.0,34.0,20.0,2640.0,0.05555555555555555,0.09090909090909091,0.06896551724137931,0.06128775611216869,0.13333333333333333,0.1,0.09090909090909091,0.029745897648486803
0.0,19.0,18.0,2659.0,0.0,0.0,0.0,-0.0069069065663336015,0.0,0.0,0.0,0.06829145198490193
4.0,5.0,6.0,2681.0,0.4444444444444444,0.4,0.4210526315789474,0.4195967229175804,0.26666666666666666,0.2,0.4,0.0421349484779787
9.0,116.0,26.0,2545.0,0.072,0.2571428571428571,0.11249999999999999,0.11496097633148683,0.13333333333333333,0.15,0.08571428571428572,0.024220678308976507
1.0,5.0,10.0,2680.0,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.12045795770904859,0.06666666666666667,0.05,0.09090909090909091,0.04190367203616258
3.0,45.0,28.0,2620.0,0.0625,0.0967741935483871,0.0759493670886076,0.06440726726488358,0.2,0.15,0.0967741935483871,0.03214765863995515
5.0,76.0,46.0,2569.0,0.06172839506172839,0.09803921568627451,0.07575757575757576,0.05530811758786363,0.2,0.15,0.0784313725490196,0.037414791556402045
6.0,39.0,17.0,2634.0,0.13333333333333333,0.2608695652173913,0.1764705882352941,0.17679909650538075,0.3333333333333333,0.3,0.2608695652173913,0.035573570321299534
3.0,18.0,20.0,2655.0,0.14285714285714285,0.13043478260869565,0.13636363636363635,0.12940894017282376,0.2,0.15,0.17391304347826086,0.05496426314176253
0.0,9.0,22.0,2665.0,0.0,0.0,0.0,-0.005249501455255336,0.2,0.15,0.13636363636363635,0.15316083223608523
3.0,12.0,26.0,2655.0,0.2,0.10344827586206896,0.13636363636363635,0.13722308223951676,0.2,0.15,0.10344827586206896,0.11560590864621788
5.0,17.0,25.0,2648.0,0.22727272727272727,0.16666666666666666,0.1923076923076923,0.18689537604637205,0.26666666666666666,0.25,0.16666666666666666,0.08490312730067819
2.0,22.0,8.0,2664.0,0.08333333333333333,0.2,0.11764705882352941,0.12413635880871075,0.13333333333333333,0.1,0.2,0.03991793863473269
