tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
4.0,10.0,23.0,3403.0,0.2857142857142857,0.14814814814814814,0.1951219512195122,0.20128587607447654,0.26666666666666666,0.2,0.18518518518518517,0.05939983234080809
4.0,21.0,12.0,3403.0,0.16,0.25,0.19512195121951217,0.19535036655204455,0.2,0.2,0.1875,0.012639207286137339
9.0,26.0,54.0,3351.0,0.2571428571428571,0.14285714285714285,0.1836734693877551,0.18058637762498403,0.3333333333333333,0.35,0.23809523809523808,0.04792500779270452
7.0,25.0,20.0,3388.0,0.21875,0.25925925925925924,0.23728813559322032,0.2315861520257183,0.3333333333333333,0.3,0.2222222222222222,0.015183799694476556
3.0,2.0,19.0,3416.0,0.6,0.13636363636363635,0.22222222222222218,0.2841057343943492,0.26666666666666666,0.2,0.18181818181818182,0.03895780694831185
5.0,20.0,10.0,3405.0,0.2,0.3333333333333333,0.25,0.25404683992206584,0.3333333333333333,0.25,0.3333333333333333,0.008493843805361183
3.0,16.0,42.0,3379.0,0.15789473684210525,0.06666666666666667,0.09375000000000001,0.09498196159955029,0.13333333333333333,0.15,0.1111111111111111,0.03898376234558859
8.0,15.0,8.0,3409.0,0.34782608695652173,0.5,0.41025641025641024,0.41379815336856063,0.3333333333333333,0.35,0.375,0.007830075447390413
7.0,25.0,31.0,3377.0,0.21875,0.18421052631578946,0.19999999999999998,0.19256106369694628,0.4,0.35,0.18421052631578946,0.03226227557537522
15.0,53.0,48.0,3324.0,0.22058823529411764,0.23809523809523808,0.22900763358778625,0.21422688787793595,0.5333333333333333,0.4,0.2222222222222222,0.028587907339510263
6.0,22.0,24.0,3388.0,0.21428571428571427,0.2,0.20689655172413796,0.20028288862718097,0.2,0.25,0.2,0.025169816011667945
4.0,44.0,26.0,3366.0,0.08333333333333333,0.13333333333333333,0.10256410256410255,0.09546064193363861,0.26666666666666666,0.2,0.13333333333333333,0.04206831601353502
10.0,17.0,19.0,3394.0,0.37037037037037035,0.3448275862068966,0.35714285714285715,0.35210246806928625,0.6,0.45,0.3448275862068966,0.04502721065067029
6.0,26.0,32.0,3376.0,0.1875,0.15789473684210525,0.17142857142857143,0.16358931513512442,0.4,0.3,0.15789473684210525,0.023842146302461693
8.0,53.0,30.0,3349.0,0.13114754098360656,0.21052631578947367,0.1616161616161616,0.1543892441042486,0.26666666666666666,0.25,0.18421052631578946,0.01638336823519298
2.0,1.0,11.0,3426.0,0.6666666666666666,0.15384615384615385,0.25,0.3191835264302537,0.2,0.2,0.23076923076923078,0.03743684402010612
5.0,15.0,30.0,3390.0,0.25,0.14285714285714285,0.18181818181818182,0.18275249426195445,0.26666666666666666,0.25,0.22857142857142856,0.029979376124886273
2.0,8.0,30.0,3400.0,0.2,0.0625,0.09523809523809523,0.10725856866925705,0.3333333333333333,0.25,0.1875,0.03975573165226142
4.0,31.0,24.0,3381.0,0.11428571428571428,0.14285714285714285,0.12698412698412698,0.11977184693044138,0.2,0.2,0.14285714285714285,0.019125053165910746
0.0,11.0,14.0,3415.0,0.0,0.0,0.0,-0.0036206199370906493,0.0,0.0,0.0,0.030706260643031752
7.0,29.0,18.0,3386.0,0.19444444444444445,0.28,0.22950819672131148,0.22662198914588846,0.2,0.25,0.2,0.018963638565266182
3.0,17.0,13.0,3407.0,0.15,0.1875,0.16666666666666663,0.1633597574082827,0.2,0.15,0.1875,0.04200798539677813
5.0,8.0,16.0,3411.0,0.38461538461538464,0.23809523809523808,0.2941176470588235,0.2992899047702268,0.3333333333333333,0.25,0.23809523809523808,0.02051923802336881
3.0,21.0,23.0,3393.0,0.125,0.11538461538461539,0.12000000000000001,0.11366051580231201,0.13333333333333333,0.1,0.11538461538461539,0.02140818901710608
1.0,18.0,14.0,3407.0,0.05263157894736842,0.06666666666666667,0.058823529411764705,0.0545971670561442,0.06666666666666667,0.05,0.06666666666666667,0.014032839529729876
6.0,11.0,30.0,3393.0,0.35294117647058826,0.16666666666666666,0.22641509433962262,0.23717212587980616,0.4,0.3,0.16666666666666666,0.05190579767922657
4.0,40.0,59.0,3337.0,0.09090909090909091,0.06349206349206349,0.07476635514018691,0.061627232700091836,0.2,0.15,0.06349206349206349,0.45975354275148
2.0,1.0,23.0,3414.0,0.6666666666666666,0.08,0.14285714285714285,0.22935719982898964,0.2,0.15,0.16,0.3020835048602417
0.0,6.0,22.0,3412.0,0.0,0.0,0.0,-0.0033535191524002037,0.2,0.2,0.18181818181818182,0.022512541999949447
14.0,56.0,47.0,3323.0,0.2,0.22950819672131148,0.2137404580152672,0.19904102385880398,0.6666666666666666,0.5,0.22950819672131148,0.02724981890813221
14.0,52.0,55.0,3319.0,0.21212121212121213,0.2028985507246377,0.2074074074074074,0.1916010222867384,0.4666666666666667,0.5,0.21739130434782608,0.04010978792303087
6.0,29.0,21.0,3384.0,0.17142857142857143,0.2222222222222222,0.1935483870967742,0.18793747108513456,0.26666666666666666,0.2,0.18518518518518517,0.013621391949063168
6.0,35.0,33.0,3366.0,0.14634146341463414,0.15384615384615385,0.15,0.14005113181612278,0.26666666666666666,0.2,0.15384615384615385,0.023963229822288202
4.0,44.0,18.0,3374.0,0.08333333333333333,0.18181818181818182,0.1142857142857143,0.11481392793962787,0.2,0.15,0.13636363636363635,0.012312254419968478
4.0,25.0,18.0,3393.0,0.13793103448275862,0.18181818181818182,0.1568627450980392,0.1521467939022766,0.26666666666666666,0.2,0.18181818181818182,0.010879599457125091
1.0,0.0,13.0,3426.0,1.0,0.07142857142857142,0.13333333333333333,0.2667556173389421,0.13333333333333333,0.1,0.07142857142857142,0.15137794866441312
5.0,28.0,37.0,3370.0,0.15151515151515152,0.11904761904761904,0.13333333333333333,0.12484247365284018,0.2,0.2,0.16666666666666666,0.02683266178838527
6.0,60.0,23.0,3351.0,0.09090909090909091,0.20689655172413793,0.12631578947368421,0.12617132198749367,0.3333333333333333,0.25,0.1724137931034483,0.012498018740585874
0.0,2.0,18.0,3420.0,0.0,0.0,0.0,-0.0017492758949846378,0.0,0.05,0.0,0.18359869125578246
7.0,32.0,42.0,3359.0,0.1794871794871795,0.14285714285714285,0.15909090909090912,0.14933051023465596,0.26666666666666666,0.25,0.1836734693877551,0.02812034523738585
7.0,49.0,12.0,3372.0,0.125,0.3684210526315789,0.18666666666666668,0.20738021511139032,0.2,0.15,0.15789473684210525,0.007761481565020061
3.0,26.0,16.0,3395.0,0.10344827586206896,0.15789473684210525,0.125,0.12183074876877203,0.13333333333333333,0.15,0.15789473684210525,0.013390321458126747
6.0,20.0,15.0,3399.0,0.23076923076923078,0.2857142857142857,0.25531914893617025,0.2517032178776665,0.26666666666666666,0.25,0.23809523809523808,0.013157822908430367
