tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
6.0,24.0,21.0,3389.0,0.2,0.2222222222222222,0.2105263157894737,0.20423721094566066,0.13333333333333333,0.2,0.18518518518518517,0.07355972323110467
3.0,25.0,13.0,3399.0,0.10714285714285714,0.1875,0.13636363636363635,0.13645666422093364,0.06666666666666667,0.05,0.0625,0.05450977459055047
15.0,45.0,48.0,3332.0,0.25,0.23809523809523808,0.24390243902439024,0.23021827284295096,0.4,0.35,0.23809523809523808,0.11822734469664932
3.0,23.0,24.0,3390.0,0.11538461538461539,0.1111111111111111,0.11320754716981132,0.10634481354651551,0.13333333333333333,0.1,0.1111111111111111,0.0697228261718366
2.0,34.0,20.0,3384.0,0.05555555555555555,0.09090909090909091,0.06896551724137931,0.06342073166946191,0.06666666666666667,0.05,0.045454545454545456,0.058442978898562405
6.0,15.0,9.0,3410.0,0.2857142857142857,0.4,0.3333333333333333,0.3346535520845971,0.3333333333333333,0.25,0.3333333333333333,0.052604433808048
8.0,68.0,37.0,3327.0,0.10526315789473684,0.17777777777777778,0.13223140495867766,0.12194278421586903,0.2,0.2,0.13333333333333333,0.05124491666730403
1.0,6.0,15.0,3418.0,0.14285714285714285,0.0625,0.08695652173913043,0.09172136864929376,0.13333333333333333,0.1,0.125,0.12845421278336167
6.0,101.0,32.0,3301.0,0.056074766355140186,0.15789473684210525,0.08275862068965517,0.0771896080844737,0.4,0.3,0.15789473684210525,0.03442072766248069
8.0,68.0,55.0,3309.0,0.10526315789473684,0.12698412698412698,0.11510791366906475,0.09746912169904785,0.3333333333333333,0.25,0.12698412698412698,0.07982503900390159
11.0,104.0,19.0,3306.0,0.09565217391304348,0.36666666666666664,0.1517241379310345,0.17387999297375217,0.26666666666666666,0.25,0.16666666666666666,0.024814820400709908
2.0,9.0,28.0,3401.0,0.18181818181818182,0.06666666666666667,0.0975609756097561,0.10544437039476194,0.2,0.2,0.16666666666666666,0.12491947513389572
5.0,16.0,24.0,3395.0,0.23809523809523808,0.1724137931034483,0.19999999999999998,0.19686726457129994,0.26666666666666666,0.25,0.20689655172413793,0.09194143584160543
14.0,135.0,24.0,3267.0,0.09395973154362416,0.3684210526315789,0.14973262032085563,0.16879223504378182,0.3333333333333333,0.3,0.2631578947368421,0.024138356491152247
5.0,56.0,33.0,3346.0,0.08196721311475409,0.13157894736842105,0.101010101010101,0.09116819025313179,0.06666666666666667,0.05,0.10526315789473684,0.046811837201475213
1.0,7.0,12.0,3420.0,0.125,0.07692307692307693,0.09523809523809525,0.0953846917411095,0.06666666666666667,0.05,0.07692307692307693,0.1557896843684514
4.0,21.0,31.0,3384.0,0.16,0.11428571428571428,0.13333333333333333,0.12773987423519065,0.26666666666666666,0.2,0.14285714285714285,0.08945071096719436
6.0,32.0,26.0,3376.0,0.15789473684210525,0.1875,0.17142857142857143,0.16358931513512442,0.2,0.25,0.15625,0.08676503242780802
6.0,15.0,22.0,3397.0,0.2857142857142857,0.21428571428571427,0.24489795918367344,0.24211125073236353,0.26666666666666666,0.3,0.2857142857142857,0.0771647720414056
