tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
22.0,1.0,4.0,3352.0,0.9565217391304348,0.8461538461538461,0.8979591836734695,0.8989277523379379,1.0,1.0,0.8846153846153846,0.5422551555343413
11.0,0.0,5.0,3363.0,1.0,0.6875,0.8148148148148148,0.8285405026962026,0.8,0.6,0.75,0.4682343135834494
51.0,7.0,12.0,3309.0,0.8793103448275862,0.8095238095238095,0.8429752066115702,0.8408620429283432,1.0,1.0,0.8253968253968254,0.3710937813639315
23.0,0.0,4.0,3353.0,1.0,0.8518518518518519,0.92,0.9224081722537321,1.0,1.0,0.8888888888888888,0.7195784538637952
18.0,0.0,4.0,3357.0,1.0,0.8181818181818182,0.9,0.9039956205702683,1.0,0.9,0.8636363636363636,0.6928680222209197
13.0,0.0,2.0,3365.0,1.0,0.8666666666666667,0.9285714285714286,0.9306728029505676,0.8666666666666667,0.65,0.8666666666666667,0.9079639289091861
37.0,1.0,8.0,3333.0,0.9736842105263158,0.8222222222222222,0.891566265060241,0.8934901575229377,1.0,1.0,0.8666666666666667,0.5310029320748884
12.0,0.0,4.0,3364.0,1.0,0.75,0.8571428571428571,0.8655109841347811,0.8666666666666667,0.7,0.8125,0.9547625439508773
28.0,3.0,10.0,3338.0,0.9032258064516129,0.7368421052631579,0.8115942028985507,0.8139567594842891,0.9333333333333333,0.95,0.8157894736842105,0.5496565255533751
51.0,5.0,12.0,3311.0,0.9107142857142857,0.8095238095238095,0.8571428571428571,0.8561272001523852,1.0,1.0,0.8095238095238095,0.5415111648093023
19.0,2.0,11.0,3347.0,0.9047619047619048,0.6333333333333333,0.7450980392156863,0.7552501996156427,0.8666666666666667,0.9,0.8333333333333334,0.6978512758167454
26.0,3.0,4.0,3347.0,0.896551724137931,0.8666666666666667,0.8813559322033899,0.8804403239366315,0.8666666666666667,0.85,0.8666666666666667,0.7194470925519386
26.0,1.0,3.0,3349.0,0.9629629629629629,0.896551724137931,0.9285714285714286,0.9285776850435838,1.0,1.0,0.9310344827586207,0.386284749210994
30.0,0.0,7.0,3342.0,1.0,0.8108108108108109,0.8955223880597014,0.8995087956068362,1.0,1.0,0.8648648648648649,0.7224055488451966
27.0,0.0,10.0,3342.0,1.0,0.7297297297297297,0.8437499999999999,0.8529670167886579,1.0,1.0,0.7567567567567568,0.3538957391428507
11.0,0.0,2.0,3366.0,1.0,0.8461538461538461,0.9166666666666666,0.9195930510282037,0.7333333333333333,0.6,0.8461538461538461,0.15629115316176637
27.0,0.0,7.0,3345.0,1.0,0.7941176470588235,0.8852459016393442,0.8902018236430165,1.0,1.0,0.8529411764705882,0.6431373927723631
20.0,0.0,12.0,3347.0,1.0,0.625,0.7692307692307693,0.7891560001779435,1.0,1.0,0.78125,0.9879331159056751
24.0,0.0,4.0,3351.0,1.0,0.8571428571428571,0.923076923076923,0.9252680304928274,1.0,1.0,0.9285714285714286,0.9181980482009938
10.0,1.0,4.0,3364.0,0.9090909090909091,0.7142857142857143,0.8,0.8051288848506445,0.7333333333333333,0.6,0.7857142857142857,0.3520986972025596
17.0,1.0,8.0,3353.0,0.9444444444444444,0.68,0.7906976744186047,0.8002017111338526,0.9333333333333333,0.9,0.72,0.7218793555596992
13.0,1.0,3.0,3363.0,0.9285714285714286,0.8125,0.8666666666666666,0.8680232516609462,0.8666666666666667,0.65,0.8125,0.48282268467974415
18.0,5.0,3.0,3353.0,0.782608695652174,0.8571428571428571,0.8181818181818182,0.8178491769655357,1.0,0.9,0.8571428571428571,0.2411107322721438
18.0,6.0,8.0,3347.0,0.75,0.6923076923076923,0.7199999999999999,0.718499927787884,0.8666666666666667,0.85,0.6923076923076923,0.34301904500944297
10.0,1.0,5.0,3363.0,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.7776895905610458,0.7333333333333333,0.55,0.7333333333333333,0.5060228392361392
28.0,0.0,8.0,3343.0,1.0,0.7777777777777778,0.8750000000000001,0.8808637535318481,1.0,1.0,0.8055555555555556,0.7373555341088364
48.0,1.0,14.0,3316.0,0.9795918367346939,0.7741935483870968,0.8648648648648648,0.8688180218617578,1.0,1.0,0.8064516129032258,0.7335431953817722
15.0,0.0,9.0,3355.0,1.0,0.625,0.7692307692307693,0.7895111674144053,1.0,0.95,0.875,0.8662664005561169
16.0,4.0,6.0,3353.0,0.8,0.7272727272727273,0.761904761904762,0.7612936294343361,1.0,0.8,0.7272727272727273,0.3241239410529355
39.0,4.0,21.0,3315.0,0.9069767441860465,0.65,0.7572815533980582,0.7644329083558739,1.0,1.0,0.7166666666666667,0.3764728677118409
57.0,1.0,11.0,3310.0,0.9827586206896551,0.8382352941176471,0.9047619047619048,0.9059308451815475,1.0,1.0,0.8676470588235294,0.6209982586111927
21.0,3.0,6.0,3350.0,0.875,0.7777777777777778,0.823529411764706,0.8236405343809522,0.9333333333333333,0.95,0.7777777777777778,0.553501857853263
29.0,0.0,10.0,3340.0,1.0,0.7435897435897436,0.8529411764705882,0.861028497039068,1.0,1.0,0.7692307692307693,0.5331337013390061
17.0,1.0,5.0,3356.0,0.9444444444444444,0.7727272727272727,0.85,0.8534445133993992,0.9333333333333333,0.85,0.7727272727272727,0.7501691760713157
19.0,1.0,3.0,3356.0,0.95,0.8636363636363636,0.9047619047619048,0.9052074277629923,1.0,0.95,0.8636363636363636,0.1466409093804082
13.0,2.0,1.0,3363.0,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8966442678227542,0.8666666666666667,0.65,0.8571428571428571,0.23272277188655063
