tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
14.0,0.0,6.0,2676.0,1.0,0.7,0.8235294117647058,0.8357236412081884,1.0,0.8,0.8,0.9547099028657464
12.0,1.0,2.0,2681.0,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8889465398405145,0.8,0.6,0.8571428571428571,0.3476198977899894
40.0,12.0,9.0,2635.0,0.7692307692307693,0.8163265306122449,0.7920792079207921,0.7884750715410218,0.9333333333333333,0.95,0.8163265306122449,0.17179079813864678
18.0,1.0,4.0,2673.0,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8795131333589172,0.9333333333333333,0.95,0.8636363636363636,0.6523188751669797
14.0,1.0,4.0,2677.0,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.851127214285202,0.9333333333333333,0.8,0.8333333333333334,0.5177511779971777
8.0,1.0,2.0,2685.0,0.8888888888888888,0.8,0.8421052631578948,0.8427247442326343,0.5333333333333333,0.4,0.8,0.6584360039627299
27.0,2.0,8.0,2659.0,0.9310344827586207,0.7714285714285715,0.8437500000000001,0.845703905732952,1.0,1.0,0.8285714285714286,0.34540437756678877
9.0,2.0,2.0,2683.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8174369392246488,0.6666666666666666,0.5,0.8181818181818182,0.8319046070007655
27.0,0.0,4.0,2665.0,1.0,0.8709677419354839,0.9310344827586207,0.9325569325614198,1.0,1.0,0.8709677419354839,0.6211831024509759
42.0,4.0,9.0,2641.0,0.9130434782608695,0.8235294117647058,0.865979381443299,0.8647228563002243,0.9333333333333333,0.95,0.8823529411764706,0.5328045305582203
20.0,0.0,3.0,2673.0,1.0,0.8695652173913043,0.9302325581395349,0.9319819571713197,1.0,1.0,0.9130434782608695,0.5647608134348117
17.0,0.0,6.0,2673.0,1.0,0.7391304347826086,0.85,0.8587636738187436,1.0,0.9,0.8260869565217391,0.5031938985184841
19.0,0.0,3.0,2674.0,1.0,0.8636363636363636,0.9268292682926829,0.9287995064109987,1.0,0.95,0.8636363636363636,0.4813395088566691
25.0,5.0,4.0,2662.0,0.8333333333333334,0.8620689655172413,0.847457627118644,0.8458947250884755,0.8,0.8,0.8620689655172413,0.658073211962125
24.0,1.0,6.0,2664.0,0.96,0.8,0.8727272727272728,0.8751244855870176,1.0,0.95,0.8333333333333334,0.8063462325016315
8.0,2.0,2.0,2684.0,0.8,0.8,0.8000000000000002,0.7992553983618764,0.6,0.5,0.8,0.32031545297807984
23.0,1.0,4.0,2668.0,0.9583333333333334,0.8518518518518519,0.9019607843137256,0.9026207938181545,1.0,1.0,0.8888888888888888,0.4477477699285606
19.0,0.0,6.0,2671.0,1.0,0.76,0.8636363636363636,0.8708022741543539,1.0,0.95,0.76,0.8383159453839851
14.0,0.0,7.0,2674.0,1.0,0.6666666666666666,0.8,0.8154299618166925,1.0,0.9,0.8571428571428571,0.8302023666740139
10.0,0.0,2.0,2684.0,1.0,0.8333333333333334,0.9090909090909091,0.9125310032915211,0.8,0.6,1.0,0.9138245638668221
18.0,3.0,1.0,2674.0,0.8571428571428571,0.9473684210526315,0.9,0.9003975645100588,0.9333333333333333,0.85,0.8421052631578947,0.5273430707509478
11.0,1.0,2.0,2682.0,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8801529009217071,0.7333333333333333,0.55,0.8461538461538461,0.6528011086652754
12.0,1.0,5.0,2678.0,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8061788719848025,0.8666666666666667,0.65,0.7647058823529411,0.6984444160890264
19.0,1.0,2.0,2674.0,0.95,0.9047619047619048,0.9268292682926829,0.9265488352055495,1.0,0.95,0.9047619047619048,0.3221208069961461
8.0,0.0,3.0,2685.0,1.0,0.7272727272727273,0.8421052631578948,0.85232683810909,0.6,0.45,0.8181818181818182,0.4549148204214429
19.0,1.0,10.0,2666.0,0.95,0.6551724137931034,0.7755102040816326,0.7871535183135968,1.0,0.95,0.7241379310344828,0.4996227472259237
40.0,2.0,8.0,2645.0,0.9523809523809523,0.8333333333333334,0.888888888888889,0.8890560167007193,1.0,1.0,0.875,0.3124331753427086
15.0,1.0,5.0,2675.0,0.9375,0.75,0.8333333333333334,0.8374820040648628,0.9333333333333333,0.8,0.8,0.6072976110241515
14.0,1.0,4.0,2677.0,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.851127214285202,0.9333333333333333,0.75,0.8333333333333334,0.6610374021917671
39.0,6.0,10.0,2641.0,0.8666666666666667,0.7959183673469388,0.8297872340425533,0.8275491816857595,1.0,1.0,0.8163265306122449,0.5103413134502609
44.0,6.0,10.0,2636.0,0.88,0.8148148148148148,0.8461538461538461,0.8437817921506297,1.0,1.0,0.8518518518518519,0.511094183829591
20.0,0.0,2.0,2674.0,1.0,0.9090909090909091,0.9523809523809523,0.9531062212311834,1.0,1.0,0.9545454545454546,0.5809625636154905
21.0,2.0,10.0,2663.0,0.9130434782608695,0.6774193548387096,0.7777777777777777,0.7844084504255384,1.0,1.0,0.7741935483870968,0.48680785301124263
12.0,1.0,5.0,2678.0,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8061788719848025,0.8,0.75,0.8235294117647058,0.3575174812813245
10.0,4.0,7.0,2675.0,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.6461967025866296,0.7333333333333333,0.6,0.6470588235294118,0.30187104710599955
7.0,3.0,4.0,2682.0,0.7,0.6363636363636364,0.6666666666666666,0.666127924389629,0.4666666666666667,0.35,0.6363636363636364,0.4337819805790266
23.0,0.0,8.0,2665.0,1.0,0.7419354838709677,0.8518518518518519,0.8600668294873867,1.0,1.0,0.8709677419354839,0.5156369576140089
20.0,0.0,5.0,2671.0,1.0,0.8,0.888888888888889,0.8935911994245961,1.0,1.0,0.8,0.25204459113596067
12.0,2.0,3.0,2679.0,0.8571428571428571,0.8,0.8275862068965518,0.8271522503809348,0.8,0.65,0.8,0.7893157793900615
36.0,2.0,3.0,2655.0,0.9473684210526315,0.9230769230769231,0.935064935064935,0.9342054473288925,1.0,1.0,0.9487179487179487,0.3001147399065609
13.0,1.0,2.0,2680.0,0.9285714285714286,0.8666666666666667,0.896551724137931,0.896531955036121,0.8666666666666667,0.7,0.8666666666666667,0.6388813830887123
11.0,0.0,4.0,2680.0,1.0,0.7333333333333333,0.846153846153846,0.8557104867643436,0.7333333333333333,0.6,0.7333333333333333,0.3241049878562587
14.0,0.0,2.0,2680.0,1.0,0.875,0.9333333333333333,0.9350655067236094,0.9333333333333333,0.7,0.875,0.9339336717770829
13.0,4.0,3.0,2675.0,0.7647058823529411,0.8125,0.787878787878788,0.7869391525142123,0.8666666666666667,0.65,0.8125,0.22561661266255148
19.0,1.0,5.0,2671.0,0.95,0.7916666666666666,0.8636363636363635,0.8661693228679956,1.0,0.95,0.8333333333333334,0.41996240678367663
