tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3426,0.0,0.0,0.0,0.0
6,0,5,3429,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664
8,3,3,3426,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263978366340571
7,2,3,3428,0.7777777777777778,0.7,0.7368421052631577,0.737142708771666
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
6,0,6,3428,1.0,0.5,0.6666666666666666,0.7064887707717356
2,2,17,3419,0.5,0.10526315789473684,0.17391304347826086,0.22764304916236766
2,4,17,3417,0.3333333333333333,0.10526315789473684,0.16,0.1848855141174881
0,0,19,3421,0.0,0.0,0.0,0.0
1,7,18,3414,0.125,0.05263157894736842,0.07407407407407407,0.07783229531612172
6,1,12,3421,0.8571428571428571,0.3333333333333333,0.48,0.5331975857368026
10,2,8,3420,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.6791029155586256
10,1,8,3421,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.7095698639669485
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465
11,7,20,3402,0.6111111111111112,0.3548387096774194,0.4489795918367347,0.46209215917656354
9,2,2,3427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8175985577560381
8,6,3,3423,0.5714285714285714,0.7272727272727273,0.64,0.6433888649248228
5,3,5,3427,0.625,0.5,0.5555555555555556,0.5578764995742419
11,5,6,3418,0.6875,0.6470588235294118,0.6666666666666667,0.6653701225749847
11,2,6,3421,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.7388403547954416
10,3,7,3420,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.671278462653271
13,1,4,3422,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.8419740340797036
7,1,4,3428,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289
3,5,21,3411,0.375,0.125,0.1875,0.21347179785640197
7,8,17,3408,0.4666666666666667,0.2916666666666667,0.35897435897435903,0.36548891980756115
5,1,7,3427,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5883284551623048
7,0,7,3426,1.0,0.5,0.6666666666666666,0.7063855063222145
8,0,5,3427,1.0,0.6153846153846154,0.761904761904762,0.7838928983136265
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465
9,2,5,3424,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.724265050532562
0,0,10,3430,0.0,0.0,0.0,0.0
8,1,13,3418,0.8888888888888888,0.38095238095238093,0.5333333333333333,0.5804498598214265
8,1,12,3419,0.8888888888888888,0.4,0.5517241379310346,0.5948929821033977
8,2,11,3419,0.8,0.42105263157894735,0.5517241379310345,0.5788142759874294
7,2,11,3420,0.7777777777777778,0.3888888888888889,0.5185185185185185,0.548424682696552
7,4,10,3419,0.6363636363636364,0.4117647058823529,0.5,0.509991206314343
