tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0,8,14,3418,0.0,0.0,0.0,-0.003086325253588436,0.0,0.0,0.0,0.0076987544651743005
0,0,11,3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03878434538571434
0,11,11,3418,0.0,0.0,0.0,-0.0032079323417906094,0.0,0.0,0.0,0.005052503345514415
0,3,10,3427,0.0,0.0,0.0,-0.0015952318103325566,0.0,0.0,0.0,0.008917409114036835
0,5,11,3424,0.0,0.0,0.0,-0.002160897820641389,0.0,0.0,0.0,0.013739465462970557
0,10,12,3418,0.0,0.0,0.0,-0.003194649056847893,0.06666666666666667,0.05,0.0,0.01046421135566347
1,7,18,3414,0.125,0.05263157894736842,0.07407407407407407,0.07783229531612172,0.06666666666666667,0.05,0.05263157894736842,0.02097925324036097
0,16,19,3405,0.0,0.0,0.0,-0.005094403929504585,0.0,0.0,0.0,0.030687547918779853
0,25,19,3396,0.0,0.0,0.0,-0.006376390612229938,0.0,0.0,0.0,0.02214732046005325
2,24,17,3397,0.07692307692307693,0.10526315789473684,0.08888888888888889,0.08407311605762643,0.13333333333333333,0.1,0.10526315789473684,0.012791468188205741
10,1213,8,2209,0.008176614881439084,0.5555555555555556,0.016116035455278004,0.03030810236802278,0.0,0.0,0.0,0.005679236246088567
0,3,18,3419,0.0,0.0,0.0,-0.002142728327942759,0.0,0.0,0.0,0.018907655434172322
0,3,18,3419,0.0,0.0,0.0,-0.002142728327942759,0.0,0.0,0.0,0.020249913315365232
0,7,11,3422,0.0,0.0,0.0,-0.002557553447462083,0.0,0.0,0.0,0.012810618629892051
13,1062,18,2347,0.012093023255813953,0.41935483870967744,0.023508137432188065,0.021983669045826423,0.0,0.0,0.0,0.009918507233091104
6,1039,5,2390,0.005741626794258373,0.5454545454545454,0.011363636363636364,0.02976409764154194,0.0,0.0,0.0,0.003692413448564474
4,1056,7,2373,0.0037735849056603774,0.36363636363636365,0.007469654528478058,0.006807659076873301,0.0,0.0,0.0,0.003790321134506828
0,4,10,3426,0.0,0.0,0.0,-0.0018422830571554081,0.0,0.0,0.0,0.010645574125070965
0,8,17,3415,0.0,0.0,0.0,-0.0034024548040000636,0.0,0.0,0.0,0.01297256763796859
0,7,17,3416,0.0,0.0,0.0,-0.0031822414581382276,0.0,0.0,0.0,0.011392314937135177
0,8,17,3415,0.0,0.0,0.0,-0.0034024548040000636,0.0,0.0,0.0,0.01419593479247545
0,3,17,3420,0.0,0.0,0.0,-0.0020820534403407065,0.0,0.0,0.0,0.02189980024295761
4,998,7,2431,0.003992015968063872,0.36363636363636365,0.007897334649555774,0.009019919201748591,0.0,0.0,0.0,0.0036565295185322995
2,17,22,3399,0.10526315789473684,0.08333333333333333,0.0930232558139535,0.08800100720363055,0.13333333333333333,0.1,0.08333333333333333,0.012143806306329417
1,7,23,3409,0.125,0.041666666666666664,0.0625,0.0684593601340436,0.06666666666666667,0.05,0.041666666666666664,0.03999192825470995
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476,0.06666666666666667,0.05,0.0,0.09431495331577064
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296,0.0,0.0,0.0,0.46375309381032487
1,9,12,3418,0.1,0.07692307692307693,0.08695652173913043,0.08467441510135607,0.06666666666666667,0.05,0.07692307692307693,0.025167449659946106
0,7,11,3422,0.0,0.0,0.0,-0.002557553447462083,0.06666666666666667,0.05,0.09090909090909091,0.009576783408654685
0,6,14,3420,0.0,0.0,0.0,-0.0026720576157778864,0.0,0.0,0.0,0.010977495761061221
1,0,9,3430,1.0,0.1,0.18181818181818182,0.31581370460492025,0.06666666666666667,0.05,0.1,0.028676869971582957
