tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2,4,12,3422,0.3333333333333333,0.14285714285714285,0.2,0.21618218520031568,0.2,0.15,0.21428571428571427,0.16359944839583862
5,0,6,3429,1.0,0.45454545454545453,0.625,0.6736107842708476,0.5333333333333333,0.4,0.6363636363636364,0.5329679265676077
8,3,3,3426,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263978366340571,0.6,0.45,0.7272727272727273,0.6118520232514624
7,2,3,3428,0.7777777777777778,0.7,0.7368421052631577,0.737142708771666,0.6,0.45,0.7,0.43388643655439196
2,50,9,3379,0.038461538461538464,0.18181818181818182,0.0634920634920635,0.07738169293702671,0.0,0.0,0.0,0.02628804212739407
7,2,5,3426,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.6726073760436898,0.5333333333333333,0.45,0.5833333333333334,0.13406742870530147
9,41,10,3380,0.18,0.47368421052631576,0.2608695652173913,0.2859089868688033,0.26666666666666666,0.35,0.3157894736842105,0.07607926513253649
3,10,16,3411,0.23076923076923078,0.15789473684210525,0.18749999999999997,0.1871874672187834,0.2,0.2,0.15789473684210525,0.30796339077929746
3,6,16,3415,0.3333333333333333,0.15789473684210525,0.21428571428571427,0.2265365599004649,0.2,0.2,0.21052631578947367,0.20642044298164863
1,10,18,3411,0.09090909090909091,0.05263157894736842,0.06666666666666667,0.06525345859620972,0.26666666666666666,0.25,0.2631578947368421,0.3197468339422713
9,2,9,3420,0.8181818181818182,0.5,0.6206896551724137,0.638202097986997,0.7333333333333333,0.65,0.6666666666666666,0.3084661037424778
15,4,3,3418,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8100877483664178,0.8,0.75,0.7777777777777778,0.1040985707812707
13,5,5,3417,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7207610883823625,0.8,0.65,0.7222222222222222,0.1402690938634498
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465,0.6666666666666666,0.5,0.9090909090909091,0.5465816049354976
13,14,18,3395,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.44468444289965564,0.6666666666666666,0.55,0.5161290322580645,0.32455272851759304
9,2,2,3427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8175985577560381,0.6666666666666666,0.55,0.8181818181818182,0.32061509211309175
8,6,3,3423,0.5714285714285714,0.7272727272727273,0.64,0.6433888649248228,0.5333333333333333,0.45,0.6363636363636364,0.23823106622096862
5,4,5,3426,0.5555555555555556,0.5,0.5263157894736842,0.5257403812873366,0.3333333333333333,0.3,0.5,0.4162488184105411
11,9,6,3414,0.55,0.6470588235294118,0.5945945945945946,0.594395217737523,0.7333333333333333,0.55,0.6470588235294118,0.2552020987657097
12,2,5,3421,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.7768602649768265,0.8,0.7,0.7647058823529411,0.3870921127785403
11,4,6,3419,0.7333333333333333,0.6470588235294118,0.6875,0.6874018979040556,0.7333333333333333,0.55,0.6470588235294118,0.31730223616902303
13,1,4,3422,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.8419740340797036,0.8666666666666667,0.65,0.7647058823529411,0.4164655896488782
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465,0.5333333333333333,0.4,0.7272727272727273,0.4201000520091854
