tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0,0,14,3426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40111764849638576
7,5,4,3424,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.6079643793435484,0.4666666666666667,0.4,0.6363636363636364,0.023153413278649043
4,12,7,3417,0.25,0.36363636363636365,0.2962962962962963,0.2988276079730602,0.26666666666666666,0.2,0.36363636363636365,0.08182550274885027
4,1,6,3429,0.8,0.4,0.5333333333333333,0.5648615610406712,0.3333333333333333,0.25,0.5,0.27242706858952703
2,7,9,3422,0.2222222222222222,0.18181818181818182,0.19999999999999998,0.19869276136770606,0.2,0.15,0.2727272727272727,0.0054660647357795125
5,3,7,3425,0.625,0.4166666666666667,0.5,0.508941687108602,0.4,0.35,0.5,0.2716592153148993
5,14,14,3407,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2590655240849859,0.3333333333333333,0.25,0.2631578947368421,0.02314036111210775
4,25,15,3396,0.13793103448275862,0.21052631578947367,0.16666666666666666,0.16473153449551742,0.13333333333333333,0.1,0.10526315789473684,0.026431407854412035
3,18,16,3403,0.14285714285714285,0.15789473684210525,0.15,0.14522551133813372,0.13333333333333333,0.15,0.15789473684210525,0.01871712561750628
3,14,16,3407,0.17647058823529413,0.15789473684210525,0.16666666666666669,0.16255055036827773,0.2,0.2,0.15789473684210525,0.02511831442656555
8,8,10,3414,0.5,0.4444444444444444,0.47058823529411764,0.4687879220709472,0.4666666666666667,0.4,0.4444444444444444,0.04133332108766387
11,5,7,3417,0.6875,0.6111111111111112,0.6470588235294118,0.6464425693892557,0.6666666666666666,0.65,0.6666666666666666,0.3124599006198668
4,4,14,3418,0.5,0.2222222222222222,0.30769230769230765,0.33109654926865,0.4666666666666667,0.35,0.3888888888888889,0.3738770184127553
4,3,7,3426,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.4544805691119959,0.4,0.3,0.45454545454545453,0.09502935559875074
8,53,23,3356,0.13114754098360656,0.25806451612903225,0.17391304347826086,0.17365140446195332,0.13333333333333333,0.1,0.12903225806451613,0.015792585330708635
3,4,8,3425,0.42857142857142855,0.2727272727272727,0.33333333333333326,0.3402210384721314,0.3333333333333333,0.35,0.2727272727272727,0.39935308799038144
5,3,6,3426,0.625,0.45454545454545453,0.5263157894736842,0.5317433329015605,0.4666666666666667,0.35,0.5454545454545454,0.35125379243960797
2,6,8,3424,0.25,0.2,0.22222222222222224,0.22158646011126432,0.26666666666666666,0.2,0.2,0.3111530910511758
13,9,4,3414,0.5909090909090909,0.7647058823529411,0.6666666666666667,0.6703925398417578,0.6666666666666666,0.6,0.6470588235294118,0.051917116427309555
7,6,10,3417,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.4685927862267589,0.5333333333333333,0.5,0.5294117647058824,0.054599432160937204
6,6,11,3417,0.5,0.35294117647058826,0.41379310344827586,0.4176927662854421,0.4666666666666667,0.4,0.4117647058823529,0.06317228249463645
8,8,9,3415,0.5,0.47058823529411764,0.48484848484848486,0.48259170304310006,0.4666666666666667,0.45,0.5294117647058824,0.02652048054271332
7,4,4,3425,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761,0.4666666666666667,0.4,0.6363636363636364,0.5502559893897941
7,30,17,3386,0.1891891891891892,0.2916666666666667,0.22950819672131148,0.22826630765448572,0.2,0.2,0.20833333333333334,0.013493612588279627
3,24,21,3392,0.1111111111111111,0.125,0.11764705882352941,0.1112760522537703,0.13333333333333333,0.15,0.125,0.028416044042165554
4,3,8,3425,0.5714285714285714,0.3333333333333333,0.4210526315789474,0.43497284059772795,0.3333333333333333,0.25,0.4166666666666667,0.49073166958951475
5,4,9,3422,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.44365559842097574,0.4,0.3,0.42857142857142855,0.49462576556919535
6,6,7,3421,0.5,0.46153846153846156,0.48000000000000004,0.47849236140691165,0.4,0.3,0.46153846153846156,0.43199438054722716
3,9,8,3420,0.25,0.2727272727272727,0.2608695652173913,0.2586412684463033,0.2,0.15,0.18181818181818182,0.6386706304763734
7,5,7,3421,0.5833333333333334,0.5,0.5384615384615384,0.5383282552346002,0.5333333333333333,0.4,0.5714285714285714,0.445258571599636
2,6,8,3424,0.25,0.2,0.22222222222222224,0.22158646011126432,0.13333333333333333,0.1,0.2,0.010036542243155054
8,11,13,3408,0.42105263157894735,0.38095238095238093,0.4,0.3970024284851854,0.5333333333333333,0.4,0.38095238095238093,0.07031709420992076
6,14,14,3406,0.3,0.3,0.3,0.295906432748538,0.3333333333333333,0.3,0.3,0.1797903997554601
7,8,12,3413,0.4666666666666667,0.3684210526315789,0.4117647058823529,0.4117716608877817,0.4666666666666667,0.4,0.42105263157894735,0.03129727703820386
10,10,8,3412,0.5,0.5555555555555556,0.5263157894736842,0.5244272442318328,0.5333333333333333,0.5,0.5,0.045663660182344856
5,2,12,3421,0.7142857142857143,0.29411764705882354,0.4166666666666667,0.45677198610469805,0.6,0.45,0.5294117647058824,0.30268635645038355
5,2,5,3428,0.7142857142857143,0.5,0.588235294117647,0.5966565068922214,0.5333333333333333,0.4,0.7,0.2914555010319145
4,8,6,3422,0.3333333333333333,0.4,0.3636363636363636,0.3631251094617105,0.26666666666666666,0.25,0.3,0.02659796174278628
2,8,8,3422,0.2,0.2,0.20000000000000004,0.197667638483965,0.13333333333333333,0.1,0.2,0.005604604178898804
3,1,8,3428,0.75,0.2727272727272727,0.39999999999999997,0.4513229697851845,0.4,0.3,0.5454545454545454,0.47989992630204953
4,5,9,3422,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.3678320241252109,0.4,0.4,0.46153846153846156,0.2602868543662794
10,5,7,3418,0.6666666666666666,0.5882352941176471,0.625,0.6244868379389112,0.6666666666666666,0.5,0.5882352941176471,0.12177178584918635
7,6,10,3417,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.4685927862267589,0.4666666666666667,0.4,0.4117647058823529,0.3223338883766262
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196,0.0,0.0,0.0,0.38853934790519223
7,7,3,3423,0.5,0.7,0.5833333333333334,0.5902274300399138,0.4666666666666667,0.4,0.5,0.46530921033978806
3,4,7,3426,0.42857142857142855,0.3,0.3529411764705882,0.35701863372126497,0.4,0.35,0.4,0.1664472713813551
2,0,10,3428,1.0,0.16666666666666666,0.2857142857142857,0.40765412875988105,0.2,0.15,0.16666666666666666,0.4396586665437977
1,5,12,3422,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.11096683778039666,0.06666666666666667,0.05,0.07692307692307693,0.15607623518154912
0,0,13,3427,0.0,0.0,0.0,0.0,0.13333333333333333,0.1,0.15384615384615385,0.46292897298033897
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476,0.06666666666666667,0.05,0.08333333333333333,0.5269373930573614
8,9,5,3418,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.5361546783689296,0.5333333333333333,0.45,0.6153846153846154,0.03402482902373883
2,3,9,3426,0.4,0.18181818181818182,0.25000000000000006,0.2681477750159542,0.13333333333333333,0.1,0.18181818181818182,0.005232035231662378
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856,0.0,0.0,0.0,0.09069836618614889
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828,0.13333333333333333,0.1,0.16666666666666666,0.8524849662420848
0,0,12,3428,0.0,0.0,0.0,0.0,0.06666666666666667,0.05,0.08333333333333333,0.0716099555012816
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017,0.13333333333333333,0.1,0.16666666666666666,0.10041366617067926
1,1,11,3427,0.5,0.08333333333333333,0.14285714285714285,0.20311355073567003,0.13333333333333333,0.1,0.08333333333333333,0.10117215052514017
2,0,10,3428,1.0,0.16666666666666666,0.2857142857142857,0.40765412875988105,0.2,0.15,0.25,0.47018140643367784
0,0,12,3428,0.0,0.0,0.0,0.0,0.2,0.15,0.16666666666666666,0.4612487239816789
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914,0.13333333333333333,0.1,0.18181818181818182,0.3364943275808382
2,7,14,3417,0.2222222222222222,0.125,0.16,0.16377348679777623,0.13333333333333333,0.15,0.1875,0.3239437319688233
1,7,14,3418,0.125,0.06666666666666667,0.08695652173913045,0.08839822266567439,0.06666666666666667,0.1,0.06666666666666667,0.34637669320399095
4,1,13,3422,0.8,0.23529411764705882,0.3636363636363636,0.4325646765872023,0.4,0.35,0.35294117647058826,0.1486674778691097
5,37,19,3379,0.11904761904761904,0.20833333333333334,0.15151515151515152,0.14969235153705476,0.13333333333333333,0.1,0.125,0.01532983681709582
5,36,19,3380,0.12195121951219512,0.20833333333333334,0.15384615384615383,0.15170911439933704,0.13333333333333333,0.15,0.16666666666666666,0.02075529495008535
2,13,22,3403,0.13333333333333333,0.08333333333333333,0.10256410256410255,0.10046322753563654,0.13333333333333333,0.1,0.08333333333333333,0.06661576375661196
6,26,18,3390,0.1875,0.25,0.21428571428571427,0.2101610571779442,0.13333333333333333,0.2,0.25,0.026149170417536394
