tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
4,11,10,3415,0.26666666666666666,0.2857142857142857,0.2758620689655172,0.27296419292647284,0.26666666666666666,0.2,0.2857142857142857,0.21895905845822655
10,5,1,3424,0.6666666666666666,0.9090909090909091,0.7692307692307692,0.7777039945158153,0.6666666666666666,0.5,0.8181818181818182,0.14378414525741817
6,4,5,3425,0.6,0.5454545454545454,0.5714285714285713,0.5707708752077334,0.4,0.3,0.5454545454545454,0.3107218807269308
8,4,2,3426,0.6666666666666666,0.8,0.7272727272727272,0.7294448679802689,0.5333333333333333,0.4,0.8,0.41780283215277836
2,3,9,3426,0.4,0.18181818181818182,0.25000000000000006,0.2681477750159542,0.13333333333333333,0.2,0.18181818181818182,0.16948983679548785
6,1,6,3427,0.8571428571428571,0.5,0.631578947368421,0.6537950944228499,0.4,0.3,0.5,0.6557706043257533
8,10,11,3411,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.4295244610617368,0.4666666666666667,0.45,0.47368421052631576,0.13227767799171866
10,0,9,3421,1.0,0.5263157894736842,0.6896551724137931,0.7245238339381618,0.7333333333333333,0.55,0.5789473684210527,0.1672573866297521
12,7,7,3414,0.631578947368421,0.631578947368421,0.631578947368421,0.629532762042493,0.6666666666666666,0.6,0.631578947368421,0.1236909087627055
8,9,11,3412,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.44222139825608175,0.5333333333333333,0.4,0.42105263157894735,0.3017128990731404
11,5,7,3417,0.6875,0.6111111111111112,0.6470588235294118,0.6464425693892557,0.6666666666666666,0.65,0.6666666666666666,0.3646529146028807
11,4,7,3418,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.6678655197144318,0.7333333333333333,0.65,0.6666666666666666,0.2002202529470943
12,1,6,3421,0.9230769230769231,0.6666666666666666,0.7741935483870968,0.7835484526154426,0.8666666666666667,0.7,0.7777777777777778,0.7175744333886744
10,2,1,3427,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8699567125164823,0.6666666666666666,0.5,0.9090909090909091,0.41084658431223015
18,19,13,3390,0.4864864864864865,0.5806451612903226,0.5294117647058824,0.5268469755878715,0.7333333333333333,0.65,0.5483870967741935,0.11285867077349318
8,2,3,3427,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212,0.7333333333333333,0.55,0.7272727272727273,0.5306501453236868
6,0,5,3429,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664,0.6,0.45,0.8181818181818182,0.502975853347039
5,7,5,3423,0.4166666666666667,0.5,0.45454545454545453,0.4547050490913501,0.5333333333333333,0.45,0.4,0.3814435964886445
12,2,5,3421,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.7768602649768265,0.8,0.6,0.7058823529411765,0.31257963824035767
11,1,6,3422,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7692447128556908,0.8,0.65,0.7058823529411765,0.46965797274003374
10,4,7,3419,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.6466327267710722,0.7333333333333333,0.65,0.7647058823529411,0.5315276350241384
10,2,7,3421,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.6989343235416411,0.8,0.6,0.7058823529411765,0.1970720082655018
6,4,5,3425,0.6,0.5454545454545454,0.5714285714285713,0.5707708752077334,0.6,0.45,0.6363636363636364,0.5687062168472201
7,7,17,3409,0.5,0.2916666666666667,0.3684210526315789,0.3786444840606742,0.5333333333333333,0.5,0.4166666666666667,0.1879475886002607
5,8,19,3408,0.38461538461538464,0.20833333333333334,0.2702702702702703,0.27943766269409787,0.4,0.45,0.4166666666666667,0.3678116698067318
9,1,3,3427,0.9,0.75,0.8181818181818182,0.8210248076099085,0.7333333333333333,0.55,0.75,0.3512771175042728
8,3,6,3423,0.7272727272727273,0.5714285714285714,0.64,0.6433888649248228,0.5333333333333333,0.5,0.5714285714285714,0.19165955105302393
7,4,6,3423,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.5839301588461644,0.6,0.5,0.6153846153846154,0.7513111888696069
8,2,3,3427,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212,0.5333333333333333,0.4,0.7272727272727273,0.03702351260185975
12,7,2,3419,0.631578947368421,0.8571428571428571,0.7272727272727273,0.7345495421255486,0.7333333333333333,0.6,0.7142857142857143,0.19060266210652568
1,1,9,3429,0.5,0.1,0.16666666666666669,0.22269533113165652,0.13333333333333333,0.1,0.2,0.09253964486460141
12,2,9,3417,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.6984231736356145,0.8,0.6,0.5714285714285714,0.47861596039304477
11,5,9,3415,0.6875,0.55,0.6111111111111112,0.6129258097958767,0.7333333333333333,0.7,0.7,0.29396056981025165
13,6,6,3415,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6824566531792797,0.7333333333333333,0.65,0.6842105263157895,0.27440792820984317
11,5,7,3417,0.6875,0.6111111111111112,0.6470588235294118,0.6464425693892557,0.7333333333333333,0.6,0.6111111111111112,0.5052956357708364
13,4,4,3419,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7635373167671977,0.8,0.7,0.7647058823529411,0.1175126008047513
8,3,2,3427,0.7272727272727273,0.8,0.761904761904762,0.7620472328029212,0.6,0.45,0.8,0.5534514148664273
6,1,4,3429,0.8571428571428571,0.6,0.7058823529411764,0.7164754434776995,0.4666666666666667,0.35,0.7,0.7601772101554869
0,3,10,3427,0.0,0.0,0.0,-0.0015952318103325566,0.13333333333333333,0.15,0.1,0.05637042914036439
4,0,7,3429,1.0,0.36363636363636365,0.5333333333333333,0.6024081212119103,0.4666666666666667,0.45,0.45454545454545453,0.29710261684999123
8,4,5,3423,0.6666666666666666,0.6153846153846154,0.64,0.6392044999774815,0.6666666666666666,0.5,0.6153846153846154,0.25452977313443814
14,4,3,3419,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.7993078530303388,0.8666666666666667,0.7,0.8235294117647058,0.2217760054122585
13,5,4,3418,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.7418493539618312,0.8666666666666667,0.7,0.7647058823529411,0.07643646901439939
0,22,10,3408,0.0,0.0,0.0,-0.00433189829060707,0.0,0.0,0.0,0.014635893618504902
9,2,1,3428,0.8181818181818182,0.9,0.8571428571428572,0.857685411600515,0.6,0.45,0.9,0.5326810774831268
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195,0.6,0.45,0.9,0.4372709058800067
2,0,10,3428,1.0,0.16666666666666666,0.2857142857142857,0.40765412875988105,0.26666666666666666,0.25,0.16666666666666666,0.11308727439533196
2,13,11,3414,0.13333333333333333,0.15384615384615385,0.14285714285714288,0.13973228654065414,0.13333333333333333,0.15,0.15384615384615385,0.03941011650847446
3,5,10,3422,0.375,0.23076923076923078,0.2857142857142857,0.2921013221904001,0.26666666666666666,0.2,0.3076923076923077,0.14707678110659547
5,5,7,3423,0.5,0.4166666666666667,0.45454545454545453,0.4547050490913501,0.3333333333333333,0.25,0.4166666666666667,0.23659620397545517
8,0,5,3427,1.0,0.6153846153846154,0.761904761904762,0.7838928983136265,0.6666666666666666,0.5,0.6923076923076923,0.3463854327481522
2,2,9,3427,0.5,0.18181818181818182,0.26666666666666666,0.30023781835845864,0.26666666666666666,0.2,0.2727272727272727,0.10765227880766862
1,11,13,3415,0.08333333333333333,0.07142857142857142,0.07692307692307691,0.07366218012410555,0.06666666666666667,0.1,0.07142857142857142,0.10655601031804322
3,4,9,3424,0.42857142857142855,0.25,0.3157894736842105,0.32556171368516695,0.26666666666666666,0.2,0.3333333333333333,0.09639348906855934
2,2,10,3426,0.5,0.16666666666666666,0.25,0.2873295249247962,0.2,0.15,0.16666666666666666,0.25322234226291257
2,6,10,3422,0.25,0.16666666666666666,0.2,0.20186274586908065,0.13333333333333333,0.1,0.16666666666666666,0.056497599081598494
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828,0.06666666666666667,0.1,0.08333333333333333,0.07106860306754309
2,11,10,3417,0.15384615384615385,0.16666666666666666,0.16,0.157068084265772,0.2,0.2,0.16666666666666666,0.06362437849643093
1,10,11,3418,0.09090909090909091,0.08333333333333333,0.08695652173913043,0.08397971299768074,0.13333333333333333,0.1,0.16666666666666666,0.2164912791060587
1,6,10,3423,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.11170197719240241,0.13333333333333333,0.1,0.09090909090909091,0.12394139542229293
5,8,11,3416,0.38461538461538464,0.3125,0.3448275862068966,0.3439449218334582,0.3333333333333333,0.25,0.3125,0.2372027516946748
3,17,12,3408,0.15,0.2,0.17142857142857143,0.16902998511763898,0.13333333333333333,0.15,0.13333333333333333,0.11764584592821685
11,1,6,3422,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7692447128556908,0.7333333333333333,0.55,0.6470588235294118,0.3908861842987761
8,6,16,3410,0.5714285714285714,0.3333333333333333,0.4210526315789474,0.4335020070209471,0.5333333333333333,0.45,0.5,0.23075644243877885
12,13,12,3403,0.48,0.5,0.4897959183673469,0.48624039332523905,0.5333333333333333,0.5,0.5,0.16399638603709815
8,7,16,3409,0.5333333333333333,0.3333333333333333,0.4102564102564102,0.4184940582619461,0.5333333333333333,0.5,0.4583333333333333,0.14493694139054242
