tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
13,0,1,3426,1.0,0.9285714285714286,0.962962962962963,0.9634835084469433,0.9333333333333333,0.7,1.0,0.8852583444155963
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9908657647658118
10,0,1,3429,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109,0.7333333333333333,0.55,1.0,0.9970142131959218
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.9441027034169146
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.19251218449210802
12,0,0,3428,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.9930718800027526
18,0,1,3421,1.0,0.9473684210526315,0.972972972972973,0.973186300068424,1.0,0.95,1.0,0.9944994920334314
19,0,0,3421,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9949279630693426
18,0,1,3421,1.0,0.9473684210526315,0.972972972972973,0.973186300068424,1.0,0.95,1.0,0.9912236830082448
19,0,0,3421,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9414930826744485
17,0,1,3422,1.0,0.9444444444444444,0.9714285714285714,0.9716833502358617,1.0,0.9,0.9444444444444444,0.968180467895506
18,0,0,3422,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9822220535848942
18,0,0,3422,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9682108554287144
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9551863666823993
31,0,0,3409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6542143046994202
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9966025108649078
11,1,0,3428,0.9166666666666666,1.0,0.9565217391304348,0.9572874902407936,0.7333333333333333,0.55,1.0,0.9791344993903415
10,0,0,3430,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.9916946536249938
16,1,1,3422,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9408843291917994,1.0,0.85,0.9411764705882353,0.9403020801514498
14,0,3,3423,1.0,0.8235294117647058,0.9032258064516129,0.9070878031825806,1.0,0.85,1.0,0.9933241137096137
16,0,1,3423,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.8,0.9411764705882353,0.9861223148194921
17,0,0,3423,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.8090711317698415
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9701439218173074
24,0,0,3416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996961949552028
21,0,3,3416,1.0,0.875,0.9333333333333333,0.9350038671827408,1.0,1.0,1.0,0.9961082500139866
12,1,0,3427,0.9230769230769231,1.0,0.9600000000000001,0.9606287771186212,0.8,0.6,1.0,0.9945491367475252
14,0,0,3426,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9873237290845258
11,0,2,3427,1.0,0.8461538461538461,0.9166666666666666,0.9195979111009676,0.8666666666666667,0.65,1.0,0.995889165588789
11,0,0,3429,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9446938256296789
