process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,65.0,14688.0,6541.0,8.0,0.0044058835491086554,0.8904109589041096,0.31011172659844144,0.008768379873195736,0.02514308608437355,0.0027277971005784454
R-HSA-112379,17.0,2375.0,18869.0,41.0,0.007107023411371237,0.29310344827586204,0.8865834193972397,0.013877551020408163,0.029924078508463924,0.0038413631672369994
R-HSA-112385,17.0,2375.0,18869.0,41.0,0.007107023411371237,0.29310344827586204,0.8865834193972397,0.013877551020408163,0.029924078508463924,0.0038413631672369994
R-HSA-1168640,43.0,803.0,20448.0,8.0,0.0508274231678487,0.8431372549019608,0.9619284574218383,0.09587513935340022,0.20154142638620448,0.02532363245761029
R-HSA-1214188,59.0,19387.0,1856.0,0.0,0.0030340429908464464,1.0,0.08989766219134354,0.006049730838246603,0.016281406761671755,0.0016749842472234525
R-HSA-1234159,46.0,3822.0,17418.0,16.0,0.011892450879007239,0.7419354838709677,0.819829124025913,0.02340966921119593,0.07853467777342506,0.0058617517525672855
R-HSA-141409,27.0,3583.0,17623.0,69.0,0.007479224376731302,0.28125,0.82856069852596,0.01457096600107933,0.02004738661021654,0.005488668440918941
R-HSA-141422,27.0,3583.0,17623.0,69.0,0.007479224376731302,0.28125,0.82856069852596,0.01457096600107933,0.02004738661021654,0.005488668440918941
R-HSA-141431,27.0,3583.0,17623.0,69.0,0.007479224376731302,0.28125,0.82856069852596,0.01457096600107933,0.02004738661021654,0.005488668440918941
R-HSA-141439,27.0,3583.0,17623.0,69.0,0.007479224376731302,0.28125,0.82856069852596,0.01457096600107933,0.02004738661021654,0.005488668440918941
R-HSA-141671,86.0,2905.0,18307.0,4.0,0.028752925442995653,0.9555555555555556,0.8634400525772228,0.055826030509574805,0.1528347456852846,0.014858802888167344
R-HSA-141673,86.0,2905.0,18307.0,4.0,0.028752925442995653,0.9555555555555556,0.8634400525772228,0.055826030509574805,0.1528347456852846,0.014858802888167344
R-HSA-141691,86.0,2905.0,18307.0,4.0,0.028752925442995653,0.9555555555555556,0.8634400525772228,0.055826030509574805,0.1528347456852846,0.014858802888167344
R-HSA-1504193,46.0,2983.0,18264.0,9.0,0.015186530207989435,0.8363636363636363,0.8595437048164492,0.029831387808041506,0.10112637806361073,0.007578515606567626
R-HSA-156661,150.0,18897.0,2250.0,5.0,0.007875255945818239,0.967741935483871,0.11266547741996057,0.015623372565357774,0.02048124182309795,0.006642234860488982
R-HSA-156808,34.0,1930.0,19314.0,24.0,0.017311608961303463,0.5862068965517241,0.9082715238005821,0.033630069238377844,0.08922253439553883,0.007239711673140144
R-HSA-156823,34.0,2258.0,18985.0,25.0,0.014834205933682374,0.576271186440678,0.8928269646042625,0.028923862186303703,0.0797099417968593,0.006324548136887663
R-HSA-156826,52.0,2280.0,18969.0,1.0,0.022298456260720412,0.9811320754716981,0.8929208525021125,0.04360587002096435,0.13942403289983615,0.01148379604955054
R-HSA-156907,86.0,2726.0,18488.0,2.0,0.03058321479374111,0.9772727272727273,0.8719369073326448,0.05931034482758621,0.1608303091849865,0.01584035481936013
R-HSA-156912,86.0,1976.0,19239.0,1.0,0.041707080504364696,0.9885057471264368,0.9071918129753075,0.08003722661703118,0.19312298177523898,0.027085764711439607
R-HSA-156915,86.0,2745.0,18468.0,3.0,0.03037795831861533,0.9662921348314607,0.8709980283541452,0.0589041095890411,0.15901916625688242,0.01566727007542251
R-HSA-156923,86.0,2726.0,18488.0,2.0,0.03058321479374111,0.9772727272727273,0.8719369073326448,0.05931034482758621,0.1608303091849865,0.01584035481936013
R-HSA-157849,34.0,2192.0,19053.0,23.0,0.015274034141958671,0.5964912280701754,0.8960191531311614,0.029785370127025843,0.08330729020152572,0.006233785181092096
R-HSA-1638803,94.0,12230.0,8950.0,28.0,0.00762739370334307,0.7704918032786885,0.4245610740775514,0.01510525470030532,0.029503269324230353,0.006901239761690706
R-HSA-1638821,94.0,12230.0,8950.0,28.0,0.00762739370334307,0.7704918032786885,0.4245610740775514,0.01510525470030532,0.029503269324230353,0.006901239761690706
R-HSA-174058,43.0,2752.0,18486.0,21.0,0.015384615384615385,0.671875,0.8698244296310206,0.030080447708989162,0.08790715654220178,0.007303191593277143
R-HSA-174105,48.0,3014.0,18216.0,24.0,0.015676028739386023,0.6666666666666666,0.8573842831658999,0.030631780472239953,0.08680314107438929,0.007124115566919745
R-HSA-174202,47.0,2745.0,18489.0,21.0,0.01683381088825215,0.6911764705882353,0.8701530372734955,0.032867132867132866,0.09392269333515957,0.007888863252102217
R-HSA-174203,46.0,2614.0,18633.0,9.0,0.017293233082706767,0.8363636363636363,0.8768660219697682,0.03388581952117863,0.10950559624554389,0.008441642503101516
R-HSA-174255,47.0,2940.0,18289.0,26.0,0.015734851021091397,0.6438356164383562,0.8607642474884988,0.030718954248366015,0.08505381515983255,0.0072172434073898215
R-HSA-176700,50.0,19251.0,2001.0,0.0,0.002590539350292731,1.0,0.0962820392451413,0.005167691592165779,0.015617759741580868,0.0017113880620722131
