process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,28.0,310.0,20919.0,45.0,0.08284023668639054,0.3835616438356164,0.9833348981316309,0.1362530413625304,0.1725475730636928,0.06198455153530836
R-HSA-112379,25.0,3.0,21241.0,33.0,0.8928571428571429,0.43103448275862066,0.9983100178387005,0.5813953488372092,0.6197239173431969,0.5962943154813666
R-HSA-112385,25.0,3.0,21241.0,33.0,0.8928571428571429,0.43103448275862066,0.9983100178387005,0.5813953488372092,0.6197239173431969,0.5962943154813666
R-HSA-1168640,40.0,33.0,21218.0,11.0,0.547945205479452,0.7843137254901961,0.9979344662473008,0.6451612903225806,0.6546025237998999,0.3828970292510438
R-HSA-1214188,4.0,14.0,21229.0,55.0,0.2222222222222222,0.06779661016949153,0.9967608675241761,0.1038961038961039,0.12143298421794435,0.0414751310220343
R-HSA-1234159,44.0,31.0,21209.0,18.0,0.5866666666666667,0.7096774193548387,0.9976997465026758,0.6423357664233577,0.6441174486897877,0.4422001667910804
R-HSA-141409,33.0,159.0,21047.0,63.0,0.171875,0.34375,0.9895784433386536,0.22916666666666666,0.23830617603811358,0.11212246278913582
R-HSA-141422,33.0,159.0,21047.0,63.0,0.171875,0.34375,0.9895784433386536,0.22916666666666666,0.23830617603811358,0.11212246278913582
R-HSA-141431,33.0,159.0,21047.0,63.0,0.171875,0.34375,0.9895784433386536,0.22916666666666666,0.23830617603811358,0.11212246278913582
R-HSA-141439,33.0,159.0,21047.0,63.0,0.171875,0.34375,0.9895784433386536,0.22916666666666666,0.23830617603811358,0.11212246278913582
R-HSA-141671,67.0,64.0,21148.0,23.0,0.5114503816793893,0.7444444444444445,0.9959158764435264,0.6063348416289592,0.6151404612545025,0.514148746144924
R-HSA-141673,67.0,64.0,21148.0,23.0,0.5114503816793893,0.7444444444444445,0.9959158764435264,0.6063348416289592,0.6151404612545025,0.514148746144924
R-HSA-141691,67.0,64.0,21148.0,23.0,0.5114503816793893,0.7444444444444445,0.9959158764435264,0.6063348416289592,0.6151404612545025,0.514148746144924
R-HSA-1504193,42.0,33.0,21214.0,13.0,0.56,0.7636363636363637,0.9978405783494507,0.6461538461538462,0.6529164364780949,0.3934479973661765
R-HSA-156661,91.0,254.0,20893.0,64.0,0.263768115942029,0.5870967741935483,0.9850718242418552,0.364,0.3872118425222084,0.2488600210218822
