process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,21.0,77.0,21152.0,52.0,0.21428571428571427,0.2876712328767123,0.9939442305886771,0.2456140350877193,0.24529577324883212,0.09321472936339201
R-HSA-112379,41.0,18.0,21226.0,17.0,0.6949152542372882,0.7068965517241379,0.9983569617876256,0.7008547008547009,0.7000566913362356,0.7370719390126802
R-HSA-112385,41.0,18.0,21226.0,17.0,0.6949152542372882,0.7068965517241379,0.9983569617876256,0.7008547008547009,0.7000566913362356,0.7370719390126802
R-HSA-1168640,40.0,31.0,21220.0,11.0,0.5633802816901409,0.7843137254901961,0.9980283541451507,0.6557377049180328,0.663806785617537,0.3954948317372638
R-HSA-1214188,13.0,78.0,21165.0,46.0,0.14285714285714285,0.22033898305084745,0.9941789503333021,0.1733333333333333,0.1745925884341023,0.048489432589362
R-HSA-1234159,43.0,27.0,21213.0,19.0,0.6142857142857143,0.6935483870967742,0.9978405783494507,0.6515151515151515,0.6516413834866018,0.5271091664442658
R-HSA-141409,57.0,38.0,21168.0,39.0,0.6,0.59375,0.9963853159327762,0.5968586387434555,0.5950514369405274,0.5348260428128877
R-HSA-141422,57.0,38.0,21168.0,39.0,0.6,0.59375,0.9963853159327762,0.5968586387434555,0.5950514369405274,0.5348260428128877
R-HSA-141431,57.0,38.0,21168.0,39.0,0.6,0.59375,0.9963853159327762,0.5968586387434555,0.5950514369405274,0.5348260428128877
R-HSA-141439,57.0,38.0,21168.0,39.0,0.6,0.59375,0.9963853159327762,0.5968586387434555,0.5950514369405274,0.5348260428128877
R-HSA-141671,66.0,41.0,21171.0,24.0,0.616822429906542,0.7333333333333333,0.9969486433198761,0.6700507614213197,0.6710558965466593,0.6409952037045229
R-HSA-141673,66.0,41.0,21171.0,24.0,0.616822429906542,0.7333333333333333,0.9969486433198761,0.6700507614213197,0.6710558965466593,0.6409952037045229
R-HSA-141691,66.0,41.0,21171.0,24.0,0.616822429906542,0.7333333333333333,0.9969486433198761,0.6700507614213197,0.6710558965466593,0.6409952037045229
R-HSA-1504193,41.0,29.0,21218.0,14.0,0.5857142857142857,0.7454545454545455,0.9979814101962257,0.656,0.6597979210806294,0.41276969421235454
R-HSA-156661,130.0,238.0,20909.0,25.0,0.3532608695652174,0.8387096774193549,0.9876537414327293,0.497131931166348,0.5397400726373942,0.4393624228801051
R-HSA-156808,47.0,65.0,21179.0,11.0,0.41964285714285715,0.8103448275862069,0.9964322598817013,0.5529411764705882,0.5816806432216728,0.509581047865788
R-HSA-156823,47.0,66.0,21177.0,12.0,0.415929203539823,0.7966101694915254,0.9963383719838513,0.5465116279069766,0.5741008574361862,0.49361160383136626
R-HSA-156826,37.0,54.0,21195.0,16.0,0.4065934065934066,0.6981132075471698,0.9967139235752511,0.5138888888888888,0.5313099522239991,0.3656906662982882
R-HSA-156907,68.0,46.0,21168.0,20.0,0.5964912280701754,0.7727272727272727,0.9969016993709511,0.6732673267326733,0.6774247312696418,0.6549155160784095
R-HSA-156912,66.0,42.0,21173.0,21.0,0.6111111111111112,0.7586206896551724,0.997042531217726,0.676923076923077,0.6794424050200809,0.656733027026394
R-HSA-156915,68.0,46.0,21167.0,21.0,0.5964912280701754,0.7640449438202247,0.9968547554220261,0.6699507389162561,0.6735707165693817,0.646851472533554
R-HSA-156923,68.0,46.0,21168.0,20.0,0.5964912280701754,0.7727272727272727,0.9969016993709511,0.6732673267326733,0.6774247312696418,0.6549155160784095
R-HSA-157849,46.0,60.0,21185.0,11.0,0.4339622641509434,0.8070175438596491,0.9966669796263262,0.5644171779141105,0.5904000491802213,0.5182869127524087
R-HSA-1638803,75.0,96.0,21084.0,47.0,0.43859649122807015,0.6147540983606558,0.9932870153037273,0.5119453924914676,0.5160268894415401,0.43878891743774545
