process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,73.0,94.0,21135.0,0.0,0.437125748502994,1.0,0.9955872688010515,0.6083333333333334,0.6596894702188741,0.3342418286683124
R-HSA-112379,58.0,16.0,21228.0,0.0,0.7837837837837838,1.0,0.9992488968172003,0.8787878787878788,0.8849821885347897,0.859619895723933
R-HSA-112385,58.0,16.0,21228.0,0.0,0.7837837837837838,1.0,0.9992488968172003,0.8787878787878788,0.8849821885347897,0.859619895723933
R-HSA-1168640,51.0,31.0,21220.0,0.0,0.6219512195121951,1.0,0.9985447375833255,0.7669172932330827,0.7880634144117397,0.4684760189429366
R-HSA-1214188,56.0,70.0,21173.0,3.0,0.4444444444444444,0.9491525423728814,0.9965730917284762,0.6054054054054054,0.6482646374986373,0.29071281588867476
R-HSA-1234159,62.0,41.0,21199.0,0.0,0.6019417475728155,1.0,0.9980752980940757,0.7515151515151515,0.7750998692348958,0.573098183719958
R-HSA-141409,96.0,136.0,21070.0,0.0,0.41379310344827586,1.0,0.9936156229462022,0.5853658536585366,0.6412014759182618,0.526968641216991
R-HSA-141422,96.0,136.0,21070.0,0.0,0.41379310344827586,1.0,0.9936156229462022,0.5853658536585366,0.6412014759182618,0.526968641216991
R-HSA-141431,96.0,136.0,21070.0,0.0,0.41379310344827586,1.0,0.9936156229462022,0.5853658536585366,0.6412014759182618,0.526968641216991
R-HSA-141439,96.0,136.0,21070.0,0.0,0.41379310344827586,1.0,0.9936156229462022,0.5853658536585366,0.6412014759182618,0.526968641216991
R-HSA-141671,90.0,71.0,21141.0,0.0,0.5590062111801242,1.0,0.9966669796263262,0.7171314741035856,0.7464148490225552,0.5732801558949094
R-HSA-141673,90.0,71.0,21141.0,0.0,0.5590062111801242,1.0,0.9966669796263262,0.7171314741035856,0.7464148490225552,0.5732801558949094
R-HSA-141691,90.0,71.0,21141.0,0.0,0.5590062111801242,1.0,0.9966669796263262,0.7171314741035856,0.7464148490225552,0.5732801558949094
R-HSA-1504193,55.0,32.0,21215.0,0.0,0.632183908045977,1.0,0.9984977936344005,0.7746478873239436,0.7945009622629944,0.49423800988982153
R-HSA-156661,155.0,206.0,20941.0,0.0,0.4293628808864266,1.0,0.9903295465214533,0.6007751937984496,0.6520585199623283,0.450854161486561
R-HSA-156808,58.0,34.0,21210.0,0.0,0.6304347826086957,1.0,0.9984039057365506,0.7733333333333333,0.7933636001657112,0.5685029605318481
R-HSA-156823,59.0,39.0,21204.0,0.0,0.6020408163265306,1.0,0.9981691859919256,0.7515923566878981,0.7752003162173702,0.543268530539522
R-HSA-156826,53.0,60.0,21189.0,0.0,0.4690265486725664,1.0,0.997183363064501,0.6385542168674698,0.6838875463803061,0.46724485223544965
R-HSA-156907,88.0,58.0,21156.0,0.0,0.6027397260273972,1.0,0.997277250962351,0.7521367521367521,0.775301108836703,0.5990437394381851
R-HSA-156912,87.0,55.0,21160.0,0.0,0.6126760563380281,1.0,0.9974180828091259,0.759825327510917,0.7817209798982253,0.6011958217389926
R-HSA-156915,89.0,59.0,21154.0,0.0,0.6013513513513513,1.0,0.997230307013426,0.751054852320675,0.7743893108846799,0.5871751892038157
R-HSA-156923,88.0,58.0,21156.0,0.0,0.6027397260273972,1.0,0.997277250962351,0.7521367521367521,0.775301108836703,0.5990437394381851
R-HSA-157849,57.0,32.0,21213.0,0.0,0.6404494382022472,1.0,0.9984977936344005,0.7808219178082192,0.7996779162353345,0.5750317773100128
