process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,3.0,3.0,21226.0,70.0,0.5,0.0410958904109589,0.9965730917284762,0.0759493670886076,0.14262773000158335,0.05450325126789288
R-HSA-112379,26.0,4.0,21240.0,32.0,0.8666666666666667,0.4482758620689655,0.9983100178387005,0.5909090909090909,0.6226303032189805,0.5442587404340242
R-HSA-112385,26.0,4.0,21240.0,32.0,0.8666666666666667,0.4482758620689655,0.9983100178387005,0.5909090909090909,0.6226303032189805,0.5442587404340242
R-HSA-1168640,40.0,34.0,21217.0,11.0,0.5405405405405406,0.7843137254901961,0.9978875222983757,0.6399999999999999,0.6501407167386017,0.4661303275111604
R-HSA-1214188,14.0,135.0,21108.0,45.0,0.09395973154362416,0.23728813559322035,0.991550089193503,0.1346153846153846,0.14562669684928106,0.0313532275343133
R-HSA-1234159,48.0,40.0,21200.0,14.0,0.5454545454545454,0.7741935483870968,0.9974650267580509,0.64,0.6486528262499859,0.5144948377565879
R-HSA-141409,20.0,141.0,21065.0,76.0,0.12422360248447205,0.20833333333333334,0.9898131630832786,0.1556420233463035,0.15597727373614417,0.0603828843313213
R-HSA-141422,20.0,141.0,21065.0,76.0,0.12422360248447205,0.20833333333333334,0.9898131630832786,0.1556420233463035,0.15597727373614417,0.0603828843313213
R-HSA-141431,20.0,141.0,21065.0,76.0,0.12422360248447205,0.20833333333333334,0.9898131630832786,0.1556420233463035,0.15597727373614417,0.0603828843313213
R-HSA-141439,20.0,141.0,21065.0,76.0,0.12422360248447205,0.20833333333333334,0.9898131630832786,0.1556420233463035,0.15597727373614417,0.0603828843313213
R-HSA-141671,63.0,54.0,21158.0,27.0,0.5384615384615384,0.7,0.9961975401370763,0.608695652173913,0.6120975442616813,0.5108815900086449
R-HSA-141673,63.0,54.0,21158.0,27.0,0.5384615384615384,0.7,0.9961975401370763,0.608695652173913,0.6120975442616813,0.5108815900086449
R-HSA-141691,63.0,54.0,21158.0,27.0,0.5384615384615384,0.7,0.9961975401370763,0.608695652173913,0.6120975442616813,0.5108815900086449
R-HSA-1504193,40.0,32.0,21215.0,15.0,0.5555555555555556,0.7272727272727273,0.9977936344005258,0.6299212598425198,0.6345793064114001,0.471279619514132
R-HSA-156661,87.0,315.0,20832.0,68.0,0.21641791044776118,0.5612903225806452,0.9820204675617313,0.3123877917414722,0.341279698865185,0.213757707186423
R-HSA-156808,48.0,75.0,21169.0,10.0,0.3902439024390244,0.8275862068965517,0.9960097643413764,0.5303867403314917,0.5667394988658163,0.42812629675602387
R-HSA-156823,48.0,80.0,21163.0,11.0,0.375,0.8135593220338984,0.9957281006478265,0.5133689839572193,0.5506830523094681,0.4079504655350254
R-HSA-156826,39.0,70.0,21179.0,14.0,0.3577981651376147,0.7358490566037735,0.9960567082903014,0.48148148148148145,0.5114907967645557,0.4004589455689334
R-HSA-156907,69.0,58.0,21156.0,19.0,0.5433070866141733,0.7840909090909091,0.9963853159327762,0.6418604651162791,0.6510112309238393,0.5556037768365926
R-HSA-156912,67.0,59.0,21156.0,20.0,0.5317460317460317,0.7701149425287356,0.9962914280349263,0.6291079812206573,0.638202186954044,0.5572166816494372
R-HSA-156915,69.0,58.0,21155.0,20.0,0.5433070866141733,0.7752808988764045,0.9963383719838513,0.638888888888889,0.6473024278316559,0.5477673368113677
R-HSA-156923,69.0,58.0,21156.0,19.0,0.5433070866141733,0.7840909090909091,0.9963853159327762,0.6418604651162791,0.6510112309238393,0.5556037768365926
R-HSA-157849,45.0,67.0,21178.0,12.0,0.4017857142857143,0.7894736842105263,0.9962914280349263,0.5325443786982249,0.561682157822908,0.4398477989631591
R-HSA-1638803,70.0,1648.0,19532.0,52.0,0.04074505238649592,0.5737704918032787,0.9201952868275279,0.07608695652173912,0.13744481101121855,0.052139665289427935
R-HSA-1638821,70.0,1648.0,19532.0,52.0,0.04074505238649592,0.5737704918032787,0.9201952868275279,0.07608695652173912,0.13744481101121855,0.052139665289427935
R-HSA-174058,50.0,4.0,21234.0,14.0,0.9259259259259259,0.78125,0.9991550089193503,0.847457627118644,0.8501121155336565,0.8409680631862423
R-HSA-174105,51.0,3.0,21227.0,21.0,0.9444444444444444,0.7083333333333334,0.9988733452258004,0.8095238095238096,0.8174032641917488,0.8584260278225073
R-HSA-174202,50.0,4.0,21230.0,18.0,0.9259259259259259,0.7352941176470589,0.9989672331236503,0.819672131147541,0.8246397559095503,0.8417772438704046
R-HSA-174203,47.0,31.0,21216.0,8.0,0.6025641025641025,0.8545454545454545,0.9981691859919256,0.7067669172932329,0.7167410276594773,0.6595994796617692
R-HSA-174255,50.0,4.0,21225.0,23.0,0.9259259259259259,0.684931506849315,0.9987325133790255,0.7874015748031495,0.7957890247243679,0.7999711701606422
R-HSA-176700,12.0,112.0,21140.0,38.0,0.0967741935483871,0.24,0.9929584076612524,0.1379310344827586,0.14931382443034927,0.03598567149507488
R-HSA-1799326,58.0,41.0,21154.0,49.0,0.5858585858585859,0.5420560747663551,0.9957750445967515,0.5631067961165048,0.5614149018107302,0.4327797384529501
R-HSA-1799329,62.0,48.0,21150.0,42.0,0.5636363636363636,0.5961538461538461,0.9957750445967515,0.5794392523364486,0.5775471324031046,0.452208831878436
R-HSA-1799330,67.0,60.0,21147.0,28.0,0.5275590551181102,0.7052631578947368,0.9958689324946014,0.6036036036036035,0.6079856315267592,0.5024800927647697
R-HSA-1799332,68.0,64.0,21145.0,25.0,0.5151515151515151,0.7311827956989247,0.9958219885456765,0.6044444444444445,0.6117642588256472,0.5110961069436067
R-HSA-1799335,67.0,59.0,21156.0,20.0,0.5317460317460317,0.7701149425287356,0.9962914280349263,0.6291079812206573,0.638202186954044,0.5572166816494372
R-HSA-180573,41.0,30.0,21220.0,11.0,0.5774647887323944,0.7884615384615384,0.9980752980940757,0.6666666666666667,0.673858852224345,0.5577118567153174
