process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,52.0,9007.0,12222.0,21.0,0.005740147919196379,0.7123287671232876,0.5761900291052483,0.011388523872098117,0.0340495215777536,0.007167301297534144
R-HSA-112379,46.0,7057.0,14187.0,12.0,0.006476136843587217,0.7931034482758621,0.6681532250492912,0.012847367686077363,0.050945250691269664,0.0048403483073849755
R-HSA-112385,46.0,7057.0,14187.0,12.0,0.006476136843587217,0.7931034482758621,0.6681532250492912,0.012847367686077363,0.050945250691269664,0.0048403483073849755
R-HSA-1168640,45.0,3882.0,17369.0,6.0,0.01145912910618793,0.8823529411764706,0.8174819265796639,0.02262443438914027,0.08818218797602598,0.007713180015923407
R-HSA-1214188,4.0,688.0,20555.0,55.0,0.005780346820809248,0.06779661016949153,0.9651206459487373,0.010652463382157123,0.010496906393957022,0.002878874038445936
R-HSA-1234159,53.0,3920.0,17320.0,9.0,0.013340045305814245,0.8548387096774194,0.8155572246737396,0.026270136307311027,0.09270094299364028,0.008678842128788779
R-HSA-141409,82.0,9270.0,11936.0,14.0,0.008768177929854577,0.8541666666666666,0.5641723781804525,0.01735817104149026,0.0562849351718743,0.007201133834386017
R-HSA-141422,82.0,9270.0,11936.0,14.0,0.008768177929854577,0.8541666666666666,0.5641723781804525,0.01735817104149026,0.0562849351718743,0.007201133834386017
R-HSA-141431,82.0,9270.0,11936.0,14.0,0.008768177929854577,0.8541666666666666,0.5641723781804525,0.01735817104149026,0.0562849351718743,0.007201133834386017
R-HSA-141439,82.0,9270.0,11936.0,14.0,0.008768177929854577,0.8541666666666666,0.5641723781804525,0.01735817104149026,0.0562849351718743,0.007201133834386017
R-HSA-141671,62.0,5797.0,15415.0,28.0,0.010582010582010581,0.6888888888888889,0.7265514975119707,0.02084383930072281,0.060368475796210984,0.006858570718530839
R-HSA-141673,62.0,5797.0,15415.0,28.0,0.010582010582010581,0.6888888888888889,0.7265514975119707,0.02084383930072281,0.060368475796210984,0.006858570718530839
R-HSA-141691,62.0,5797.0,15415.0,28.0,0.010582010582010581,0.6888888888888889,0.7265514975119707,0.02084383930072281,0.060368475796210984,0.006858570718530839
