process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,73.0,2.0,21227.0,0.0,0.9733333333333334,1.0,0.9999061121021501,0.9864864864864865,0.9865300983094933,0.9145747315830219
R-HSA-112379,58.0,1.0,21243.0,0.0,0.9830508474576272,1.0,0.999953056051075,0.9914529914529915,0.9914658709081198,0.9652095682496148
R-HSA-112385,58.0,1.0,21243.0,0.0,0.9830508474576272,1.0,0.999953056051075,0.9914529914529915,0.9914658709081198,0.9652095682496148
R-HSA-1168640,51.0,0.0,21251.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451
R-HSA-1214188,56.0,6.0,21237.0,3.0,0.9032258064516129,0.9491525423728814,0.9995775044596752,0.9256198347107438,0.9256942998799508,0.724639983726746
R-HSA-1234159,62.0,1.0,21239.0,0.0,0.9841269841269841,1.0,0.999953056051075,0.9919999999999999,0.9920083923358871,0.9795246979251346
R-HSA-141409,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141422,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141431,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141439,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141671,90.0,8.0,21204.0,0.0,0.9183673469387755,1.0,0.9996244484086001,0.9574468085106383,0.9581341186256012,0.9622611719690356
R-HSA-141673,90.0,8.0,21204.0,0.0,0.9183673469387755,1.0,0.9996244484086001,0.9574468085106383,0.9581341186256012,0.9622611719690356
R-HSA-141691,90.0,8.0,21204.0,0.0,0.9183673469387755,1.0,0.9996244484086001,0.9574468085106383,0.9581341186256012,0.9622611719690356
R-HSA-1504193,55.0,1.0,21246.0,0.0,0.9821428571428571,1.0,0.999953056051075,0.9909909909909909,0.991007887016838,0.9801335241215172
R-HSA-156661,155.0,10.0,21137.0,0.0,0.9393939393939394,1.0,0.9995305605107502,0.96875,0.968994178771429,0.8857193729777875
R-HSA-156808,58.0,1.0,21243.0,0.0,0.9830508474576272,1.0,0.999953056051075,0.9914529914529915,0.9914658709081198,0.9809260022231151
R-HSA-156823,59.0,1.0,21242.0,0.0,0.9833333333333333,1.0,0.999953056051075,0.9915966386554621,0.991608311570218,0.980647009114334
R-HSA-156826,53.0,0.0,21249.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9811320754716981
R-HSA-156907,87.0,6.0,21208.0,1.0,0.9354838709677419,0.9886363636363636,0.9996713923575251,0.9613259668508287,0.9615311679334406,0.9667254441734706
R-HSA-156912,87.0,7.0,21208.0,0.0,0.925531914893617,1.0,0.9996713923575251,0.9613259668508287,0.9618869636327781,0.9687407318899303
R-HSA-156915,89.0,8.0,21205.0,0.0,0.9175257731958762,1.0,0.9996244484086001,0.956989247311828,0.9576950189071409,0.964698305478708
R-HSA-156923,87.0,6.0,21208.0,1.0,0.9354838709677419,0.9886363636363636,0.9996713923575251,0.9613259668508287,0.9615311679334406,0.9667254441734706
R-HSA-157849,57.0,1.0,21244.0,0.0,0.9827586206896551,1.0,0.999953056051075,0.9913043478260869,0.9913184969225757,0.9808887242365448
R-HSA-1638803,122.0,8.0,21172.0,0.0,0.9384615384615385,1.0,0.9996244484086001,0.9682539682539683,0.9685592741931086,0.8928807616539224
R-HSA-1638821,122.0,8.0,21172.0,0.0,0.9384615384615385,1.0,0.9996244484086001,0.9682539682539683,0.9685592741931086,0.8928807616539224
R-HSA-174058,64.0,1.0,21237.0,0.0,0.9846153846153847,1.0,0.999953056051075,0.9922480620155039,0.992254515531884,0.9823396514897182
R-HSA-174105,72.0,1.0,21229.0,0.0,0.9863013698630136,1.0,0.999953056051075,0.993103448275862,0.9931036763378803,0.9814379884304337
R-HSA-174202,68.0,1.0,21233.0,0.0,0.9855072463768116,1.0,0.999953056051075,0.9927007299270074,0.9927038000430413,0.9819861936554959
R-HSA-174203,55.0,1.0,21246.0,0.0,0.9821428571428571,1.0,0.999953056051075,0.9909909909909909,0.991007887016838,0.9804831744711676
R-HSA-174255,73.0,1.0,21228.0,0.0,0.9864864864864865,1.0,0.999953056051075,0.9931972789115647,0.9931968675297366,0.9812437107431089
R-HSA-176700,47.0,3.0,21249.0,3.0,0.94,0.94,0.9997183363064501,0.94,0.9398588368153585,0.7968664889272482
R-HSA-1799326,107.0,11.0,21184.0,0.0,0.9067796610169492,1.0,0.9994836165618252,0.9511111111111111,0.9520026529077207,0.9186782699756608
R-HSA-1799329,104.0,11.0,21187.0,0.0,0.9043478260869565,1.0,0.9994836165618252,0.9497716894977168,0.9507252730076956,0.9222938040723307
R-HSA-1799330,94.0,8.0,21199.0,1.0,0.9215686274509803,0.9894736842105263,0.9995775044596752,0.9543147208121827,0.9547112666176636,0.9455566523445872
R-HSA-1799332,93.0,8.0,21201.0,0.0,0.9207920792079208,1.0,0.9996244484086001,0.9587628865979382,0.9593981227553507,0.9487656410042272
R-HSA-1799335,87.0,7.0,21208.0,0.0,0.925531914893617,1.0,0.9996713923575251,0.9613259668508287,0.9618869636327781,0.9687407318899303
R-HSA-180573,52.0,0.0,21250.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9807692307692307
R-HSA-180603,54.0,1.0,21247.0,0.0,0.9818181818181818,1.0,0.999953056051075,0.9908256880733944,0.990844071618072,0.9808018456166605
R-HSA-181450,47.0,3.0,21249.0,3.0,0.94,0.94,0.9997183363064501,0.94,0.9398588368153585,0.7968664889272482
R-HSA-187574,57.0,1.0,21244.0,0.0,0.9827586206896551,1.0,0.999953056051075,0.9913043478260869,0.9913184969225757,0.98055770801675
R-HSA-188191,66.0,1.0,21235.0,0.0,0.9850746268656716,1.0,0.999953056051075,0.9924812030075187,0.9924858889937864,0.9818827243113614
R-HSA-192704,87.0,7.0,21208.0,0.0,0.925531914893617,1.0,0.9996713923575251,0.9613259668508287,0.9618869636327781,0.9687407318899303
R-HSA-192841,89.0,8.0,21205.0,0.0,0.9175257731958762,1.0,0.9996244484086001,0.956989247311828,0.9576950189071409,0.9617845528732712
R-HSA-205039,52.0,2.0,21248.0,0.0,0.9629629629629629,1.0,0.9999061121021501,0.9811320754716981,0.9812605826969124,0.8753039592149641
R-HSA-209061,52.0,0.0,21250.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9807692307692307
R-HSA-211715,50.0,0.0,21252.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98
R-HSA-212222,63.0,7.0,21229.0,3.0,0.9,0.9545454545454546,0.9995305605107502,0.9264705882352942,0.926638773213836,0.7419730184763055
R-HSA-212252,65.0,7.0,21227.0,3.0,0.9027777777777778,0.9558823529411765,0.9995305605107502,0.9285714285714286,0.9287177763235066,0.7423139511789846
R-HSA-212263,65.0,7.0,21227.0,3.0,0.9027777777777778,0.9558823529411765,0.9995305605107502,0.9285714285714286,0.9287177763235066,0.7423139511789846
R-HSA-212269,63.0,7.0,21229.0,3.0,0.9,0.9545454545454546,0.9995305605107502,0.9264705882352942,0.926638773213836,0.7419730184763055
R-HSA-2130282,68.0,1.0,21233.0,0.0,0.9855072463768116,1.0,0.999953056051075,0.9927007299270074,0.9927038000430413,0.9773528234644709
R-HSA-2172678,57.0,6.0,21236.0,3.0,0.9047619047619048,0.95,0.9995775044596752,0.9268292682926829,0.926894872095726,0.7483664899704727
R-HSA-2213248,76.0,3.0,21223.0,0.0,0.9620253164556962,1.0,0.9998591681532251,0.9806451612903226,0.9807595768342122,0.928395622515772
R-HSA-2245218,59.0,7.0,21233.0,3.0,0.8939393939393939,0.9516129032258065,0.9995305605107502,0.921875,0.9220928704954061,0.7461383822688207
R-HSA-2288097,62.0,7.0,21230.0,3.0,0.8985507246376812,0.9538461538461539,0.9995305605107502,0.9253731343283582,0.9255529463434775,0.7414533377787987
R-HSA-2294574,62.0,7.0,21230.0,3.0,0.8985507246376812,0.9538461538461539,0.9995305605107502,0.9253731343283582,0.9255529463434775,0.7426688255115866
R-HSA-2294580,62.0,7.0,21230.0,3.0,0.8985507246376812,0.9538461538461539,0.9995305605107502,0.9253731343283582,0.9255529463434775,0.7426688255115866
R-HSA-2294590,62.0,7.0,21230.0,3.0,0.8985507246376812,0.9538461538461539,0.9995305605107502,0.9253731343283582,0.9255529463434775,0.7426688255115866
R-HSA-2294600,63.0,7.0,21229.0,3.0,0.9,0.9545454545454546,0.9995305605107502,0.9264705882352942,0.926638773213836,0.7420820603161565
R-HSA-2301205,58.0,7.0,21234.0,3.0,0.8923076923076924,0.9508196721311475,0.9995305605107502,0.9206349206349206,0.9208666446686761,0.7493631475163801
R-HSA-2316434,85.0,2.0,21215.0,0.0,0.9770114942528736,1.0,0.9999061121021501,0.9883720930232558,0.9883923295982182,0.9328842524004872
R-HSA-2400009,78.0,2.0,21222.0,0.0,0.975,1.0,0.9999061121021501,0.9873417721518987,0.9873743580222036,0.943702392789045
R-HSA-2408529,89.0,9.0,21204.0,0.0,0.9081632653061225,1.0,0.9995775044596752,0.9518716577540107,0.9527738244562761,0.960313291368536
R-HSA-2467809,123.0,8.0,21171.0,0.0,0.9389312977099237,1.0,0.9996244484086001,0.9685039370078741,0.9688016477553878,0.890898238464681
R-HSA-2467811,122.0,8.0,21172.0,0.0,0.9384615384615385,1.0,0.9996244484086001,0.9682539682539683,0.9685592741931086,0.8928807616539224
R-HSA-2468287,125.0,8.0,21169.0,0.0,0.9398496240601504,1.0,0.9996244484086001,0.9689922480620156,0.9692752852692899,0.8897719104922648
R-HSA-2484822,122.0,8.0,21172.0,0.0,0.9384615384615385,1.0,0.9996244484086001,0.9682539682539683,0.9685592741931086,0.8928807616539224
R-HSA-2574840,72.0,1.0,21229.0,0.0,0.9863013698630136,1.0,0.999953056051075,0.993103448275862,0.9931036763378803,0.9461873780040805
R-HSA-2574845,72.0,1.0,21229.0,0.0,0.9863013698630136,1.0,0.999953056051075,0.993103448275862,0.9931036763378803,0.9461873780040805
R-HSA-264458,50.0,0.0,21252.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98
R-HSA-3000310,72.0,1.0,21229.0,0.0,0.9863013698630136,1.0,0.999953056051075,0.993103448275862,0.9931036763378803,0.9461873780040805
R-HSA-3000319,72.0,1.0,21229.0,0.0,0.9863013698630136,1.0,0.999953056051075,0.993103448275862,0.9931036763378803,0.9461873780040805
R-HSA-3222593,56.0,6.0,21237.0,3.0,0.9032258064516129,0.9491525423728814,0.9995775044596752,0.9256198347107438,0.9256942998799508,0.74381581682827
R-HSA-3223200,68.0,7.0,21224.0,3.0,0.9066666666666666,0.9577464788732394,0.9995305605107502,0.9315068493150686,0.9316236162676996,0.7466567775418526
R-HSA-3229089,67.0,7.0,21225.0,3.0,0.9054054054054054,0.9571428571428572,0.9995305605107502,0.9305555555555555,0.930681789368262,0.7471814792391505
R-HSA-3229102,70.0,7.0,21222.0,3.0,0.9090909090909091,0.958904109589041,0.9995305605107502,0.9333333333333333,0.9334322469778178,0.7517092157621614
R-HSA-3240295,60.0,7.0,21232.0,3.0,0.8955223880597015,0.9523809523809523,0.9995305605107502,0.923076923076923,0.9232815465668742,0.7434288917730643
R-HSA-3364026,69.0,7.0,21223.0,3.0,0.9078947368421053,0.9583333333333334,0.9995305605107502,0.9324324324324325,0.9325400988862332,0.7472094891620874
R-HSA-3451147,49.0,3.0,21247.0,3.0,0.9423076923076923,0.9423076923076923,0.9997183363064501,0.9423076923076923,0.9421665158371041,0.7954032682210962
R-HSA-3640874,54.0,1.0,21247.0,0.0,0.9818181818181818,1.0,0.999953056051075,0.9908256880733944,0.990844071618072,0.9808018456166605
R-HSA-3662335,59.0,6.0,21234.0,3.0,0.9076923076923077,0.9516129032258065,0.9995775044596752,0.9291338582677167,0.92918292828596,0.7346930314190696
R-HSA-375302,113.0,6.0,21183.0,0.0,0.9495798319327731,1.0,0.9997183363064501,0.9741379310344828,0.9743258917867799,0.9026554295916668
R-HSA-376419,50.0,0.0,21252.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98
R-HSA-3769447,82.0,9.0,21208.0,3.0,0.9010989010989011,0.9647058823529412,0.9994366726129001,0.9318181818181819,0.9320819657110642,0.7599652205639392
