process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1031716,73.0,2.0,21227.0,0.0,0.9733333333333334,1.0,0.9999061121021501,0.9864864864864865,0.9865300983094933,0.9111500740487752
R-HSA-112379,58.0,1.0,21243.0,0.0,0.9830508474576272,1.0,0.999953056051075,0.9914529914529915,0.9914658709081198,0.959569400809378
R-HSA-112385,58.0,1.0,21243.0,0.0,0.9830508474576272,1.0,0.999953056051075,0.9914529914529915,0.9914658709081198,0.959569400809378
R-HSA-1168640,51.0,0.0,21251.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451
R-HSA-1214188,59.0,5.0,21238.0,0.0,0.921875,1.0,0.999765280255375,0.959349593495935,0.960030216586156,0.7991814386039078
R-HSA-1234159,62.0,1.0,21239.0,0.0,0.9841269841269841,1.0,0.999953056051075,0.9919999999999999,0.9920083923358871,0.9773947887571384
R-HSA-141409,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141422,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141431,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141439,96.0,3.0,21203.0,0.0,0.9696969696969697,1.0,0.9998591681532251,0.9846153846153847,0.9846622706557274,0.8954986192404284
R-HSA-141671,90.0,7.0,21205.0,0.0,0.9278350515463918,1.0,0.9996713923575251,0.9625668449197862,0.9630829996577344,0.9615648103301838
R-HSA-141673,90.0,7.0,21205.0,0.0,0.9278350515463918,1.0,0.9996713923575251,0.9625668449197862,0.9630829996577344,0.9615648103301838
R-HSA-141691,90.0,7.0,21205.0,0.0,0.9278350515463918,1.0,0.9996713923575251,0.9625668449197862,0.9630829996577344,0.9615648103301838
R-HSA-1504193,55.0,1.0,21246.0,0.0,0.9821428571428571,1.0,0.999953056051075,0.9909909909909909,0.991007887016838,0.9801335241215172
R-HSA-156661,155.0,10.0,21137.0,0.0,0.9393939393939394,1.0,0.9995305605107502,0.96875,0.968994178771429,0.8892545598607854
R-HSA-156808,58.0,1.0,21243.0,0.0,0.9830508474576272,1.0,0.999953056051075,0.9914529914529915,0.9914658709081198,0.9795862343455922
R-HSA-156823,59.0,1.0,21242.0,0.0,0.9833333333333333,1.0,0.999953056051075,0.9915966386554621,0.991608311570218,0.9789507360810007
R-HSA-156826,53.0,0.0,21249.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9811320754716981
R-HSA-156907,88.0,7.0,21207.0,0.0,0.9263157894736842,1.0,0.9996713923575251,0.9617486338797814,0.9622942025886092,0.9664817873471258
R-HSA-156912,87.0,7.0,21208.0,0.0,0.925531914893617,1.0,0.9996713923575251,0.9613259668508287,0.9618869636327781,0.9680919576900241
R-HSA-156915,89.0,7.0,21206.0,0.0,0.9270833333333334,1.0,0.9996713923575251,0.9621621621621621,0.962692790306109,0.9640915633771022
R-HSA-156923,88.0,7.0,21207.0,0.0,0.9263157894736842,1.0,0.9996713923575251,0.9617486338797814,0.9622942025886092,0.9664817873471258
R-HSA-157849,57.0,1.0,21244.0,0.0,0.9827586206896551,1.0,0.999953056051075,0.9913043478260869,0.9913184969225757,0.9798763288523987
R-HSA-1638803,122.0,8.0,21172.0,0.0,0.9384615384615385,1.0,0.9996244484086001,0.9682539682539683,0.9685592741931086,0.893666931004885
R-HSA-1638821,122.0,8.0,21172.0,0.0,0.9384615384615385,1.0,0.9996244484086001,0.9682539682539683,0.9685592741931086,0.893666931004885
R-HSA-174058,64.0,1.0,21237.0,0.0,0.9846153846153847,1.0,0.999953056051075,0.9922480620155039,0.992254515531884,0.9820655286827007
R-HSA-174105,72.0,1.0,21229.0,0.0,0.9863013698630136,1.0,0.999953056051075,0.993103448275862,0.9931036763378803,0.9814379884304337
R-HSA-174202,68.0,1.0,21233.0,0.0,0.9855072463768116,1.0,0.999953056051075,0.9927007299270074,0.9927038000430413,0.9819861936554959
R-HSA-174203,55.0,1.0,21246.0,0.0,0.9821428571428571,1.0,0.999953056051075,0.9909909909909909,0.991007887016838,0.9804831744711676
R-HSA-174255,73.0,1.0,21228.0,0.0,0.9864864864864865,1.0,0.999953056051075,0.9931972789115647,0.9931968675297366,0.9812437107431089
R-HSA-176700,50.0,4.0,21248.0,0.0,0.9259259259259259,1.0,0.9998122242043,0.9615384615384615,0.9621598881627376,0.8433846992735138
R-HSA-1799326,107.0,11.0,21184.0,0.0,0.9067796610169492,1.0,0.9994836165618252,0.9511111111111111,0.9520026529077207,0.9210207976569325
R-HSA-1799329,104.0,11.0,21187.0,0.0,0.9043478260869565,1.0,0.9994836165618252,0.9497716894977168,0.9507252730076956,0.924392238758274
R-HSA-1799330,95.0,9.0,21198.0,0.0,0.9134615384615384,1.0,0.9995775044596752,0.9547738693467337,0.9555489920393778,0.9431251754256156
R-HSA-1799332,93.0,9.0,21200.0,0.0,0.9117647058823529,1.0,0.9995775044596752,0.9538461538461539,0.9546610918082141,0.9483141166144082
R-HSA-1799335,87.0,7.0,21208.0,0.0,0.925531914893617,1.0,0.9996713923575251,0.9613259668508287,0.9618869636327781,0.9680919576900241
R-HSA-180573,52.0,1.0,21249.0,0.0,0.9811320754716981,1.0,0.999953056051075,0.9904761904761905,0.9904978064339665,0.9804063860667633
R-HSA-180603,54.0,1.0,21247.0,0.0,0.9818181818181818,1.0,0.999953056051075,0.9908256880733944,0.990844071618072,0.9804524396068771
R-HSA-181450,50.0,4.0,21248.0,0.0,0.9259259259259259,1.0,0.9998122242043,0.9615384615384615,0.9621598881627376,0.8433846992735138
R-HSA-187574,57.0,1.0,21244.0,0.0,0.9827586206896551,1.0,0.999953056051075,0.9913043478260869,0.9913184969225757,0.9791674137073934
R-HSA-188191,66.0,1.0,21235.0,0.0,0.9850746268656716,1.0,0.999953056051075,0.9924812030075187,0.9924858889937864,0.9818827243113614
R-HSA-192704,87.0,7.0,21208.0,0.0,0.925531914893617,1.0,0.9996713923575251,0.9613259668508287,0.9618869636327781,0.9680919576900241
R-HSA-192841,89.0,7.0,21206.0,0.0,0.9270833333333334,1.0,0.9996713923575251,0.9621621621621621,0.962692790306109,0.9604695586395736
R-HSA-205039,52.0,2.0,21248.0,0.0,0.9629629629629629,1.0,0.9999061121021501,0.9811320754716981,0.9812605826969124,0.8785090874200923
R-HSA-209061,52.0,0.0,21250.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9807692307692307
R-HSA-211715,50.0,0.0,21252.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98
R-HSA-212222,66.0,5.0,21231.0,0.0,0.9295774647887324,1.0,0.999765280255375,0.9635036496350364,0.9640324665091841,0.8070153443063246
R-HSA-212252,68.0,5.0,21229.0,0.0,0.9315068493150684,1.0,0.999765280255375,0.9645390070921985,0.9650323860266677,0.8099625894333677
R-HSA-212263,68.0,5.0,21229.0,0.0,0.9315068493150684,1.0,0.999765280255375,0.9645390070921985,0.9650323860266677,0.8099625894333677
R-HSA-212269,66.0,5.0,21231.0,0.0,0.9295774647887324,1.0,0.999765280255375,0.9635036496350364,0.9640324665091841,0.8070153443063246
R-HSA-2130282,68.0,1.0,21233.0,0.0,0.9855072463768116,1.0,0.999953056051075,0.9927007299270074,0.9927038000430413,0.9769851764056473
R-HSA-2172678,60.0,5.0,21237.0,0.0,0.9230769230769231,1.0,0.999765280255375,0.9600000000000001,0.9606558419687173,0.8020705391693005
R-HSA-2213248,76.0,3.0,21223.0,0.0,0.9620253164556962,1.0,0.9998591681532251,0.9806451612903226,0.9807595768342122,0.9240911991479571
R-HSA-2245218,62.0,5.0,21235.0,0.0,0.9253731343283582,1.0,0.999765280255375,0.9612403100775194,0.961849934741132,0.8059914025217398
R-HSA-2288097,65.0,5.0,21232.0,0.0,0.9285714285714286,1.0,0.999765280255375,0.962962962962963,0.9635106680425357,0.8051297732219801
R-HSA-2294574,65.0,5.0,21232.0,0.0,0.9285714285714286,1.0,0.999765280255375,0.962962962962963,0.9635106680425357,0.8051297732219801
R-HSA-2294580,65.0,5.0,21232.0,0.0,0.9285714285714286,1.0,0.999765280255375,0.962962962962963,0.9635106680425357,0.8051297732219801
R-HSA-2294590,65.0,5.0,21232.0,0.0,0.9285714285714286,1.0,0.999765280255375,0.962962962962963,0.9635106680425357,0.8051297732219801
R-HSA-2294600,66.0,5.0,21231.0,0.0,0.9295774647887324,1.0,0.999765280255375,0.9635036496350364,0.9640324665091841,0.8070153443063246
R-HSA-2301205,61.0,5.0,21236.0,0.0,0.9242424242424242,1.0,0.999765280255375,0.9606299212598425,0.9612621199721018,0.8040733569573846
R-HSA-2316434,85.0,2.0,21215.0,0.0,0.9770114942528736,1.0,0.9999061121021501,0.9883720930232558,0.9883923295982182,0.9354515682900539
R-HSA-2400009,78.0,2.0,21222.0,0.0,0.975,1.0,0.9999061121021501,0.9873417721518987,0.9873743580222036,0.9403655298929495
R-HSA-2408529,89.0,7.0,21206.0,0.0,0.9270833333333334,1.0,0.9996713923575251,0.9621621621621621,0.962692790306109,0.9612265417378478
R-HSA-2467809,123.0,8.0,21171.0,0.0,0.9389312977099237,1.0,0.9996244484086001,0.9685039370078741,0.9688016477553878,0.8919584425826974
R-HSA-2467811,122.0,8.0,21172.0,0.0,0.9384615384615385,1.0,0.9996244484086001,0.9682539682539683,0.9685592741931086,0.893666931004885
